Name,Sector,Province,Amount
Lat Wiel Self Help Centre for Quadriplegics: Pretoria,Charities,Gauteng,100000
Leamogetswe Safety Home: Saulsville,Charities,Gauteng,200000
Lesbian & Gay Equity Project: Johannesburg,Charities,Gauteng,200000
Lifeline Pretoria,Charities,Gauteng,200000
Lifeline East Rand: Benoni,Charities,Gauteng,400000
Lifeline Johannesburg,Charities,Gauteng,744343
Lifeline Vaal Triangle Vereeniging,Charities,Gauteng,500000
Lifeline West Rand: Krugersdorp,Charities,Gauteng,325500
Little Eden Society: Edenvale,Charities,Gauteng,750000
Little Pina Educare Centre: Orlando East,Charities,Gauteng,73836
Living Link: Johannesburg,Charities,Gauteng,110000
Malibongwe Women & Development,Charities,Gauteng,1749860
Mamelodi Society for the Care of the Aged,Charities,Gauteng,1045950
Marang House: Johannesburg,Charities,Gauteng,300000
Mararti Senior Citizen Social Club: Benoni,Charities,Gauteng,50000
Mary Immaculate Queen Pre-School Centre: Eldorado Park,Charities,Gauteng,60000
Mary Jane Pre-School: Duduza,Charities,Gauteng,92000
Mercy House: Pretoria,Charities,Gauteng,365000
Meyerton Child & Family Welfare Society,Charities,Gauteng,225740
Midrand SPCA,Charities,Gauteng,309083
Millennium Aids Awareness Project Vereeniging,Charities,Gauteng,100000
Monument Service Centre: Pretoria,Charities,Gauteng,262873
Moreglans Old Age Home: SAVF Krugersdorp,Charities,Gauteng,570000
Mothwa Haven Old Age Home: Pretoria,Charities,Gauteng,286000
Mphatlalatsane The Bright Morning Star Soweto,Charities,Gauteng,92394
National Community Based Paralegal,Charities,Gauteng,1000000
National Youth Development Outreach: Eersterust,Charities,Gauteng,1350189
Nazareth House: Johannesburg,Charities,Gauteng,500000
New Hope School: Pretoria,Charities,Gauteng,510000
NG Ministry of Caring: Johannesburg,Charities,Gauteng,458981
NICRO: Gauteng,Charities,Gauteng,2000000
Nigel Child & Family Welfare Society,Charities,Gauteng,337250
Nigel SPCA,Charities,Gauteng,200000
Nisaa Institute for Women's Development,Charities,Gauteng,599896
Nishtara Alcohol & Drug Centre: Lenasia,Charities,Gauteng,231951
North Gauteng Mental Health Society: Pretoria,Charities,Gauteng,2261207
Nqobile Women's Development Project: Bube,Charities,Gauteng,100000
Ntiro Mamelodi Employment Project for People with Intellectual Disability: Mamelodi ,Charities,Gauteng,656920
O'Connor Foundation: Johannesburg,Charities,Gauteng,819500
Ons Herberg Tehuis vir Bejaardes: Bronkhorstspruit,Charities,Gauteng,200000
Ons Tuis Care Multi-Purpose Frail Centre: Pretoria,Charities,Gauteng,275604
People for Awareness on Disability Issues: Rosettenville,Charities,Gauteng,164000
Phutaditjaba Old Age & Disabled Care Organisation: Alexandra,Charities,Gauteng,300400
Phyllis Robertson Housing Care & Rehabilitation: Pretoria,Charities,Gauteng,300000
Pioneer House: Johannesburg,Charities,Gauteng,500000
Planned Parenthood Association of South Africa: Johannesburg,Charities,Gauteng,1394380
Praise Centre: Brakpan,Charities,Gauteng,100000
Pretoria Central Community Centre,Charities,Gauteng,241530
Pretoria Child & Family Welfare,Charities,Gauteng,1136000
Pretoria Child & Family Welfare (JS Mminele Child & Youth Care: Ebenezer Community Aids Project: Zimisele Economic Social Project: Kagisano Crèche),Charities,Gauteng,1326493
Pretoria Council for the Care of the Aged,Charities,Gauteng,218890
Pretoria School for Cerebral Palsy & Learning Disabled,Charities,Gauteng,142156
Pretoria Sungardens Hospice (Leratong): Atteridgeville Project,Charities,Gauteng,2000000
Pretoria Sungardens Hospice: Pretoria,Charities,Gauteng,2300730
Pretoria Workshop: Pretoria,Charities,Gauteng,474000
Princess Christian Home Pretoria,Charities,Gauteng,379371
Priory for South Africa of the Order of St John,Charities,Gauteng,294400
Progress Pre-School: Meadowlands,Charities,Gauteng,78285
Quadriplegic Association Gauteng South: Johannesburg,Charities,Gauteng,326274
Quadriplegic Association Gauteng South Johannesburg,Charities,Gauteng,172000
Queen Alexandra Retirement Village Johannesburg,Charities,Gauteng,200000
Rainbow Kids Day Care Pre-school: Lotus Gardens,Charities,Gauteng,37000
RAND Aid Association,Charities,Gauteng,266700
RAND Aid Association: Edenvale,Charities,Gauteng,3050000
Restorative Justice Centre,Charities,Gauteng,467832
Rhema Services Foundation: Johannesburg,Charities,Gauteng,1000000
Ring Ting Nursery School,Charities,Gauteng,484300
Roger Stephens Protective Workshop: Pretoria,Charities,Gauteng,71560
Roodepoort SPCA,Charities,Gauteng,790000
Rophe Counselling Services: Johannesburg,Charities,Gauteng,50000
Rotara School: Carletonville,Charities,Gauteng,248766
Ruimte Community Centre SAVF Ruimte North Pretoria,Charities,Gauteng,282000
Rus 'n Bietjie: Springs,Charities,Gauteng,749296
Rusoord Centurion: Pretoria,Charities,Gauteng,150000
SA Congress Boitemelo,Charities,Gauteng,6024753
SA National Council for the Blind: Pretoria,Charities,Gauteng,373950
SAIDA Johannesburg,Charities,Gauteng,200000
San Michelle Home: Brakpan,Charities,Gauteng,500000
San Salvador Home: Johannesburg,Charities,Gauteng,278207
SANCA Central Rand Alcohol & Drug Centre. Johannesburg,Charities,Gauteng,600000
SANCA Eastern Gauteng: Boksburg,Charities,Gauteng,687112
SANCA Horizon Alcohol & Drug Centre: Boksburg,Charities,Gauteng,500000
SANCA Johannesburg,Charities,Gauteng,1350000
SANCA West Rand Alcohol & Drug Centre Roodepoort,Charities,Gauteng,700000
SANTA Johannesburg,Charities,Gauteng,234000
SAVF Arcadia: Pretoria,Charities,Gauteng,313000
SAVF Della Villa: Germiston,Charities,Gauteng,376680
SAVF Deurgangshuis: Carletonville,Charities,Gauteng,378400
SAVF Die Anker Tehuis: Germiston,Charities,Gauteng,296000
SAVF Donato: Pretoria,Charities,Gauteng,389878
SAVF Groter Germiston Bejaardesorg Maatskaplike Dienste,Charities,Gauteng,145124
SAVF Huis Dien Bothma: Boksburg,Charities,Gauteng,650000
SAVF Kinross Herberg,Charities,Gauteng,357878
SAVF Nigel Branch,Charities,Gauteng,67000
SAVF Nursery School,Charities,Gauteng,80000
SAVF Queenswood Dagsorg Kleuterskool,Charities,Gauteng,104084
SAVF Ring Ting Nursery School & Baby Care,Charities,Gauteng,311200
SAVF Tambotie Pre-Primary School,Charities,Gauteng,250000
SAVF Vereeniging,Charities,Gauteng,302114
Self-Help Skills Training Centre: Pretoria,Charities,Gauteng,350000
Seniorstuis Service centre: Pretoria,Charities,Gauteng,306360
Services for the Blind: Newclare,Charities,Gauteng,450000
Shalom Respite Care Centre: Magaliesburg,Charities,Gauteng,150000
Sharpville Care of the Aged,Charities,Gauteng,543600
Siyafunda Pre-School & Day Care Meadowlands,Charities,Gauteng,90638
Society for Children & Adults with Autism: Johannesburg,Charities,Gauteng,310000
Society of St Vincent de Paul: Roodepoort,Charities,Gauteng,50000
Society of St Vincent de Paul: Johannesburg,Charities,Gauteng,1097000
Sonitus School: Pretoria,Charities,Gauteng,750000
SOS Children's Villages of South Africa: Randburg,Charities,Gauteng,1000000
South African Council for English Education,Charities,Gauteng,55000
South African Depression & Anxiety Group: Johannesburg,Charities,Gauteng,360000
South African National Tuberculosis Association: Edenvale,Charities,Gauteng,3027098
Soweto Cheshire Home,Charities,Gauteng,914550
Soweto Home for the Aged,Charities,Gauteng,2333364
Soweto Workshop for the Blind,Charities,Gauteng,344000
Sparrow Ministries: Florida,Charities,Gauteng,1500000
SPCA: Tshwane,Charities,Gauteng,416000
SPCA: Vereeniging & District,Charities,Gauteng,42530
SPCA: Carltonville,Charities,Gauteng,60000
SPCA: Sandton & Eastern Metropolitan,Charities,Gauteng,315000
Springs & Kwa-Thema Child Welfare Society,Charities,Gauteng,650000
Springs Retirement & Frail Care Centre,Charities,Gauteng,250670
St Anne's Home: Edenvale,Charities,Gauteng,100000
St Anthony's Care Centre,Charities,Gauteng,158764
St Anthony's Care Centre: Reiger Park,Charities,Gauteng,300000
MINTEK,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,12000000
SA Library for the Blind,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,500000
SA National Parks,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,1396700
ACCDA,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,636857
Afesis Corplan,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,817300
African Cultural And Community Development Association,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,249600
Border Technikon School of Applied Art,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,210000
East London Guild Theatre Senior & Junior Dance Companies.,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,742000
East London Museum,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,2600000
Eastern Cape Philharmonic Society,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,2608347
English Academy of SA,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,56700
Grahamstown Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,912000
Grahamstown Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,380000
King Sandile Development Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,8100000
Mvezo Site-Nelson Mandela National Museum,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,8000000
Port Elizabeth Museum,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,530000
R.A.B.T.I. Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,1500000
Rhodes University - Fine Art Department,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,100000
"Rhodes University (UBOM) Eastern Cape Drama Community, Rhodes Drama Department (Affiliated project)","ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,545540
SAHRA,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,1000000
Sizabantu Community Arts & Craft Organisation,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,510000
Small Projects Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,180000
Somerset East Museum,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,300000
South African Blind Musicians Association,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,127462
South End Museum Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,2300000
South Roots Kibbutz El Shammah,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,40000
The Opera House,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,172300
The Opera House,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,4300000
The South African Ballet Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,814120
Township Dance Project,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,50000
Umzimkulu Development Services,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,878294
Victory Sonqoba Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,81000
Wilderness Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,3320000
Endangered Wildlife Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,165050
Group for Environmental Monitoring,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,361000
Lesedi La Setjhaba Welfare Organisation,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,224685
Motswako Performing Artists,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,781000
OliewenHuis Art Museum,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,544500
PACOFS,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,15000000
PACOFS,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,3000000
SA Heritage Resources,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,142120
South African Blind Musicians Assoc,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,127462
South African Ballet Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,814120
University of the Free State,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,2400000
Vuka 6,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,388000
Abangani Theatre Group,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,558020
Actors Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,104565
African Cultural Heritage Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1400000
African Cultural Heritage Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1500000
Alexsan Kopano,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,650000
Ampersand Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,198660
Artists for Human Rights Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,223500
Bachaki Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1000000
Ballet Theatre Afrikan,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1904005
Birdlife South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,150000
Buskaid Soweto String Ensemble,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1410000
Cantare Children's Choir,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,2069150
Centre for film and media residency programme,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,197500
Centre for Indigenous Knowledge,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,413500
Chamber Orchestra of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1699380
Cradle of Humankind Field Guide Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,630000
Craft Council Of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,78488
Delta Environmental Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,467372
English Academy of SA,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,56700
Flower Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,28700
Food And Trees for Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,800000
Fordsburg Artists' Studios,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1694915
Fuba School of Music,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,290000
Gauteng Dance Manyano,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,520000
Gerard Sekoto Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,90000
Gerard Sekoto Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,100000
Gerard Sekoto Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,200000
Gerard Sekoto Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,420000
Goodwill Industries SA Sheltered Workshop,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,187364
Greenhouse Peoples Environmental Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,977500
Gun Free South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,184580
Imbali Visual Literacy Kagiso,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,434720
Imbali Visual Literacy Project/Kagiso,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,395200
Imfundiso Skills Development,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,3240000
Jewish National Fund,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1100000
Johannesburg Art Gallery,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1180000
Johannesburg Dance Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,96000
Johannesburg Innercity Business Coalition,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,10000000
Johannesburg Philharmonic Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,2000000
Johannesburg Philharmonic Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1000000
Johannesburg Youth Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,180500
Johannesburg Youth Theatre Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1693000
Khanya Training & Development Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,151300
Khulumani Support Group,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,417000
Malibongwe Woman & Development,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,900000
Market Theatre Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,12040166
Masakhane Arts & Culture Youth Dev Project,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,258000
Moving Into Dance,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,350000
Music Academy of Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,2050000
Music Industry Development,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,980000
Musicians Union of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,2000000
National Council for Persons with Physical Disabilities,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,486540
National Film & Video Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,500000
National Film and Video Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,200000
National Youth Development Outreach,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,800000
National Zoological Gardens of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,2961058
Newtown Film & Television School,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1540000
Nhlapho Sibanda Heritage Arts and Culture,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1420027
Nokulunga Youth Group,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,93800
Northern Flagship Institution,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,645000
Northern Flagship Institution,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,200000
Out In Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,166000
Parktown & Westcliff Heritage Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,212410
Pretoria Community Ministries (PCM),"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,60000
Pretoria Tamil League,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,210000
Pro Musica Productions,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1000000
SA National Parks & Technikon Pretoria,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1575000
Sedibeng District Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,3086000
Sibikwa Community Theatre Project,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1154270
Siege Museum Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,137500
Sinqobile Intermediate School,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1079034
Sithuthuka Sonke Drama Players,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,543700
Siyavuka Lateral,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,674031
South African Blind Musicians Association,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,127462
South African Democracy Education Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,3000000
South African Roadies Association  SARA,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1475000
Soweto Community Dance Project,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,527400
State Theatre BASHA,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,3323200
Success Music & Drama Institution,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,251300
Tirisano Khulanathi Music Research and Development Project,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1740000
Transvaal Scottish Regimental Council NPO,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,2120000
Trevor Huddleson CR Memorial Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,179857
Tribhangi Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,512400
United Church School,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1000000
University of the Witwatersrand,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,150000
University of the Witwatersrand/Rock Art and Research Institute,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,7000000
University of Witwatersrand,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,680000
Victory Sonqoba Theatre Company,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1140000
Victory Sonqoba Theatre Company,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,81000
Voortrekker Monument & Nature Reserve,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,3000000
Vukani Community Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1088000
Vukani Community Theatre: Rasa Production Company,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,856838
Vukani Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,746200
Vukani Ubuntu Community Development Project Atteridgeville,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,909850
Vuyani Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,941436
Windybrow Centre for the Arts,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1872400
Wits TV Wits Rock Art,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,150000
Women in Writing,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,830000
Work to Win Community Development Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,450000
Zakheni South Africa Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1000000
Zanendaba Storytellers,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,550450
Amafa Heritage KZN,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,600859
Bat Centre Trust,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,980000
Centre for Creative Arts,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,3200000
Domestic Violence Help Line (DVHL),"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,150000
Durban Arts Association,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,720000
Durban Arts Association,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,639400
Durban Music School,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,264000
Embocraft Training Centre Trust,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,2000000
English Academy of Southern Africa,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,56700
Ethekwini Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,20500000
Field Band Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,1216426
First Physical Theatre Company,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,1200000
Friends of Music,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,102650
Gujarati Hindu Sanskruti Kendra,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,100000
Ilembe District Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,700000
Indian Academy of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,122110
K-CAP Alive Kids Positive Arts,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,2060200
KwaZulu Natal Arts & Culture Trust,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,3012050
KwaZulu Natal Crane,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,310000
KZN Dance Link,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,150000
KZN Tourism Authority,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,1680000
Ladysmith Siege Museum Trust,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,137000
Mthonjeni Cultural Sports & Recreation Club,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,1000000
Natal Blind and Deaf Society,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,167047
Natal Society of Art,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,391000
National Film & Video Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,50000
Newlands Mashu Community Development Centre,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,117600
Ngezandla Zethu Handwork Project,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu-Natal,188000
