Project Number,Name,Sector,Province,Amount
56363,BARNARD MOLOKOANE COMPREHENSIVE SCHOOL,"ARTS, CULTURE & NATIONAL HERITAGE",FREE STATE,188102
56363,BARNARD MOLOKOANE COMPREHENSIVE SCHOOL,"ARTS, CULTURE & NATIONAL HERITAGE",FREE STATE,47026
44490,HLANGANANI - KOPANANG THEATRE,"ARTS, CULTURE & NATIONAL HERITAGE",FREE STATE,1000000
56204,LESEDI LA SETJHABA WELFARE ORGANISATION,"ARTS, CULTURE & NATIONAL HERITAGE",FREE STATE,385000
55720,MANGAUNG DRAMA AND DANCE GROUP,"ARTS, CULTURE & NATIONAL HERITAGE",FREE STATE,196650
56354,PAUL ROUX INTERMEDIATE SCHOOL,"ARTS, CULTURE & NATIONAL HERITAGE",FREE STATE,838722
42606,TSHIAMO ART AND CRAFTS DEVELOPMENT,"ARTS, CULTURE & NATIONAL HERITAGE",FREE STATE,150000
44852,UMTHETHWA ALLANRIDGE YOUTH  GROUP,"ARTS, CULTURE & NATIONAL HERITAGE",FREE STATE,150979
35316,UNIVERSITY OF THE FREE STATE,"ARTS, CULTURE & NATIONAL HERITAGE",FREE STATE,969038
43147,WAR MUSEUM OF THE BOER REPUBLICS,"ARTS, CULTURE & NATIONAL HERITAGE",FREE STATE,866200
42356,AFRICA CRAFT TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,557150
56308,AFRICA HERITAGE SOCIETY,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,4467420
35386,AFRICA RESOURCES,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,4908787
35459,AFRICA RESOURCES TRUST  - RESOURCE AFRICA,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,11460100
35669,AFRICAN CULTURAL MUSIC & DANCE ASSOCIATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2400000
36206,AFRICAN CULTURAL ORGANISATION OF SA (ACOSA),"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2763905
55152,AFRICAN FLAG PANTSULA DANCE/ MUSIC GROUP,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1506900
42527,AFRISTAR FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,198393
54735,AFRISTAR FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,755845
29946,ARTIST PROOF STUDIO,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,556513
56046,ARTS FOR  HOPE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,400000
56046,ARTS FOR HOPE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,400000
42511,ASSITEJ SOUTH AFRICA,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1319040
34828,BAG FACTORY ARTISTS' STUDIOS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1320557
43366,BATSUMI CULTURAL GROUP,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,676135
49560,BLACK EDUCATION UPGRADING,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,8567240
49560,BLACK EDUCATION UPGRADING,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2141810
55044,BOITSHEPIVILLE YOUTH DEVELOPMENT CENTRE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,396000
35395,BUSKAID TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1620000
43348,CAMPUS AFTER HOURS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,160000
44333,CAPE TOWN INTERNATIONAL BALLET COMPETITION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,280240
30019,CENTRAL GAUTENG MENTAL HEALTH SOCIETY,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,66000
54783,COLLA VOCE CHOIR - MZANSI CHOIR FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1000000
54649,CRESSET HOUSE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,72543
21899,CURRICULUM DEVELOPMENT PROJECT TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,345315
41862,D`AFRIQUE FAIR TRADE FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,203422
54777,DRAMATISTS AGAINST CRIME,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1272110
54777,DRAMATISTS AGAINST CRIME,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1350250
41866,EERSTERUST CARE & TRAINING CENTRE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,56420
28212,EKURHULENI CHILDREN'S CHOIR,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,727609
55239,EMPLOYMENT SOLUTIONS FOR PEOPLE WITH DISABILITIES,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,430079
56227,ENGLISH ACADEMY OF SOUTHERN AFRICA,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,430691
55776,EZOMDABU YOUNG ENTERTAINERS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,512379
41863,FORGOTTEN ANGLE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2756826
54834,FRIENDS OF THE JOHANNESBURG ART GALLERY,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,591645
34505,FUBA SCHOOL OF DRAMATIC & VISUAL ARTS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,4558898
41873,GAUTENG DANCE MANYANO,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,3179996
41967,GAUTENG ORGANISATION OF ARTS & CULTURE CENTRES,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1062960
55056,GET DOWN PRODUCTIONS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,790200
43950,GRADUATE CONNECTION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,333547
54807,HALALA! AFRIKA THEATRE SOCIETY,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,564056
28060,IFA LETHU FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,817840
55161,IKAGENG CENTRE FOR THE DISABLED,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1476477
44492,IMBALI VISUAL LITERACY PROJECT,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1765525
38211,INDALO YETHU TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,3079000
29947,INDIGENOUS KNOWLEDGE SYSTEMS OF SOUTH AFRICA TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2140724
34892,INTERNATIONAL CLASSICAL MUSIC FESTIVAL OF SA,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1523181
55105,ISIQHINGI SENJABULO PRE SCHOOL/ CRECHE & COMMUNITY CENTRE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2540000
45997,"JEWISH NATIONAL FUND, WALTER SISULU ENVIRONMENTAL CENTRE
MAMELODI","ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1764102
44487,JOHANNESBURG FESTIVAL ORCHESTRA (JFO),"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2880000
23466,JOHANNESBURG MUSIC INITIATIVE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,606611
33958,JOHANNESBURG PHILHARMONIC ORCHESTRA,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,3000000
33958,JOHANNESBURG PHILHARMONIC ORCHESTRA,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2360022
35425,JOHANNESBURG SYMPHONY ORCHESTRA,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,462760
35538,JOHANNESBURG YOUTH ORCHESTRA,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,637821
38149,KEMPTON PARK CHILD AND FAMILY WELFARE SOCIETY,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,619800
54886,KHULISA SOCIAL SOLUTIONS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1074900
28305,KHULUMANI SUPPORT GROUP,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1147140
59422,KHWELA THEATRE PRODUCTION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1132739
44481,KUNGWINI WELFARE ORGANISATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,131346
43991,LETHABO LE KHUTSO ADULT CARE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,18341
44851,LUBIKHA THEATRE PROJECTS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1705413
41499,MAKHAYA ART AND CULTURAL DEVELOPMENT,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,23021748
54908,MARIMBA EDUCATION FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,548640
46085,MARKET THEATRE FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1357665
56595,MASAKHANE ARTS & CULTURE DEVELOPMENT PROJECT,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,4000000
54673,MASAKHANE ARTS & CULTURE YOUTH DEVELOPMENT PROJECT,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,541800
56604,MBUMBA ENTERTAINMENT,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,467555
15209,MINTEK,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2150000
34851,MIYKAEL INSTITUTE OF DIVINE ARTS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,431160
29928,MOTHERTONGUE PROJECT,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,457587
43194,MOTSWAKO PERFORMING ARTISTS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,998760
42622,MOVING INTO DANCE MOPHATONG TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,3325672
56109,MTHAKATHI THEATRE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1614600
42913,MUSIC ACADEMY OF GAUTENG,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2629378
43799,MUTLOATSE ARTS HERITAGE TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,974160
42625,MZINI DRAMATIC ARTS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,495900
44476,NATIONAL CHILDREN'S THEATRE TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,612089
29948,NATIONAL EISTEDDFOD ACADEMY,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1205485
54945,NDABAZEZWE ARTS AND CULTURE THEATRE ORGANISATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,979200
54963,NELSON MANDELA FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2361917
54963,NELSON MANDELA FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,9447668
42894,NOVALIS HOUSE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,181000
56220,NTSOANA CONTEMPORARY DANCE THEATRE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,322079
34614,OASIS FAITHWORKS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,594620
34531,OPERA AFRICA,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,3309572
54838,ORIGINS CENTRE ASSOCIATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1905200
34812,PEOPLE OPPOSING WOMEN ABUSE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,331438
55177,PHELANG SCHOOL FOR LEARNERS WITH SPECIAL EDUCATIONAL NEEDS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,500000
54863,PJS CREATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1800000
54633,RADIO VERITAS TRUST (VERITAS PRODUCTIONS),"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,346000
55888,REABETSWE COMMUNITY CARE SERVICE AND TRAINING,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1076552
54934,RUTANANG COMMUNITY THEATRE PROJECT,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2164455
43928,RYTHMIC INDIGENOUS DANCERS ORGANISATIONS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,490400
42517,SIBIKWA COMMUNITY THEATRE PROJECT,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2802122
54835,SICELO LUNCHEON CLUB,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,91750
35167,SIYAVUKA LATERAL IMPROVEMENT FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1000000
35167,SIYAVUKA LATERAL IMPROVEMENT FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1000000
43367,SOUTH AFRICAN BALLET THEATRE TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2777104
55851,SOUTH AFRICAN DEMOCRACY EDUCATION TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1800000
34793,SOUTH AFRICAN HISTORY ARCHIVE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,260382
42151,SOUTH AFRICAN HISTORY ONLINE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1220150
42153,SOUTH AFRICAN HISTORY ONLINE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,144000
33957,SOUTH AFRICAN MUSIC EDUCATION TRUST (SAMET),"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1919720
38168,SOUTH AFRICAN NATIONAL COUNCIL FOR THE BLIND,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,394732
19134,SOUTH AFRICAN NATIONAL PARKS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1585151
54953,SOUTH AFRICAN ROADIES ASSOCIATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,4491053
42674,SOYIKWA INSTITUTE OF AFRICAN THEATRE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,876910
55890,SPCA TSHWANE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,309520
54818,STEVE BIKO FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,283902
43758,SUCCESS MUSIC & DRAMA INSTITUTION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,356928
55020,SUNRISE ON AFRICA'S PEAKS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,397764
21596,THABISONG YOUTH CLUB,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,500000
41859,TIQWA,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,58000
55047,TOGETHER AS ONE COMMUNITY DEVPELOPMENT ORGANISATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1134968
54940,TRANSORANJE SKOOL VIR LEERDERS MET DOOFHEID,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1012170
56289,TRIBHANGI DANCE THEATRE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,860280
56238,TSHWANE DANCE THEATRE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,785480
56334,TSHWANE PLACE OF SAFETY ASSOCIATION,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,95603
56124,UMKHONTO ARTS & CULTURAL DEVELOPMENT PROGRAMME,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1068000
56124,UMKHONTO ARTS & CULTURAL DEVELOPMENT PROGRAMME,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,267000
35560,UNIVERSITY OF SOUTH AFRICA,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,2100000
41915,UNOMTHANDAZO THEATRE COMPANY,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,261500
54817,UTLWANANG THEATRE GROUP,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1200000
55140,VAAL ECHOES OF LOVE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,1695962
54819,VIA VOLCANO,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,201750
54667,VUKA LOVA ARTS & CULTURAL GROUP,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,60500
56247,WOMAN AGAINST RAPE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,180000
56107,YOUNG ARTISTS UNITE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,753013
56107,YOUNG ARTISTS UNITE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,188253
44486,YOUTH CHANNEL GROUP,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,140540
42393,YOUTH IN TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,363163
43990,ZAKHENI TRAINING & DEVELOPMENT CENTRE,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,418600
42703,ZANENDABA -THE INSTITUTE OF AFRICAN STORYTELLERS,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,3320575
42857,ZIVIKELE TRAINING,"ARTS, CULTURE & NATIONAL HERITAGE",GAUTENG,600000
43025,AFRICA! IGNITE,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,1047868
43202,AFRICAN CONSERVATION TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,828375
56365,ANDHRA MAHA SABHA OF SOUTH AFRICA,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,536272
43163,ART FOR HUMANITY,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,524784
42983,BHEKUZULU SELF SUFFICIENT PROJECT,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,687287
43162,BUILT ENVIRONMENT SUPPORT GROUP,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,1368728
43137,CLOWNS WITHOUT BORDERS,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,662522
54997,COMMITTED ARTISTS FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,1950000
54997,COMMITTED ARTISTS FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,1300000
56217,DURBAN AFRICAN ART CENTRE ASSOCIATION,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,462705
37680,DUZI-UMNGENI CONSERVATION TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,5000000
37680,DUZI-UMNGENI CONSERVATION TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,2828338
41890,ENVIRONMENT & LANGUAGE EDUCATION TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,508200
56122,FOCUS ON ITHEMBA,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,113200
56336,GLENMORE PRIMARY SCHOOL,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,35071
56205,IBUTHOLOKONGA CONSERVATION PROJECT,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,414720
55843,INDIAN ACADEMY OF SA,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,360000
42909,INGWE LOCAL MUNICIPALITY,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,1090000
54691,ITHEMBA TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,429975
44335,ITHUNGA DEVELOPMENT,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,1917409
55306,KWAMAKHUTHA COMMUNITY RESOURCE CENTRE,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,1884746
55780,KWAZULU NATAL MUSEUM,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,312816
37883,KWAZULU NATAL PHILHARMONIC ORCHESTRA,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,2139000
34732,KWAZULU NATAL SOCIETY OF ARTS,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,654474
28335,KZN DANCE LINK,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,177801
56180,MAGQUBU NTOMBELA MEMORIAL FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,457528
41277,MZAMO CHILD GUIDANCE & TRAINING INITIATIVE OF KZN,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,3122152
54696,MZANSI ARTS DEVELOPMENT ENSEMBLE,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,2958469
46195,MZUNDUZI INNOVATION AND DEVELOPMENT INSTITUTE (MIDI) TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,7078266
55841,NATAL SOCIETY FOR THE BLIND,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,700000
55335,NEWCASTLE ARTS DEVELOPMENT ORGANISATION,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,2717880
55335,NEWCASTLE ARTS DEVELOPMENT ORGANISATION,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,1811920
54977,NKUNGUMATHE YOUTH DEVELOPMENT FORUM,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,117956
55293,OVERPORT SRS PRIMARY SCHOOL,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,61038
54959,PHALANE PRIMARY SCHOOL,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,138371
35498,PHOENIX CHILD AND FAMILY WELFARE SOCIETY,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,12528794
35498,PHOENIX CHILD AND FAMILY WELFARE SOCIETY,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,10762830
43143,PHOENIX COMMUNITY CENTRE,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,589350
55193,PHOENIX COMMUNITY CENTRE,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,640000
56317,PHOENIX FOUNDATION TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,238160
56693,PIETERMARITZBURG GAY & LESBIAN NETWORK,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,267800
55999,PORT SHEPSTONE TWINNING ASSOCIATION,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,970500
29939,PROJECT GATEWAY,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,861100
60189,QUADPARA ASSOCIATION OF KWAZULU-NATAL,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,4121428
55734,QUADPARA ASSOCIATION OF SOUTH AFRICA,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,224810
42370,RURAL WOMENS MOVEMENT,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,210400
42370,RURAL WOMEN'S MOVEMENT,"ARTS, CULTURE & NATIONAL HERITAGE",KWAZULU-NATAL,315600
