Name,Province,Sector,Amount
South African Music Education Trust ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",894640
Southern African Arts Exchange,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",3260000
Soweto Community Dance Project,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",420450
Soweto Youth Music Development,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",513364
Sparrow Schools Educational Trust,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",275000
Technikon Witwatersrand School of Tourism,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",70000
Thabisong Youth Club,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",711880
Tshwane University of Technology,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",584376
University of Pretoria,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",472501
University of Witwatersrand Foundation,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",3317061
Via Vosloo Youth Club,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",366000
Vukani Community Theatre,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",2710294
Windybrow Centre for the Arts,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",4828400
Youth Empowerment NETWORK,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",200000
Zanendaba Story Tellers,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",1500000
African Conservation Trust,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",1624000
Art for Humanity,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",369355
Bat Centre Trust,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",3783636
Centre for Creative Arts,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",720000
Centre for Creative Arts,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",1800000
Centre for Creative Arts,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",600000
Durban Music School,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",730000
Durban Music School,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",450000
Field Band Foundation,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",34275
Gods Golden Acre,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",292500
Gujarati Hindu Sanskruti Kendra,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",100000
Ilembe District Municipality,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
Jazzart Dance Theatre: The Dance Forum,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",912000
KwaZulu Natal Performing Arts Company,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",334000
KZN Art & Culture Trust,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",1600000
KZN National Heritage Foundation,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",3447000
Park Rynie Diwali Gala Committee,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",63600
Rehabilitation of Wildlife Trust,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",90000
SA Association for Marine Biological Research,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",853500
School Leavers Career Guidance & Training Trust,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",60000
Thandanani Children's Foundation,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",1785601
Uthukela District Municipality,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",713300
Victory Sonqoba Theatre Company,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",4000000
Vukani Bakwethu Development Association,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
Wildlands Conservation Trust,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",5580656
Zululand Historical Museum Board,KwaZulu Natal,"ARTS, CULTURE AND NATIONAL HERITAGE",948000
Agricultural Research Council,Limpopo,"ARTS, CULTURE AND NATIONAL HERITAGE",1329000
Establishment for Comprehensive Youth Development,Limpopo,"ARTS, CULTURE AND NATIONAL HERITAGE",639900
Evangelical Seminary of South Africa,Limpopo,"ARTS, CULTURE AND NATIONAL HERITAGE",250000
Human Resource & Social Information Centre,Limpopo,"ARTS, CULTURE AND NATIONAL HERITAGE",362000
Music Department University of Venda,Limpopo,"ARTS, CULTURE AND NATIONAL HERITAGE",1000000
Musina Local Municipality / Theatre,Limpopo,"ARTS, CULTURE AND NATIONAL HERITAGE",97600
Neotha Arts & Culture,Limpopo,"ARTS, CULTURE AND NATIONAL HERITAGE",378500
Vhembe District Municipality,Limpopo,"ARTS, CULTURE AND NATIONAL HERITAGE",1806814
Johannes Stegman Theatre Donor Trust Fund,Mpumalanga,"ARTS, CULTURE AND NATIONAL HERITAGE",647000
Khanya College,Mpumalanga,"ARTS, CULTURE AND NATIONAL HERITAGE",125000
Khanya Community Theatre Project,Mpumalanga,"ARTS, CULTURE AND NATIONAL HERITAGE",2887042
Mnyamana Traditional Dance,Mpumalanga,"ARTS, CULTURE AND NATIONAL HERITAGE",206000
P.E.A.C.E. Foundation,Mpumalanga,"ARTS, CULTURE AND NATIONAL HERITAGE",452000
Birdlife SA,Northern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",402200
South African National Parks,Northern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",8075000
Thusano Early Childhood Development Trust,Northern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",3100000
Boitumelong Dance & Drama Group,North West,"ARTS, CULTURE AND NATIONAL HERITAGE",155240
Kopano Ke Matla Youth Group,North West,"ARTS, CULTURE AND NATIONAL HERITAGE",250000
"Mmabana Arts, Culture & Sports Foundation",North West,"ARTS, CULTURE AND NATIONAL HERITAGE",583600
Mmabana Arts Foundation Dance Company,North West,"ARTS, CULTURE AND NATIONAL HERITAGE",205327
National Zoological Gardens of SA,North West,"ARTS, CULTURE AND NATIONAL HERITAGE",572000
Potchefstroom Local Municipality,North West,"ARTS, CULTURE AND NATIONAL HERITAGE",1080000
Abalimi beZekhaya,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",984000
Arepp Theatre for Life Trust,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",1031247
Boland District Municipality Hermon Housing Committee,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",774500
Boland Sports & Culture Union,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",308540
Jazzart Dance Theatre: Calabash Storytellers,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",729200
Cape Craft & Design Institute,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",925000
Cape Town Minstrel Association,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",600000
Cape Town Opera,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",2000000
Cape Town Society for the Blind,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",5000000
Cape Town Women's Festival Trust,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
Castle Military Museum,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",3500000
Catholic Welfare and Development,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",313233
Cederbergfees,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",484700
Community Video Education Trust,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",932000
Contemporary African Music & Arts Archive,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",714000
CP Nel Museum,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",880000
Deaf Community of Cape Town,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",650000
Deafblind South Africa,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",427003
Elgin Learning Foundation,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",44000
Hogsback Arts,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",90000
Ibhabhathane Project,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",598784
Institute for the Blind Industries,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",644610
Institute for the Blind Industries Pioneer School,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",4150000
Inyathelo - The South African Institute of Advancement,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",297000
Jazzart Dance Theatre,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",2721830
JAZZART Dance Theatre in Part Phenduka Dance,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",350129
Karos & Kambro Youth Development Project,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",1780000
Khanyisa School for Supportive Education,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",134300
Kranshoek Griqua Community Trust,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",400000
La Rosa Spanish Dance Theatre,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",954600
League of Friends of the Blind,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",1195640
Lentegeur School for Learners Special Educational Needs,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",85060
Magnet Theatre Educational Trust,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",423650
New Africa Theatre Association,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",873846
Novalis Institute,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
OASIS Association,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",154000
Out in Africa Gay & Lesbian Film Festival,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",1005000
Outward Bound Trust of SA,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",462500
Overstrand Conservation Foundation,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",1700000
Pioneer School for the Visually Impaired,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",540000
Remix Dance Project,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",800000
Rhodes University: International Library of African Music,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",162000
SA Foundation for Conservation of Birds,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",428000
South African National Circus School Trust,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",795184
Southern Land Committee Trust,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",316280
Suidoosterfees,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",420950
Tsepo's Skills Project,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",155000
University of Cape Town,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",1185000
University of Cape Town Centre for Creative Writing,Western Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",364800
Abbeyfield Society of SA,National Bodies,CHARITIES,700000
Age in Action,National Bodies,CHARITIES,10129329
Alzheimer's South Africa,National Bodies,CHARITIES,2185500
Arthritis Foundation of SA,National Bodies,CHARITIES,761000
Befrienders South Africa,National Bodies,CHARITIES,277592
Black Sash Trust,National Bodies,CHARITIES,500000
Cancer Association of South Africa,National Bodies,CHARITIES,24493165
Catholic Institute of Education,National Bodies,CHARITIES,2750000
Centre for Early Childhood Development,National Bodies,CHARITIES,861760
Child Welfare South Africa,National Bodies,CHARITIES,9760126
Co-Operative Organisation for Upgrading of Numeracy,National Bodies,CHARITIES,50000
Cotlands Johannesburg,National Bodies,CHARITIES,1840862
Curamus Association Thaba Tshwane,National Bodies,CHARITIES,377388
Deafblind SA,National Bodies,CHARITIES,500000
Disabled People of South Africa,National Bodies,CHARITIES,2000000
Down Syndrome Association: Tshwane,National Bodies,CHARITIES,575200
Down Syndrome SA,National Bodies,CHARITIES,200000
Dystonia Association of SA,National Bodies,CHARITIES,50000
Dystonia Association SA,National Bodies,CHARITIES,512000
Educo Trust of Africa,National Bodies,CHARITIES,1500000
Epilepsy South Africa,National Bodies,CHARITIES,1500000
FAMSA National Office,National Bodies,CHARITIES,1506550
Flower Foundation Homes for the Aged,National Bodies,CHARITIES,2079352
Gender Advocacy Programme,National Bodies,CHARITIES,300000
Girls & Boys Town SA,National Bodies,CHARITIES,1487687
Hospice Association of SA,National Bodies,CHARITIES,100000
Institute for the Deaf,National Bodies,CHARITIES,1500000
JET Education Services,National Bodies,CHARITIES,602200
Kibbutz El - Shammah,National Bodies,CHARITIES,200000
Lifeline Southern Africa,National Bodies,CHARITIES,1892400
Lions Club International,National Bodies,CHARITIES,500000
National Community Based Paralegal Association,National Bodies,CHARITIES,920000
National Council for Persons Physical Disabilities,National Bodies,CHARITIES,750000
National Council of SPCA's,National Bodies,CHARITIES,300000
National Welfare Social Services & Development Forum,National Bodies,CHARITIES,2660000
NICRO,National Bodies,CHARITIES,18745535
NISAA Institute for Women's Development,National Bodies,CHARITIES,800000
Operation Hunger,National Bodies,CHARITIES,1000000
Operation Hunger,National Bodies,CHARITIES,2080510
OVV Provincial Executive Board,National Bodies,CHARITIES,750000
"Parkinson Association, South Africa",National Bodies,CHARITIES,344607
Rachel Swart Fund,National Bodies,CHARITIES,500000
"Reach for a Dream , Johannesburg",National Bodies,CHARITIES,500000
READ Educational Trust,National Bodies,CHARITIES,7500000
Resources Aimed at Prevention of Child Abuse & Neglect,National Bodies,CHARITIES,1000000
Retina SA,National Bodies,CHARITIES,901500
Retina SA Northern Gauteng,National Bodies,CHARITIES,100000
Rural Development Support Programme,National Bodies,CHARITIES,800000
SA Federation for Mental Health,National Bodies,CHARITIES,500000
SA Federation for Mental Health,National Bodies,CHARITIES,500000
SA Guide Dogs Association,National Bodies,CHARITIES,500000
SA Legion,National Bodies,CHARITIES,102000
SA Mobility for the Blind Trust,National Bodies,CHARITIES,217900
SA Society for the Prevention of Child Abuse,National Bodies,CHARITIES,100000
SANCA Johannesburg,National Bodies,CHARITIES,2361995
SAVF Arcadia,National Bodies,CHARITIES,500000
SAVF Immergroen Home for Frail Aged,National Bodies,CHARITIES,400000
Shangri La Self Help Centre,National Bodies,CHARITIES,400000
Siyabhabha Trust Development & Welfare Agency,National Bodies,CHARITIES,2000000
South Africa Depression & Anxiety Group,National Bodies,CHARITIES,1000000
South Africa National Council for the Blind,National Bodies,CHARITIES,5000000
South African Blind Workers Organisation,National Bodies,CHARITIES,1000000
South African Guide Dogs Association,National Bodies,CHARITIES,225000
South African Legion,National Bodies,CHARITIES,200000
South African NGO Coalition,National Bodies,CHARITIES,250000
The Compassionate Friends,National Bodies,CHARITIES,150000
The Non-Profit Consortium,National Bodies,CHARITIES,500000
Volunteers Centre,National Bodies,CHARITIES,500000
Wozobona Early Childhood Development,National Bodies,CHARITIES,1500000
Youth for Christ SA,National Bodies,CHARITIES,1500000
Youth for Christ SA,National Bodies,CHARITIES,1500000
AB Educare  Centre,Eastern Cape,CHARITIES,196638
Action Group for Children in Distress,Eastern Cape,CHARITIES,400000
ACVV  Alexandria Diaz Home,Eastern Cape,CHARITIES,337854
ACVV Dordrecht,Eastern Cape,CHARITIES,151383
ACVV Eldorado Southernwood,Eastern Cape,CHARITIES,137649
ACVV Huis Corrie Dreyer,Eastern Cape,CHARITIES,670000
ACVV Huis van de Graff Old Age Home,Eastern Cape,CHARITIES,300000
ACVV Middleburg,Eastern Cape,CHARITIES,603551
ACVV Moreson Children's Home,Eastern Cape,CHARITIES,253000
ACVV Port Elizabeth,Eastern Cape,CHARITIES,1000000
ACVV Port Elizabeth,Eastern Cape,CHARITIES,1000000
ACVV Port Elizabeth Central,Eastern Cape,CHARITIES,300000
African Scholars Fund,Eastern Cape,CHARITIES,75000
Algoa Bay Council for the Aged,Eastern Cape,CHARITIES,155710
Amatola Haven Stutterheim,Eastern Cape,CHARITIES,150000
Association for the Rehabilitation,Eastern Cape,CHARITIES,783245
B.K.S.B. Centenary Memorial Company,Eastern Cape,CHARITIES,470000
Berea Gardens Retirement Foundation,Eastern Cape,CHARITIES,2447216
Butterworth Thembalethu Child & Family Welfare,Eastern Cape,CHARITIES,343000
"Callie Evans Lodge, Cathcart",Eastern Cape,CHARITIES,250000
Camama Cheshire Home,Eastern Cape,CHARITIES,300000
"Care Ministry, Port Elizabeth",Eastern Cape,CHARITIES,200000
Child Welfare SA: Adelaide,Eastern Cape,CHARITIES,306500
Cleary Estate Cheshire Home,Eastern Cape,CHARITIES,240000
CMR Burgersdorp,Eastern Cape,CHARITIES,6125
CMR Burgersdorp,Eastern Cape,CHARITIES,45340
CMR Drakensburg,Eastern Cape,CHARITIES,242763
CMR NG Kerk King Williamstown,Eastern Cape,CHARITIES,204700
CMR Oos Londen,Eastern Cape,CHARITIES,360660
CMR Port Elizabeth,Eastern Cape,CHARITIES,1500000
CMR Queenstown,Eastern Cape,CHARITIES,678827
CMR Ring van Graff-Reinet,Eastern Cape,CHARITIES,277190
Cradock Child & Family Welfare Society,Eastern Cape,CHARITIES,400000
Dikeni Disability Self-Help Association,Eastern Cape,CHARITIES,50000
Dordrecht Legal Advice Office,Eastern Cape,CHARITIES,400000
Drostdy Protective Workshop,Eastern Cape,CHARITIES,152962
Early Learning Centre Trust Port Elizabeth,Eastern Cape,CHARITIES,500000
East London Child & Family Welfare Society,Eastern Cape,CHARITIES,796650
East London Children's Home,Eastern Cape,CHARITIES,1000000
East London Senior Citizen Association,Eastern Cape,CHARITIES,129276
Eastern Province Child & Youth Care Centre,Eastern Cape,CHARITIES,359900
Elliot Home for the Aged,Eastern Cape,CHARITIES,316955
Eluxolweni Charitable Trust Grahamstown,Eastern Cape,CHARITIES,607644
Faith & Hope Integrated HIV AIDS Programme,Eastern Cape,CHARITIES,536100
Family & Marriage Society of South Africa,Eastern Cape,CHARITIES,1174591
Family and Marriage Society of SA,Eastern Cape,CHARITIES,676012
FAMSA Grahamstown,Eastern Cape,CHARITIES,436000
FAMSA Stutterheim,Eastern Cape,CHARITIES,280100
FAMSA Stutterheim,Eastern Cape,CHARITIES,603420
Gert Greeff Tehuis,Eastern Cape,CHARITIES,320511
Grahamstown Child & Family Welfare Society,Eastern Cape,CHARITIES,187262
Grahamstown Hospice,Eastern Cape,CHARITIES,353385
Horizon Care Centre,Eastern Cape,CHARITIES,375185
Huis Formosa Old Age Home,Eastern Cape,CHARITIES,567844
Huis John Vorster,Eastern Cape,CHARITIES,741025
Huis Louisa Meyburgh,Eastern Cape,CHARITIES,838680
Huis Spitkop Old Age Home,Eastern Cape,CHARITIES,350000
Huis Welverdiend,Eastern Cape,CHARITIES,587575
Huis Welverdiend,Eastern Cape,CHARITIES,300000
Ikamva Labantu,Eastern Cape,CHARITIES,499200
Ikhwezi Lokusa Rehabilitation Centre,Eastern Cape,CHARITIES,1020100
Jamestown Legal Advice & Community Development,Eastern Cape,CHARITIES,492709
Kenton Bushmans Child & Family Welfare Society Kenton on Sea,Eastern Cape,CHARITIES,390000
Khanyisa Community Educare Development,Eastern Cape,CHARITIES,500000
Khululeka Community Development Centre,Eastern Cape,CHARITIES,700000
"Leisure Homes for Senior Citizens, East London",Eastern Cape,CHARITIES,387400
Madeira Home Housing Utility Company,Eastern Cape,CHARITIES,300000
Marais Steyn Home,Eastern Cape,CHARITIES,299000
Marselle Service Centre,Eastern Cape,CHARITIES,300000
Masibambane Christian Development Centre,Eastern Cape,CHARITIES,300000
Masikhule Early Childhood Development Centre,Eastern Cape,CHARITIES,500000
