Project Number,Name,Province,Sector,Amount
27253,St Mary's Day Care Centre For Needy School Going Children,EASTERN CAPE,CHARITIES,117200
40982,Star Uplifting Centre,EASTERN CAPE,CHARITIES,563686
49967,Stutterheim Education Trust,EASTERN CAPE,CHARITIES,135084
37049,The Carel Du Toit Trust (East London),EASTERN CAPE,CHARITIES,126729
45224,The Carel Du Toit Trust (East London),EASTERN CAPE,CHARITIES,96000
51543,The Cerebral Palsy Association (Eastern Cape),EASTERN CAPE,CHARITIES,200000
43401,The Early Learning Centre (Eastern Cape) Trust,EASTERN CAPE,CHARITIES,902000
44057,The Eastern Province Children's Home,EASTERN CAPE,CHARITIES,1416157
49955,The Eluxolweni Charitable Trust,EASTERN CAPE,CHARITIES,725000
51389,The Family Voluntary Services,EASTERN CAPE,CHARITIES,85636
52349,The Graaff - Reinet and District SPCA,EASTERN CAPE,CHARITIES,216500
45498,The Umtata Child and Family Welfare Society,EASTERN CAPE,CHARITIES,352931
43417,Tsolwana Child and Family Welfare Society,EASTERN CAPE,CHARITIES,550000
45365,Uitenhage Mental Health Society,EASTERN CAPE,CHARITIES,200000
42423,Umbono Service Centre for the Aged,EASTERN CAPE,CHARITIES,366619
49638,Umtata Child Abuse Resource Centre,EASTERN CAPE,CHARITIES,277991
52377,Umtata Street Child Programme,EASTERN CAPE,CHARITIES,196151
40690,Vukuzenzele Community Development Project,EASTERN CAPE,CHARITIES,400000
40752,Zamani Training Centre for the Intellectual Disabilities,EASTERN CAPE,CHARITIES,2459920
49941,Zamani Training Centre for the Intellectual Disabilities,EASTERN CAPE,CHARITIES,493000
12381,Abonwabisi Cricket Club,EASTERN CAPE,SPORT & RECREATION,300000
12381,Abonwabisi Cricket Club,EASTERN CAPE,SPORT & RECREATION,300000
47202,Age - In - Action,EASTERN CAPE,SPORT & RECREATION,41520
46979,Alexander Country Club,EASTERN CAPE,SPORT & RECREATION,394605
46410,Amasango Career School,EASTERN CAPE,SPORT & RECREATION,385532
47381,Atlantic Spurs Football Club,EASTERN CAPE,SPORT & RECREATION,298218
47808,B. Sandile SP School,EASTERN CAPE,SPORT & RECREATION,500000
46820,Bay City Soccer School,EASTERN CAPE,SPORT & RECREATION,47020
48135,Ben Cox English Medium School,EASTERN CAPE,SPORT & RECREATION,158334
48399,Bonxa Junior Secondary School,EASTERN CAPE,SPORT & RECREATION,456060
46764,Border Badminton Association,EASTERN CAPE,SPORT & RECREATION,309560
47077,Caledonian Association Football Club,EASTERN CAPE,SPORT & RECREATION,540000
46491,Camdeboo Municipality,EASTERN CAPE,SPORT & RECREATION,3800000
47083,Catch Projects,EASTERN CAPE,SPORT & RECREATION,49640
46346,Cathcart High School,EASTERN CAPE,SPORT & RECREATION,400000
46346,Cathcart High School,EASTERN CAPE,SPORT & RECREATION,336946
46338,College Street Primary School,EASTERN CAPE,SPORT & RECREATION,306659
46691,Cycling South Africa,EASTERN CAPE,SPORT & RECREATION,4325953
46416,De Vos Malan High School,EASTERN CAPE,SPORT & RECREATION,349878
46973,Eastern Cape Netball Coordinating Council,EASTERN CAPE,SPORT & RECREATION,1144017
19832,Eastern Province Amateur Cricket Board,EASTERN CAPE,SPORT & RECREATION,462333
46602,Eastern Province Aquatics,EASTERN CAPE,SPORT & RECREATION,536483
46988,Eastern Province Athletics,EASTERN CAPE,SPORT & RECREATION,689150
49367,Eastern Province Cycling,EASTERN CAPE,SPORT & RECREATION,1500000
49367,Eastern Province Cycling,EASTERN CAPE,SPORT & RECREATION,1500000
46583,Eastern Province Tenpin Bowling Association,EASTERN CAPE,SPORT & RECREATION,690118
26586,Eastern Province Volleyball Union,EASTERN CAPE,SPORT & RECREATION,560442
47377,Edelweiss Primary,EASTERN CAPE,SPORT & RECREATION,480900
38407,Elliot High School,EASTERN CAPE,SPORT & RECREATION,244104
47101,Gelvan Hockey Club,EASTERN CAPE,SPORT & RECREATION,463873
38673,Gelvan Squash Club,EASTERN CAPE,SPORT & RECREATION,299672
46412,George Randell Primary School,EASTERN CAPE,SPORT & RECREATION,300000
46412,George Randell Primary School,EASTERN CAPE,SPORT & RECREATION,399107
47471,Graeme College Boys High School,EASTERN CAPE,SPORT & RECREATION,180712
38431,Gubevu J/S. Primary School,EASTERN CAPE,SPORT & RECREATION,49711
47234,Hamilton Club,EASTERN CAPE,SPORT & RECREATION,400000
47234,Hamilton Club,EASTERN CAPE,SPORT & RECREATION,140000
49203,Hoerlandbouskool Marlow,EASTERN CAPE,SPORT & RECREATION,101201
46368,Hudson Park Primary School,EASTERN CAPE,SPORT & RECREATION,474828
48159,Isigingqini Junior Secondary School,EASTERN CAPE,SPORT & RECREATION,49710
47006,Jeffreys Bay Golf Club,EASTERN CAPE,SPORT & RECREATION,444594
38452,Jubisa L/H.P. School,EASTERN CAPE,SPORT & RECREATION,49711
48909,Kaulela Senior Secondary School,EASTERN CAPE,SPORT & RECREATION,47467
47167,Khanyisa Community Educare Development Centre,EASTERN CAPE,SPORT & RECREATION,49977
46373,Khayalethu Special School,EASTERN CAPE,SPORT & RECREATION,423613
38422,Kuhle Primary School,EASTERN CAPE,SPORT & RECREATION,49711
38348,Kwelerana Senior Secondary School,EASTERN CAPE,SPORT & RECREATION,49711
46911,Lakeside Cavaliers Hockey Club,EASTERN CAPE,SPORT & RECREATION,115500
48903,Lingelihle Senior Secondary School,EASTERN CAPE,SPORT & RECREATION,180000
48658,Macibe Junior Secondary School,EASTERN CAPE,SPORT & RECREATION,500000
48658,Macibe Junior Secondary School,EASTERN CAPE,SPORT & RECREATION,235941
48162,Magiqweni Junior Secondary School,EASTERN CAPE,SPORT & RECREATION,49711
46118,Masibambane Disabled Association,EASTERN CAPE,SPORT & RECREATION,51272
47198,Masincedane Training Centre For The Intellectually Impaired,EASTERN CAPE,SPORT & RECREATION,50000
47615,Merrifield Preparatory School And College,EASTERN CAPE,SPORT & RECREATION,120874
47749,Mnceba Senior Secondary School,EASTERN CAPE,SPORT & RECREATION,180000
46982,Montego Classic Central Rugby Football Club,EASTERN CAPE,SPORT & RECREATION,464315
47379,Nahoon Mouth Bowling Club,EASTERN CAPE,SPORT & RECREATION,200000
46842,Nelson Mandela Bay Netball Association,EASTERN CAPE,SPORT & RECREATION,750000
32429,Nelson Mandela Metropolitan University,EASTERN CAPE,SPORT & RECREATION,510000
47170,Nemato Rowing Club,EASTERN CAPE,SPORT & RECREATION,764337
24170,Ntsimbini Junior Secondary School,EASTERN CAPE,SPORT & RECREATION,50000
46795,O R Tambo Disabled Persons Organisation,EASTERN CAPE,SPORT & RECREATION,19792
46825,Oxford Striders,EASTERN CAPE,SPORT & RECREATION,540000
46408,Parkland Special School,EASTERN CAPE,SPORT & RECREATION,355308
46408,Parkland Special School,EASTERN CAPE,SPORT & RECREATION,350000
47496,President Primary School,EASTERN CAPE,SPORT & RECREATION,557500
46839,Progress Rugby Club,EASTERN CAPE,SPORT & RECREATION,148470
48883,Qombolo Senior Secondary School,EASTERN CAPE,SPORT & RECREATION,49149
38466,Rhodes University,EASTERN CAPE,SPORT & RECREATION,1236034
47771,S E K Mqhayi High School,EASTERN CAPE,SPORT & RECREATION,500000
46828,SAFA Chris Hani,EASTERN CAPE,SPORT & RECREATION,755199
46781,SAFA O R Tambo,EASTERN CAPE,SPORT & RECREATION,978018
38112,Softball South Africa,EASTERN CAPE,SPORT & RECREATION,1050000
38378,Sotinini Senior Secondary School,EASTERN CAPE,SPORT & RECREATION,300000
46274,South African Transplant Sports Association,EASTERN CAPE,SPORT & RECREATION,1247025
46352,Stirling High School,EASTERN CAPE,SPORT & RECREATION,633039
46352,Stirling High School,EASTERN CAPE,SPORT & RECREATION,633093
46369,Stirling High School,EASTERN CAPE,SPORT & RECREATION,697600
48240,Stulting Primary School,EASTERN CAPE,SPORT & RECREATION,189269
46830,Stutterheim Country Club,EASTERN CAPE,SPORT & RECREATION,540000
46921,Super Eagles Cricket Club,EASTERN CAPE,SPORT & RECREATION,311000
47766,Teko Springs JS School,EASTERN CAPE,SPORT & RECREATION,48179
46539,Tennis Eastern Province Association,EASTERN CAPE,SPORT & RECREATION,200000
46539,Tennis Eastern Province Association,EASTERN CAPE,SPORT & RECREATION,2000000
38408,Transkei Primary School,EASTERN CAPE,SPORT & RECREATION,332325
47444,Union High School,EASTERN CAPE,SPORT & RECREATION,30704
32446,University Of Fort Hare,EASTERN CAPE,SPORT & RECREATION,885500
47133,Valgas Football Club,EASTERN CAPE,SPORT & RECREATION,142371
47176,Vezokuhle Youth Development Project,EASTERN CAPE,SPORT & RECREATION,49980
47044,Victoria Park Tennis Club,EASTERN CAPE,SPORT & RECREATION,512647
38528,Westview Special School,EASTERN CAPE,SPORT & RECREATION,210000
28259,Association For Persons With Disabilities: Free State,FREE STATE,"ARTS, CULTURE & NATIONAL HERITAGE",1515600
44567,Eben Donges Primary School,FREE STATE,"ARTS, CULTURE & NATIONAL HERITAGE",454467
44488,"Epilepsy South Africa, Free State & North West Branch",FREE STATE,"ARTS, CULTURE & NATIONAL HERITAGE",975789
27501,Free State Symphony Orchestra,FREE STATE,"ARTS, CULTURE & NATIONAL HERITAGE",874000
46047,Free State Symphony Orchestra,FREE STATE,"ARTS, CULTURE & NATIONAL HERITAGE",690160
44490,Hlanganani - Kopanang Theatre,FREE STATE,"ARTS, CULTURE & NATIONAL HERITAGE",1000000
42577,Lesaoana Intermediate School,FREE STATE,"ARTS, CULTURE & NATIONAL HERITAGE",165268
42606,Tshiamo Art and Crafts Development,FREE STATE,"ARTS, CULTURE & NATIONAL HERITAGE",600000
27650,University Of The Free State,FREE STATE,"ARTS, CULTURE & NATIONAL HERITAGE",1650160
35316,University Of The Free State,FREE STATE,"ARTS, CULTURE & NATIONAL HERITAGE",969038
41152,Atlehang Multipurpose Centre,FREE STATE,CHARITIES,66020
49820,Auksano,FREE STATE,CHARITIES,124000
49581,Bethlehem Child and Family Welfare Society,FREE STATE,CHARITIES,946750
41095,Bophelong Daycare Project,FREE STATE,CHARITIES,606300
41095,Bophelong Daycare Project,FREE STATE,CHARITIES,606300
42679,Buyani Educare Centre,FREE STATE,CHARITIES,196979
43530,Child Welfare South Africa : Kgotsong,FREE STATE,CHARITIES,468000
35188,Child Welfare South Africa : Sasolburg,FREE STATE,CHARITIES,388848
50192,"Child Welfare South Africa, Goldfields",FREE STATE,CHARITIES,335124
52089,"Cloc In Sentrum Vir Bejaardes, Clocolan",FREE STATE,CHARITIES,240500
42690,Dumisani Pre-School,FREE STATE,CHARITIES,164405
51185,Freedom Care Communities Based Organisation,FREE STATE,CHARITIES,407278
49301,Goldfields (FS) Society For The Blind,FREE STATE,CHARITIES,530660
44934,Goudveld Alkohol En Dwelmsentrum,FREE STATE,CHARITIES,599570
45499,Hennenman Victim Empowerment Forum,FREE STATE,CHARITIES,162233
45499,Hennenman Victim Empowerment Forum,FREE STATE,CHARITIES,162234
44522,Hlanganani Child And Family Welfare Society,FREE STATE,CHARITIES,404100
49817,"Huis Emily Hobhouse Sentrum Vir Bejaardes, Koppies",FREE STATE,CHARITIES,312000
44702,"Huis Sorgvry Sentrum Vir Bejaardes, Reitz",FREE STATE,CHARITIES,332200
45328,Itekeng Self Help Project For Disabled,FREE STATE,CHARITIES,93481
45448,Itemoheng Home Based Care,FREE STATE,CHARITIES,237100
53548,Khanya Consortium,FREE STATE,CHARITIES,155200
51298,KMD Odendaalsrus,FREE STATE,CHARITIES,290076
42977,KMD Senekal,FREE STATE,CHARITIES,1138310
44928,Kroonstad Sentrum Vir Berjaardes,FREE STATE,CHARITIES,222065
50198,Ladybrand Hospice,FREE STATE,CHARITIES,529600
45223,Legae Day Care Centre,FREE STATE,CHARITIES,500000
44524,Lerato Educare Centre,FREE STATE,CHARITIES,200000
50140,Lerato Educare Centre,FREE STATE,CHARITIES,275000
42694,Lerato Pre-School,FREE STATE,CHARITIES,177700
51766,Lesedi La Setjhaba Welfare Organisation,FREE STATE,CHARITIES,361000
51149,Lesedi Mohau Development Centre,FREE STATE,CHARITIES,157000
44984,"Lukas Project, Lindley",FREE STATE,CHARITIES,65000
45392,Mangaung Society for the Care of the Aged,FREE STATE,CHARITIES,8261395
40980,Maokeng Disabled Children's Centre,FREE STATE,CHARITIES,173499
49695,Methodist Home for the Aged Sally Martin Park,FREE STATE,CHARITIES,50530
35941,Mmabahloki Clara Home,FREE STATE,CHARITIES,50000
44145,"Mooi Uitsig Sentrum Vir Bejaardes, Winburg",FREE STATE,CHARITIES,130625
50030,Mosamaria Aids Ministry,FREE STATE,CHARITIES,357782
42616,Mphohadi Day Care Centre,FREE STATE,CHARITIES,146792
49948,Najaarsrus Tuiste Vir Bejaardes,FREE STATE,CHARITIES,300000
41189,"Nasina Sentrum Vir Bejaardes, Ventersburg",FREE STATE,CHARITIES,391336
45735,Ng Maatskaplike Dienste - Vrystaat,FREE STATE,CHARITIES,1471850
49767,Noorderbloem Behuisingskema En Dienssentrum,FREE STATE,CHARITIES,81168
49957,Northern Free State Mental Health Society,FREE STATE,CHARITIES,272150
52356,"Ons Tuiste, Bloemfontein",FREE STATE,CHARITIES,426614
44599,"Ons Woning Sentrum Vir Bejaardes, Petrusburg",FREE STATE,CHARITIES,469331
49934,"Ons Woning Sentrum Vir Bejaardes, Petrusburg",FREE STATE,CHARITIES,256207
41629,"Onze Rust Sentrum Vir Bejaardes, Steynsrus",FREE STATE,CHARITIES,356000
43881,Oranje Vrouevereniging - Harrismith,FREE STATE,CHARITIES,260000
44557,Oranje-Vrouevereniging Huis Silwerjare,FREE STATE,CHARITIES,764000
49760,Oranje-Vrouevereniging Huis Silwerjare,FREE STATE,CHARITIES,350000
42680,Paballong Day Care & Pre School,FREE STATE,CHARITIES,192890
49925,Pathways Bethlehem,FREE STATE,CHARITIES,130611
50277,Qwa-Qwa Child and family Welfare Society,FREE STATE,CHARITIES,389778
49949,Sechaba Day Care Centre,FREE STATE,CHARITIES,40850
49949,Sechaba Day Care Centre,FREE STATE,CHARITIES,40850
49700,Senekal Sentrum Vir Bejaardes,FREE STATE,CHARITIES,734729
43809,"Sentrum Vir Bejaardes, Bloemfontein",FREE STATE,CHARITIES,1216648
40786,Sisters of St. Paul Aids and Vulnerable Children Project,FREE STATE,CHARITIES,101207
49889,"Skemervreugde Sentrum Vir Bejaardes, Paul Roux",FREE STATE,CHARITIES,498696
49719,SPCA Kroonstad,FREE STATE,CHARITIES,131660
45692,The Golden Gateway Hospice Association,FREE STATE,CHARITIES,1104604
49783,The Golden Gateway Hospice Association,FREE STATE,CHARITIES,534125
49936,Thusanang Educare Centre,FREE STATE,CHARITIES,148407
42965,Thusanang Home Base Care And Palliative Care,FREE STATE,CHARITIES,309223
49768,Thusanang Home Base Care And Palliative Care,FREE STATE,CHARITIES,697650
43887,Tshidisanang Women’s Health Centre,FREE STATE,CHARITIES,134283
51934,Tswelopele Day Care Centre,FREE STATE,CHARITIES,300000
42644,Tumahole Self-Help Association Of Disabled,FREE STATE,CHARITIES,902218
44701,Viljoenskroon Sentrum Vir Bejaardes,FREE STATE,CHARITIES,504344
41317,Vrystaat - Versorging In Aksie Tak: Vredefort,FREE STATE,CHARITIES,233980
49731,Vrystaat Nasorgsentrum Vir Verstandelik Gestremde Volwassenes,FREE STATE,CHARITIES,530000
35170,Vrystaat Versorging In Aksie - Philippolis Tak,FREE STATE,CHARITIES,283007
50734,Vrystaat Versorging In Aksie Tak - Warden,FREE STATE,CHARITIES,137000
40832,Vrystaat Versorging In Aksie Tak:  Warden,FREE STATE,CHARITIES,78600
43974,Vrystaat Versorging In Aksie: Bothaville,FREE STATE,CHARITIES,1646813
44140,Vrystaat Versorging In Aksie: Heilbron,FREE STATE,CHARITIES,65500
44140,Vrystaat Versorging In Aksie: Heilbron,FREE STATE,CHARITIES,65500
43418,Vrystaat Versorging In Aksie: Hennenman,FREE STATE,CHARITIES,707799
43403,Vrystaat Versorging In Aksie: Smithfield,FREE STATE,CHARITIES,122865
49807,Vrystaat-Versorging In Aksie Hoofbestuur,FREE STATE,CHARITIES,482000
44628,Vrystaat-Versorging In Aksie Tak Goudrif,FREE STATE,CHARITIES,212000
43875,Vrystaat-Versorging In Aksie Tak: Lindley,FREE STATE,CHARITIES,420495
44850,Vrystaat-Versorging In Aksie Tak: Wesselsbron,FREE STATE,CHARITIES,1832994
42389,Vrystaat-Versorging In Aksie: Bloemfontein Tak,FREE STATE,CHARITIES,1454759
51242,Vrystaat-Versorging In Aksie: Parys,FREE STATE,CHARITIES,561782
44642,Vrystaat-Versorging In Aksie: Trompsburg,FREE STATE,CHARITIES,205000
50464,Vrystaat-Versorging In Aksie: Zastron,FREE STATE,CHARITIES,1162500
45080,Vrystaat-Versorging Inaksie Tak: Theunissen,FREE STATE,CHARITIES,953584
45413,Vuka Early Childhood Development Centre,FREE STATE,CHARITIES,60000
23812,Aha Setjhaba Primary School,FREE STATE,SPORT & RECREATION,350000
39672,Aurora Primary School,FREE STATE,SPORT & RECREATION,340000
48989,Bofihla Intermediate School,FREE STATE,SPORT & RECREATION,180000
47402,Brandwag Primary School,FREE STATE,SPORT & RECREATION,180000
39457,Dagbreek Primary School,FREE STATE,SPORT & RECREATION,350000
47364,Dewetsdorp Golf Club,FREE STATE,SPORT & RECREATION,520000
