Project Number,Sector,Province,Name,Amount
69382,CHARITIES,EASTERN CAPE,Psychiatric After Care Havens,350000.0
72550,CHARITIES,EASTERN CAPE,Port Alfred Child & Family Welfare Society,538900.0
72447,CHARITIES,EASTERN CAPE,FAMSA Border East London,536950.0
57195,CHARITIES,EASTERN CAPE,Agape Support Group Association,272750.0
65960,CHARITIES,EASTERN CAPE,Good Samaritan Home,362280.0
65982,CHARITIES,EASTERN CAPE,Empilisweni HIV/AIDS & Orphans Care,399256.0
59542,CHARITIES,EASTERN CAPE,Nywara Home Based Care & Rehabilitation,565342.0
33671,CHARITIES,EASTERN CAPE,Stirling Lodge Housing Utility Company,583680.0
70107,CHARITIES,EASTERN CAPE,Temba Community Development Services,691000.0
69735,CHARITIES,EASTERN CAPE,Siduli Day Care Centre,215777.0
66289,CHARITIES,EASTERN CAPE,Siyakhana Youth Outreach & Education Programme,329500.0
70127,CHARITIES,EASTERN CAPE,Phaphamani Rape Crisis Counselling Centre,396497.0
69887,CHARITIES,EASTERN CAPE,Kruisfontein/Humansdorp Child & Family Welfare,1186600.0
69952,CHARITIES,EASTERN CAPE,Masibambisane Home Based Care and Support,213850.0
70183,CHARITIES,EASTERN CAPE,Masisebenzisane Day Care Centre,236000.0
71130,CHARITIES,EASTERN CAPE,ACVV Port Elizabeth Sentraal,518544.0
72425,CHARITIES,EASTERN CAPE,Matatiele Child & Family Welfare Society,360969.0
70033,CHARITIES,EASTERN CAPE,Aliwal North Child and Family Welfare Society,762435.0
66952,CHARITIES,EASTERN CAPE,CMR van die Ring van Sondagsrivier,186397.0
70997,CHARITIES,EASTERN CAPE,ACVV Algoa Park /Govan Mbeki,306000.0
69591,CHARITIES,EASTERN CAPE,Sophumelela Multi Purpose Centre,285000.0
70114,CHARITIES,EASTERN CAPE,Siyakhanyisa HIV/AIDS Support Group,356000.0
70065,CHARITIES,EASTERN CAPE,Imfobe Yakhe Educare Centre,135184.0
71300,CHARITIES,EASTERN CAPE,Tembelitsha Rehab Centre,468960.0
70191,CHARITIES,EASTERN CAPE,Hospice Association of Transkei,544800.0
70675,CHARITIES,EASTERN CAPE,Aurora Special Care Centre,115000.0
51078,CHARITIES,EASTERN CAPE,Camama Cheshire Home,838449.0
71419,CHARITIES,EASTERN CAPE,On Eagle's Wings Centre,327280.0
72373,CHARITIES,EASTERN CAPE,Domestic Violence Unit,583349.0
68022,CHARITIES,EASTERN CAPE,Christelike Maatskaplike Raad - Graaff Reinet,173375.0
67119,CHARITIES,EASTERN CAPE,ACVV Uitenhage,109000.0
69574,CHARITIES,EASTERN CAPE,Luthando Training Centre,84450.0
69876,CHARITIES,EASTERN CAPE,Masakhane Peelton Support Group,239050.0
70232,CHARITIES,EASTERN CAPE,Ons Tuiste Humansdorp,125310.0
66329,CHARITIES,EASTERN CAPE,Lifeline Port Elizabeth,523792.0
71967,CHARITIES,EASTERN CAPE,Nonelel' Uluntu Women's Organisation,211225.0
69853,CHARITIES,EASTERN CAPE,Dibashe Day Care Centre,174000.0
71423,CHARITIES,EASTERN CAPE,Khula Community Development Project,355639.0
69978,CHARITIES,EASTERN CAPE,Nywara Home Based Care & Rehabilitation,356649.0
67413,CHARITIES,EASTERN CAPE,Keiskamma Art Project Trust,50400.0
70020,CHARITIES,EASTERN CAPE,ACVV Eldorado,63000.0
50642,CHARITIES,EASTERN CAPE,Zamilizwe Senior Primary School,390000.0
70808,CHARITIES,EASTERN CAPE,Christelik Maatskaplike Raad van Burgersdorp,108758.0
70935,CHARITIES,EASTERN CAPE,Children's Resource Centre-Dimbaza,209550.0
70136,CHARITIES,EASTERN CAPE,Mzomtsha Childrens Home,996485.0
70153,CHARITIES,EASTERN CAPE,The House of Restoration Educational Development Community Centre,310000.0
70674,CHARITIES,EASTERN CAPE,Goodwill Safety Shelter,479700.0
69999,CHARITIES,EASTERN CAPE,Masimanyane Women's Support Group,576610.0
66035,CHARITIES,EASTERN CAPE,Lady Grey Community Based Organisation,636087.0
70172,CHARITIES,EASTERN CAPE,Sibahle Day Care Centre,145336.0
49569,CHARITIES,EASTERN CAPE,SANCA Central Eastern Cape,1397178.0
50465,CHARITIES,EASTERN CAPE,Tembelitsha Rehab Centre,1033419.0
52204,CHARITIES,EASTERN CAPE,Rural Support Services,217645.0
52421,CHARITIES,EASTERN CAPE,Glady's East Day Care Centre,250000.0
54087,CHARITIES,EASTERN CAPE,Sophila Sonke Community Health Workers,498972.0
56061,CHARITIES,EASTERN CAPE,Sinomonde Old Age Club,401297.0
58292,CHARITIES,EASTERN CAPE,Emmanuel Haven Trust,213250.0
65603,CHARITIES,EASTERN CAPE,Christian Soldiers,45000.0
66283,CHARITIES,EASTERN CAPE,Berlin Advice Centre,181097.0
66286,CHARITIES,EASTERN CAPE,Msobomvu HIV/AIDS Organisation,200000.0
66563,CHARITIES,EASTERN CAPE,Port Elizabeth Childline & Family Centre,860330.0
66799,CHARITIES,EASTERN CAPE,FAMSA Stutterheim,998200.0
67560,CHARITIES,EASTERN CAPE,Peddie Development Centre,405000.0
67582,CHARITIES,EASTERN CAPE,SANTA Eastern Cape,507150.0
67671,CHARITIES,EASTERN CAPE,Phakamisanani HIV/AIDS Centane Support Group,218000.0
67870,CHARITIES,EASTERN CAPE,Ncora Day Care Centre,103399.0
68138,CHARITIES,EASTERN CAPE,Sneeuwitjie Early Childhood Development Centre,98250.0
69463,CHARITIES,EASTERN CAPE,House of Resurrection Haven,478000.0
69475,CHARITIES,EASTERN CAPE,Elsen Academy,468740.0
69710,CHARITIES,EASTERN CAPE,ACVV Huis Diaz,120000.0
69740,CHARITIES,EASTERN CAPE,ACVV Port Elizabeth West,141360.0
69768,CHARITIES,EASTERN CAPE,CMSL Community Trust,163000.0
69782,CHARITIES,EASTERN CAPE,Siyabakhulisa Day Care Centre,27000.0
69941,CHARITIES,EASTERN CAPE,Gompo Welfare for the Aged,449325.0
69953,CHARITIES,EASTERN CAPE,Umtata Street Child Programme,757540.0
70004,CHARITIES,EASTERN CAPE,Tarkastad Home,300000.0
70012,CHARITIES,EASTERN CAPE,Petals Day Care Centre,206000.0
70030,CHARITIES,EASTERN CAPE,Phumelela Special Care Centre,295185.0
70043,CHARITIES,EASTERN CAPE,Child Welfare South Africa East London,994050.0
70046,CHARITIES,EASTERN CAPE,Masithethe Counseling Services,652246.0
70101,CHARITIES,EASTERN CAPE,Manci Siqalile Community Service,179346.0
70161,CHARITIES,EASTERN CAPE,The Letsema Circle Trust,201000.0
70165,CHARITIES,EASTERN CAPE,Zingisa Rehabilitation and Home Care Centre,813577.0
70175,CHARITIES,EASTERN CAPE,Missionvale Care Centre,994464.0
70187,CHARITIES,EASTERN CAPE,Masikhule Early Childhood Development Centre,945344.0
70218,CHARITIES,EASTERN CAPE,Yizani Home Based Care Project,429900.0
70293,CHARITIES,EASTERN CAPE,Ikwezi Womens Support Centre,549400.0
70298,CHARITIES,EASTERN CAPE,Pinkster Sending Van God,127200.0
70389,CHARITIES,EASTERN CAPE,Operation Smile Madiba Bay,542000.0
70433,CHARITIES,EASTERN CAPE,ACVV Newton Park: Haas Das Daycare Centre,150000.0
70502,CHARITIES,EASTERN CAPE,Masikhawulelane Community Project,306518.0
70826,CHARITIES,EASTERN CAPE,Mpumakapa Multi-Purpose Education Centre,254600.0
70915,CHARITIES,EASTERN CAPE,Protea Service Centre,184478.0
71004,CHARITIES,EASTERN CAPE,Nolundi Creche & Pre-School,222000.0
71024,CHARITIES,EASTERN CAPE,Carel du Toit Trust Fund,603548.0
71026,CHARITIES,EASTERN CAPE,Sibabalwe Project for the Disabled,137770.0
71028,CHARITIES,EASTERN CAPE,OR Tambo Disabled Persons Organisation,568680.0
71335,CHARITIES,EASTERN CAPE,Conserve Ministries,215759.0
71355,CHARITIES,EASTERN CAPE,Child Welfare South Africa  Bedford,699193.0
71424,CHARITIES,EASTERN CAPE,Leisure Homes for Senior Citizens,85000.0
71427,CHARITIES,EASTERN CAPE,Masinyusane Development Organisation,240500.0
71818,CHARITIES,EASTERN CAPE,Society For The Physically Disabled,203500.0
71839,CHARITIES,EASTERN CAPE,Nobandla Nursery and Pre-School,165446.0
71846,CHARITIES,EASTERN CAPE,Loaves And Fishes Network,949594.0
72450,CHARITIES,EASTERN CAPE,East London High Transmission Area Project,589410.0
72463,CHARITIES,EASTERN CAPE,Gwebindlala HIV/AIDS Organisation,276102.0
72479,CHARITIES,EASTERN CAPE,Phaphamang Pre-School,97421.0
72487,CHARITIES,EASTERN CAPE,Port Alfred Benevolent Society,592400.0
72553,CHARITIES,EASTERN CAPE,National Arts Festival Grahamstown,2302050.0
72630,CHARITIES,EASTERN CAPE,Retired Health Care Personnel Association,421171.0
72706,CHARITIES,EASTERN CAPE,Aliwal Diocese Welfare and Development Committee,196500.0
72576,MISCELLANEOUS PURPOSES,EASTERN CAPE,Business Against Crime Eastern Cape,720400.0
75445,MISCELLANEOUS PURPOSES,EASTERN CAPE,The Giant Flag,1351893.7
75467,MISCELLANEOUS PURPOSES,EASTERN CAPE,Zamani Training Centre,500000.0
75607,MISCELLANEOUS PURPOSES,EASTERN CAPE,Southernwood Primary School,421560.0
26586,SPORTS,EASTERN CAPE,Eastern Province Volleyball Union,560441.0
63104,SPORTS,EASTERN CAPE,St Mark and St John Table Tennis Club,193223.0
61842,SPORTS,EASTERN CAPE,Lukhanyo Sen Sec School,95587.0
61704,SPORTS,EASTERN CAPE,Lovedale Public FET College,1000000.0
60628,SPORTS,EASTERN CAPE,Luyteville Primary School,95587.0
48528,SPORTS,EASTERN CAPE,Pearson High School,100539.97
63863,SPORTS,EASTERN CAPE,Eastern Province Squash Union,500000.0
63538,SPORTS,EASTERN CAPE,Dimbaza Society for the Aged,38229.0
63344,SPORTS,EASTERN CAPE,Stirling Sports Club,115681.5
63661,SPORTS,EASTERN CAPE,Zwide Pirates FC,200000.0
61084,SPORTS,EASTERN CAPE,Victoria Mxenge High School,95587.0
62318,SPORTS,EASTERN CAPE,Isivivane Secondary School,99166.83
63289,SPORTS,EASTERN CAPE,Ludondolo Junior Secondary School,95587.0
61845,SPORTS,EASTERN CAPE,Buffalo Flats Primary School,95587.0
61833,SPORTS,EASTERN CAPE,Thompson Junior Secondary School,95587.0
64441,SPORTS,EASTERN CAPE,Grey High School,99380.0
63337,SPORTS,EASTERN CAPE,Phakamani Junior Secondary School,97620.0
62146,SPORTS,EASTERN CAPE,Riebeek College General Fund,100000.0
49058,SPORTS,EASTERN CAPE,Grey Junior School,90000.0
63379,SPORTS,EASTERN CAPE,Ntsika Secondary School,83200.0
61271,SPORTS,EASTERN CAPE,AM Tapa Secondary School,49998.65
60589,SPORTS,EASTERN CAPE,Zukhanye Secondary School,95587.0
63056,SPORTS,EASTERN CAPE,Dale College Boys Primary School,100000.0
64102,SPORTS,EASTERN CAPE,Hendrik Kanise Combined School,102055.0
64158,SPORTS,EASTERN CAPE,D.M Skosana Senior Secondary School,86200.0
62027,SPORTS,EASTERN CAPE,Border Ladies Golf,250000.0
64168,SPORTS,EASTERN CAPE,Cala Community School,89755.0
60375,SPORTS,EASTERN CAPE,Masithembe Senior Primary School,100000.0
38525,SPORTS,EASTERN CAPE,Alphendale Secondary School,100000.0
63765,SPORTS,EASTERN CAPE,Altona Laerskool,100000.0
63101,SPORTS,EASTERN CAPE,Vuli- Valley Senior Secondary School,95587.0
60614,SPORTS,EASTERN CAPE,Alfred Giba Secondary School,95587.0
61085,SPORTS,EASTERN CAPE,Celetyuma Primary School,95587.0
61706,SPORTS,EASTERN CAPE,Thoboshana Primary School,50000.0
60975,SPORTS,EASTERN CAPE,Simzamile Senior Secondary School,95587.0
63128,SPORTS,EASTERN CAPE,De Vos Malan High School,100000.0
60977,SPORTS,EASTERN CAPE,Pirie Primary School,95587.0
64514,SPORTS,EASTERN CAPE,Laerskool Nahoon,99872.0
63722,SPORTS,EASTERN CAPE,Zwide Celtics F.C,193100.0
64305,SPORTS,EASTERN CAPE,Sunridge Primary School,87499.24
63731,SPORTS,EASTERN CAPE,Manchester City Football Club,193100.0
62851,SPORTS,EASTERN CAPE,Masibambane Disabled Centre,50077.47
65301,SPORTS,EASTERN CAPE,Masizame Training Centre,50000.0
61840,SPORTS,EASTERN CAPE,Nowonga Junior Primary School,47794.0
60623,SPORTS,EASTERN CAPE,Mzuxolile Senior Secondary School,95587.0
64166,SPORTS,EASTERN CAPE,Sijadu Junior Secondary School,95587.0
61090,SPORTS,EASTERN CAPE,Dondashe Secondary School,95587.0
64063,SPORTS,EASTERN CAPE,Kusile Secondary Public School,95587.0
48288,SPORTS,EASTERN CAPE,Clarendon Preparatory School for Girls,180000.0
63095,SPORTS,EASTERN CAPE,Ngonyama Junior Secondary School,94948.32
60451,SPORTS,EASTERN CAPE,Babes United Academy of Football,200000.0
63098,SPORTS,EASTERN CAPE,Ncapai Junior Secondary School,95587.0
61697,SPORTS,EASTERN CAPE,Stutterheim Country Club,200000.0
63285,SPORTS,EASTERN CAPE,Phambili Lower Primary School,95587.0
64315,SPORTS,EASTERN CAPE,Glenville Celtic AFC,200000.0
63356,SPORTS,EASTERN CAPE,Westview Special School,100000.0
48431,SPORTS,EASTERN CAPE,Ngonyama Junior Secondary School,40000.0
61847,SPORTS,EASTERN CAPE,Gcobani Public School,95587.0
61020,SPORTS,EASTERN CAPE,Ngangelizwe High School,100089.0
62894,SPORTS,EASTERN CAPE,Daniel Pienaar Technical High School,100000.0
64178,SPORTS,EASTERN CAPE,Primere Skool Uitenhage,99997.35
62840,SPORTS,EASTERN CAPE,Gelvandale Cricket Club,199788.0
48526,SPORTS,EASTERN CAPE,Amazizi Senior Secondary School,49711.4
63282,SPORTS,EASTERN CAPE,Mtshotshisa Junior Secondary School,95587.0
60499,SPORTS,EASTERN CAPE,Thandulwazi LP School,100000.0
61269,SPORTS,EASTERN CAPE,Abbotsford Christian School,50000.0
49519,SPORTS,EASTERN CAPE,Eastern Cape Rowing Association (ECRA),400000.0
62020,SPORTS,EASTERN CAPE,Hoerskool DF Malherde,50000.0
61314,SPORTS,EASTERN CAPE,Maxhalanga Junior and Senior  Primary School,47793.0
63740,SPORTS,EASTERN CAPE,SA Football Association-Nelson Mandela Bay,939891.41
61667,SPORTS,EASTERN CAPE,Ncera Intermediate School,50000.0
64625,SPORTS,EASTERN CAPE,Eastern Cape Rowing Association (ECRA),998000.0
61238,SPORTS,EASTERN CAPE,Beaconhurst School,100000.0
63734,SPORTS,EASTERN CAPE,Liverpool Ladies Football Club,100000.0
63618,SPORTS,EASTERN CAPE,Scorpion Soccer Football Club,100000.0
63729,SPORTS,EASTERN CAPE,Camper United Football Club,100000.0
61282,SPORTS,EASTERN CAPE,Komga School Funds Account,40902.0
60381,SPORTS,EASTERN CAPE,ST Joseph's RC School Trust Fund,100000.0
62823,SPORTS,EASTERN CAPE,Cape Recife High School,100000.0
63766,SPORTS,EASTERN CAPE,President Primary School,70253.8
60971,SPORTS,EASTERN CAPE,Jikolo Lower Primary School,95587.0
60599,SPORTS,EASTERN CAPE,Thandulwazi Junior Primary School,95487.0
60618,SPORTS,EASTERN CAPE,Dimbaza Primary School,95587.0
60635,SPORTS,EASTERN CAPE,Mbulelo Benekane Senior Secondary School,95587.0
63361,SPORTS,EASTERN CAPE,Buffalo City Soccer School,50750.0
61830,SPORTS,EASTERN CAPE,Butterworth High School,47793.5
49311,SPORTS,EASTERN CAPE,Nelson Mandela Metropolitan University,894458.0
64537,SPORTS,EASTERN CAPE,Ntabazijongene Junior Secondary School,100000.0
64618,SPORTS,EASTERN CAPE,Zwartkops Rowing Club,200000.0
48916,SPORTS,EASTERN CAPE,Selborne Primary School,99602.69
64844,SPORTS,EASTERN CAPE,Border Canoe Club,173702.75
61088,SPORTS,EASTERN CAPE,Mgcawezulu Senior Secondary School,99606.74
64468,SPORTS,EASTERN CAPE,Maletswai Development and Sport Centre,50000.0
60624,SPORTS,EASTERN CAPE,Nathaniel Pamla High School,95587.0
63778,SPORTS,EASTERN CAPE,Adelaide Primary School,97225.0
63237,SPORTS,EASTERN CAPE,Merryvale School for Specialised Education,101800.92
63208,SPORTS,EASTERN CAPE,Guata Junior Secondary School,83690.0
63366,SPORTS,EASTERN CAPE,Ngwayibanjwa Senior Secondary School,100000.0
64151,SPORTS,EASTERN CAPE,East London Secondary School,100000.0
38522,SPORTS,EASTERN CAPE,Phandulwazi Agricultural High School,118293.0
46478,SPORTS,EASTERN CAPE,Port Elizabeth College,500000.0
46842,SPORTS,EASTERN CAPE,Nelson Mandela Bay Netball Association,750000.0
48876,SPORTS,EASTERN CAPE,Dyantyi Junior Secondary School,49809.0
48925,SPORTS,EASTERN CAPE,Sithunzi Junior Secondary School,49711.3
60595,SPORTS,EASTERN CAPE,Jali High/Secondary School,95587.0
60602,SPORTS,EASTERN CAPE,Zimlindile High School,95587.0
60617,SPORTS,EASTERN CAPE,Enoch Sontonga Senior Secondary School,95587.0
60622,SPORTS,EASTERN CAPE,Forbes Grant Senior Secondary School,95587.0
60627,SPORTS,EASTERN CAPE,Mtyolo Primary School,95587.0
60650,SPORTS,EASTERN CAPE,Laerskool Burgersdorp,100000.0
60683,SPORTS,EASTERN CAPE,Middleburg High School,97073.49
60968,SPORTS,EASTERN CAPE,Nosizwe High School,95112.0
61038,SPORTS,EASTERN CAPE,Beaconhurst School,100000.0
61091,SPORTS,EASTERN CAPE,Laer Volkskool Somerset Straat,100000.0
61167,SPORTS,EASTERN CAPE,Sizamile Training Centre,50000.0
61507,SPORTS,EASTERN CAPE,Border Golf Union,1000000.0
61667,SPORTS,EASTERN CAPE,Ncera Intermediate School,50000.0
61672,SPORTS,EASTERN CAPE,Atlantic Spurs Football Club,200000.0
61682,SPORTS,EASTERN CAPE,Eastern Cape Sports Council,500000.0
62306,SPORTS,EASTERN CAPE,Mlondleni Junior Secondary School,100000.1
62851,SPORTS,EASTERN CAPE,Masibambane disabled Centre,50077.48
62872,SPORTS,EASTERN CAPE,Cornerstone Training Centre,100000.0
62987,SPORTS,EASTERN CAPE,Selbourne College,99041.55
62992,SPORTS,EASTERN CAPE,Michausdal Senior Secondary School,89600.0
63027,SPORTS,EASTERN CAPE,Ankervas Primary School,100000.0
63054,SPORTS,EASTERN CAPE,Ndesi Junior Secondary School,95587.0
63062,SPORTS,EASTERN CAPE,ST. Anne's Primary School,100000.0
63105,SPORTS,EASTERN CAPE,Ben Cox English Medium School,100000.0
63134,SPORTS,EASTERN CAPE,Port Elizabeth Golf Club,200000.0
63165,SPORTS,EASTERN CAPE,Gonubie Golf Club,200000.0
63176,SPORTS,EASTERN CAPE,The Woods Bowling Club,204453.0
63226,SPORTS,EASTERN CAPE,ST Peters Hockey Club,158900.0
63240,SPORTS,EASTERN CAPE,Gelvan Hockey Club,200000.0
63344,SPORTS,EASTERN CAPE,Stirling Sports Club,115681.5
63357,SPORTS,EASTERN CAPE,Mzimkhulu Primary School,98682.08
63385,SPORTS,EASTERN CAPE,Valgas Football Club,125500.0
63403,SPORTS,EASTERN CAPE,Mazibuko Senior Secondary School,93690.0
63408,SPORTS,EASTERN CAPE,Ethembeni Special Day Care Centre,53370.0
63520,SPORTS,EASTERN CAPE,Ongeluk’s Nek Junior Secondary School,41682.0
63622,SPORTS,EASTERN CAPE,Real Crusaders Football Club,200000.0
63732,SPORTS,EASTERN CAPE,African Wanderes Football Club,193100.0
63896,SPORTS,EASTERN CAPE,Blue Crane Route Municipality,600000.0
63901,SPORTS,EASTERN CAPE,John Walton Secondary School,106154.47
64108,SPORTS,EASTERN CAPE,L M Silingela Junior  Primary School,100000.0
64125,SPORTS,EASTERN CAPE,Thubalethu High School,100000.0
64148,SPORTS,EASTERN CAPE,Cala Village Junior Secondary School,86405.0
64181,SPORTS,EASTERN CAPE,Queenstown Rugby Sub Union,79000.0
64329,SPORTS,EASTERN CAPE,Southern Africa Equestrian Tent Pegging Association,65250.0
64854,SPORTS,EASTERN CAPE,Get Ahead Project College,80000.0
65306,SPORTS,EASTERN CAPE,Grahamstown Rugby Club-The Brumbies,204666.0
65465,SPORTS,EASTERN CAPE,Kruisfontein United Rugby Club,418860.6
66284,SPORTS,EASTERN CAPE,Nemato Gymnastics Club,540943.35
75291,SPORTS,EASTERN CAPE,Border Cricket,1.7323034E7
75558,SPORTS,EASTERN CAPE,Mxumbu Primary School,300000.0
62314,SPORTS,EASTERN CAPE,Nompendulo Junior Secondary School,100581.6
62818,SPORTS,EASTERN CAPE,Tennis Eastern Province,1037196.0
