Province,Sector,Project Number,Name,Amount
EASTERN CAPE,ARTS,86391,Ingomso Film Skills And Youth Development,6011195.2
EASTERN CAPE,ARTS,91794,Ingomso Film Skills And Youth Development,5129920.0
EASTERN CAPE,ARTS,93454,Masupa Heritage Hup NPC,3081520.0
EASTERN CAPE,ARTS,93759,Raymond Dideka Mhlaba Foundation,299988.0
EASTERN CAPE,CHARITIES,67564,Ibhabhathane Community Centre,105500.0
EASTERN CAPE,CHARITIES,50465,Tembelitsha Rehab Centre,1033420.0
EASTERN CAPE,CHARITIES,52421,Glady's East Day Care Centre,250000.0
EASTERN CAPE,CHARITIES,58038,Ready For Life Trust,213112.0
EASTERN CAPE,CHARITIES,58133,Little Flower Pre School,86500.0
EASTERN CAPE,CHARITIES,59496,Siyaloba Training Academy,300000.0
EASTERN CAPE,CHARITIES,63838,Grahamstown Hospice Service,922190.0
EASTERN CAPE,CHARITIES,66667,Kwasizabantu Community Development Project For The Aged,178040.0
EASTERN CAPE,CHARITIES,66691,The Ark Day Care Centre for Disabled Children,200975.0
EASTERN CAPE,CHARITIES,66772,Masifunde Siphuhlisa Umfundi  NPC,175500.0
EASTERN CAPE,CHARITIES,66785,Vision Care,584026.0
EASTERN CAPE,CHARITIES,67173,Shepherds Field Kibbutz,757952.0
EASTERN CAPE,CHARITIES,67671,Phakamisanani HIV/AIDS Centane Support Group,218000.0
EASTERN CAPE,CHARITIES,67870,Ncora Cay Care Centre,103399.0
EASTERN CAPE,CHARITIES,68917,Utho Ngathi Disability Projects,203205.0
EASTERN CAPE,CHARITIES,69439,Cradock Animal Shelter,328634.0
EASTERN CAPE,CHARITIES,69574,Luthando Training Centre,84450.0
EASTERN CAPE,CHARITIES,69665,Daily Bread Outreach,378640.0
EASTERN CAPE,CHARITIES,69853,Dibashe Day Care Centre,174000.0
EASTERN CAPE,CHARITIES,69900,Ncedisizwe Hewu Home Based Care Project,200600.0
EASTERN CAPE,CHARITIES,69952,Masibambisane Home Based Care and Support,213850.0
EASTERN CAPE,CHARITIES,70005,Nceduluntu Home Based Care,855755.0
EASTERN CAPE,CHARITIES,70012,Petals Day Care Centre,206000.0
EASTERN CAPE,CHARITIES,70023,Sterkspruit Victim Support Centre,87350.0
EASTERN CAPE,CHARITIES,70078,Sinethemba Organisation,282105.0
EASTERN CAPE,CHARITIES,70079,Voorkoming Afhanklikheid in die Landkloof,122000.0
EASTERN CAPE,CHARITIES,70101,Manci Siqalile Community Service,179345.0
EASTERN CAPE,CHARITIES,70161,The Letsema Circle Trust,201000.0
EASTERN CAPE,CHARITIES,70183,Masisebenzisane Day Care Centre,236000.0
EASTERN CAPE,CHARITIES,70792,Zwelibanzi Inclusive Assistance Programme,2350893.0
EASTERN CAPE,CHARITIES,70810,Nomnandi Day Care Centre,31952.0
EASTERN CAPE,CHARITIES,70956,ACVV Despatch,2000000.0
EASTERN CAPE,CHARITIES,71427,Masinyusane Development Organisation,240500.0
EASTERN CAPE,CHARITIES,71489,Vukuzenzele Community Develooment Project,685500.0
EASTERN CAPE,CHARITIES,71967,Nonelel' Uluntu Women's Organisation,211225.0
EASTERN CAPE,CHARITIES,72425,Matatiele Child & Family Welfare Society,360968.0
EASTERN CAPE,CHARITIES,74451,Masincedane Training Centre,2443200.0
EASTERN CAPE,CHARITIES,85982,Grahamstown Child & Family Welfare Society,4955560.0
EASTERN CAPE,MISCELLANEOUS,75369,Emdeni Secondary School,1500000.0
EASTERN CAPE,MISCELLANEOUS,81656,National Arts Festival Grahamstown,5000000.0
EASTERN CAPE,SPORTS,25055,Mpondomise Ridge Secondary School,245000.0
EASTERN CAPE,SPORTS,25220,Enoch Mthetho SS School,294690.0
EASTERN CAPE,SPORTS,38535,Queens College Boys High School,331964.0
EASTERN CAPE,SPORTS,46602,Eastern Province Aquatics,536483.0
EASTERN CAPE,SPORTS,46781,SAFA OR Tambo,978018.0
EASTERN CAPE,SPORTS,46786,Western Province Bowls Association,636500.0
EASTERN CAPE,SPORTS,47496,President Primary School,283176.0
EASTERN CAPE,SPORTS,48781,Qobo Qobo Junior Primary School,49711.41
EASTERN CAPE,SPORTS,48900,Qina Junior Secondary School,33629.15
EASTERN CAPE,SPORTS,49311,Nelson Mandela Metropolitan University,305542.0
EASTERN CAPE,SPORTS,60590,Reshwa Senior Secondary School,95587.0
EASTERN CAPE,SPORTS,60601,Kwelerana Junior Secondary School,95587.0
EASTERN CAPE,SPORTS,60651,Hoer Volkskool,100000.0
EASTERN CAPE,SPORTS,61260,Beaconhurst School,50000.0
EASTERN CAPE,SPORTS,61271,AM Tapa Secondary School,49998.65
EASTERN CAPE,SPORTS,61457,Eastern Cape Academy of Sport,1500000.0
EASTERN CAPE,SPORTS,61512,Innes Skoolfonds,50000.0
EASTERN CAPE,SPORTS,61652,Zukisa Junior Primary School,100000.0
EASTERN CAPE,SPORTS,61706,Thoboshana Primary School,50000.0
EASTERN CAPE,SPORTS,61727,Hamilton Club,200000.0
EASTERN CAPE,SPORTS,61830,Butterworth High School,47793.5
EASTERN CAPE,SPORTS,61863,J M Ndindwa High School,100000.0
EASTERN CAPE,SPORTS,62319,Ntabeni junior Secondary School,100581.61
EASTERN CAPE,SPORTS,62832,Western Suburbs Bowling Club,200000.0
EASTERN CAPE,SPORTS,62988,Hotspurs Football Club,147179.89
EASTERN CAPE,SPORTS,63045,Wongalethu Junior Secondary School,95587.0
EASTERN CAPE,SPORTS,63051,Vulindlela Junior Secondary School,95587.0
EASTERN CAPE,SPORTS,63061,Stepping Stones Pre-Primary School,100000.0
EASTERN CAPE,SPORTS,63263,Edu-College Port Elizabeth,98935.0
EASTERN CAPE,SPORTS,63265,Bisho High School,94400.0
EASTERN CAPE,SPORTS,63275,Sixishe Junior Secondary School,99600.0
EASTERN CAPE,SPORTS,63496,Linkside High School,100000.0
EASTERN CAPE,SPORTS,63618,Scorpion Soccer Football Club,100000.0
EASTERN CAPE,SPORTS,63875,Eastern Province Volleyball Union,504000.0
EASTERN CAPE,SPORTS,64128,Ntabelanga Higher Primary School,94690.0
EASTERN CAPE,SPORTS,64328,Eastern Province Cricket,1000000.0
EASTERN CAPE,SPORTS,64465,Everton Football  Club,200000.0
EASTERN CAPE,SPORTS,64515,Stulting Primary School,100000.0
EASTERN CAPE,SPORTS,64780,Drostdy Park Tennis Club,209750.0
EASTERN CAPE,SPORTS,75291,Border Cricket,8687491.0
EASTERN CAPE,SPORTS,75502,Jongilanga High School,300000.0
EASTERN CAPE,SPORTS,75503,Bhongolethu Senior Secondary School,300000.0
EASTERN CAPE,SPORTS,75506,Eyabantu Senior Secondary School,300000.0
EASTERN CAPE,SPORTS,75508,Nzululwazi High School,298793.0
EASTERN CAPE,SPORTS,75510,Caser Mlumbi Lower And Higher Primary School,300486.0
EASTERN CAPE,SPORTS,75512,Jabavu Senior Secondary School,300000.0
EASTERN CAPE,SPORTS,75513,Mtunzi Tsolekile Public School,300000.0
EASTERN CAPE,SPORTS,75515,Siyabonga Senior Secondary School,300000.0
EASTERN CAPE,SPORTS,75516,Mpongo Primary School,300000.0
EASTERN CAPE,SPORTS,75517,Alice Primary School,302677.0
EASTERN CAPE,SPORTS,75518,Mbizana Primary School,300000.0
EASTERN CAPE,SPORTS,75519,Imingcangathelo Secondary School,300000.0
EASTERN CAPE,SPORTS,75520,Gobizembe High School,297198.0
EASTERN CAPE,SPORTS,75522,Mfiki Primary School,300000.0
EASTERN CAPE,SPORTS,75526,Qomfo Primary School,300000.0
EASTERN CAPE,SPORTS,75527,Mgxotyeni Lower & Higher Primary School,300000.0
EASTERN CAPE,SPORTS,75553,Qanda Primary School,300000.0
EASTERN CAPE,SPORTS,75554,Bhongwelihle Primary School,300000.0
EASTERN CAPE,SPORTS,75555,Debe Primary School,300000.0
EASTERN CAPE,SPORTS,75556,Ntshanga Junior Secondary School,300000.0
EASTERN CAPE,SPORTS,75557,Dikidikana Lower & Higher Primary School,300000.0
EASTERN CAPE,SPORTS,75567,Kulile Junior Secondary School,300000.0
EASTERN CAPE,SPORTS,75568,Dilizintaba Senior Secondary School,300000.0
EASTERN CAPE,SPORTS,75570,Makunga Mvalo Primary School,300000.0
EASTERN CAPE,SPORTS,75571,Eric Mntonga High School,300000.0
EASTERN CAPE,SPORTS,75572,R H Godlo Junior Primary School,300000.0
EASTERN CAPE,SPORTS,75573,Vanani Farm School,300000.0
EASTERN CAPE,SPORTS,75575,Siyavuya Senior Primary School,300000.0
EASTERN CAPE,SPORTS,75580,Shad Mashologu Lower Primary School,300000.0
EASTERN CAPE,SPORTS,75581,Sandisiwe Primary School,300000.0
EASTERN CAPE,SPORTS,75584,Qhamani Senior Secondary School,300000.0
EASTERN CAPE,SPORTS,75586,Umtiza High School,300000.0
EASTERN CAPE,SPORTS,75587,Funiwe Senior Secondary School,300000.0
EASTERN CAPE,SPORTS,75589,Moses Mabhida Senior Secondary School,300000.0
EASTERN CAPE,SPORTS,75590,Dalukukhanya Senior Primary School,300000.0
EASTERN CAPE,SPORTS,75591,Feziwe Primary School,300000.0
EASTERN CAPE,SPORTS,75593,Bulumko Senior Primary School,300000.0
EASTERN CAPE,SPORTS,75584,Hillingdale Primary School,300000.0
EASTERN CAPE,SPORTS,75595,Mzoxolo Senior Primary School,300000.0
EASTERN CAPE,SPORTS,75671,Vela Langa High School,294930.93
EASTERN CAPE,SPORTS,75673,Kwandulwazi Public Primary School,300000.0
EASTERN CAPE,SPORTS,75676,Encotsheni Senior Primary School,300000.0
EASTERN CAPE,SPORTS,75678,Bulembu Primary School,300000.0
EASTERN CAPE,SPORTS,75679,Samkele Public Primary School,300000.0
EASTERN CAPE,SPORTS,75838,Seagulls Football Club,200000.0
EASTERN CAPE,SPORTS,75839,Zwelihle Junior Primary School,300000.0
EASTERN CAPE,SPORTS,76395,Mdantsane Junior Primary School,300300.0
EASTERN CAPE,SPORTS,76398,Isithsaba Junior Primary School,300300.0
EASTERN CAPE,SPORTS,76410,Nobhotwe Junior Primary School,300300.0
EASTERN CAPE,SPORTS,76411,A M Zantsi Secondary School,263600.3
EASTERN CAPE,SPORTS,76437,Samuel Nongogo Lower Primary School,300000.0
EASTERN CAPE,SPORTS,76439,Sanctor Primary School,300000.0
EASTERN CAPE,SPORTS,76446,Kroneberg Primary School,300000.0
EASTERN CAPE,SPORTS,76448,Kuyga Primary School,300300.0
EASTERN CAPE,SPORTS,76454,Zikwaba Public School,300000.0
EASTERN CAPE,SPORTS,76465,Abraham Levy Primary School,300300.0
EASTERN CAPE,SPORTS,76467,Bayview Primary School,300000.0
EASTERN CAPE,SPORTS,76473,De Vos Malan Primary School,300000.0
EASTERN CAPE,SPORTS,76511,Mdengentonga Primary School,300300.0
EASTERN CAPE,SPORTS,76514,Triomf Primary School,300000.0
EASTERN CAPE,SPORTS,76517,ST Johns Road Primary School,300300.0
EASTERN CAPE,SPORTS,76524,Gcato Secondary School,300000.0
EASTERN CAPE,SPORTS,76527,Qiba Junior Secondary School,300000.05
EASTERN CAPE,SPORTS,76532,Luvuyo Lerumo High School,300000.0
EASTERN CAPE,SPORTS,76540,Wongalethu High School,300000.0
EASTERN CAPE,SPORTS,76542,Zanokukhanya Junior Primary School,300300.0
EASTERN CAPE,SPORTS,76543,Enkwenkwezini Primary School,300300.0
EASTERN CAPE,SPORTS,76555,Qhuru Junior Primary School,300000.0
EASTERN CAPE,SPORTS,76557,Emdizeni Primary School,300049.98
EASTERN CAPE,SPORTS,76560,Sifikile Primary School,300000.0
EASTERN CAPE,SPORTS,76562,Van Coller Primary School,300676.0
EASTERN CAPE,SPORTS,76563,Sivuyile Lower Higher Primary School,300000.0
EASTERN CAPE,SPORTS,76564,Mfundo Senior Primary School,300000.0
EASTERN CAPE,SPORTS,76565,Songeze Junior Primary School,300300.0
EASTERN CAPE,SPORTS,76584,Funulwazi Senior Primary School,300300.0
EASTERN CAPE,SPORTS,76590,R H Godlo Junior Primary School,300300.0
EASTERN CAPE,SPORTS,76593,Inyathi Primary School,300000.0
EASTERN CAPE,SPORTS,76619,Lujiza Public Primary School,300300.0
EASTERN CAPE,SPORTS,76622,Zamani Junior Primary School,300300.0
EASTERN CAPE,SPORTS,76638,Zuzile Primary School,300300.0
EASTERN CAPE,SPORTS,76643,Lukhanji Primary School,300267.0
EASTERN CAPE,SPORTS,76654,Lukhanyo Junior Primary School,300000.0
EASTERN CAPE,SPORTS,76666,Parkside Primary School,300300.0
EASTERN CAPE,SPORTS,78802,Siyanda Junior Primary School,300300.0
EASTERN CAPE,SPORTS,78811,Skobeni Lower & Higher Primary School,300000.0
EASTERN CAPE,SPORTS,78817,Braeside Primary School,300300.0
EASTERN CAPE,SPORTS,78819,Gil Ntoni Senior Primary School,299629.25
EASTERN CAPE,SPORTS,78848,Mzonkeshe Primary School,300000.0
EASTERN CAPE,SPORTS,78973,Khanyisa Junior Primary School,300000.0
EASTERN CAPE,SPORTS,78993,Malangeni Junior Secondary School,294006.24
EASTERN CAPE,SPORTS,79008,Mavela Senior Primary School,301225.0
EASTERN CAPE,SPORTS,79021,Fikile Benson Gaushe Junior Primary School,300300.0
EASTERN CAPE,SPORTS,79085,Burgersdorp Gholf Club,200000.0
EASTERN CAPE,SPORTS,79089,Empumelelweni Senoir Primary School,299957.0
EASTERN CAPE,SPORTS,79090,Bluewater Bay Tennis Club,200000.0
EASTERN CAPE,SPORTS,79094,Emntlabati Combined Primary School,300000.0
EASTERN CAPE,SPORTS,79209,Bay City Soccer School,194200.0
EASTERN CAPE,SPORTS,79466,Coselelani High School,48489.1
EASTERN CAPE,SPORTS,79493,Cingani High School,49803.14
EASTERN CAPE,SPORTS,79528,Ndyebo Senior Secondary School,49906.8
EASTERN CAPE,SPORTS,79543,Howard Ben Mzwi Senior Primary School,300000.0
EASTERN CAPE,SPORTS,79544,Khulani Commercial High School,300000.0
EASTERN CAPE,SPORTS,79559,Buwa Junior Seconary School,291051.29
EASTERN CAPE,SPORTS,79616,Loerieheuwel Primere Skool,299095.0
EASTERN CAPE,SPORTS,79627,Enkwenkwezini Senior Secondary School,300929.0
EASTERN CAPE,SPORTS,79632,Empumalanga Primary School,300000.0
EASTERN CAPE,SPORTS,79639,Taleni Senior Primary School,300000.0
EASTERN CAPE,SPORTS,79640,Mpako Junior Primary School,300000.0
EASTERN CAPE,SPORTS,79650,Unathi Mkefa Primary School,298000.0
EASTERN CAPE,SPORTS,79651,Barkerville  Junior Secondary School,299595.0
EASTERN CAPE,SPORTS,79739,Guquza Junior Secondary School,302908.0
EASTERN CAPE,SPORTS,79755,Ngqinibeni Junior Secondary School,250000.0
EASTERN CAPE,SPORTS,79761,Thembalesizwe Primary School,250000.0
EASTERN CAPE,SPORTS,79853,Gardens Rugby Club,199785.0
EASTERN CAPE,SPORTS,79868,Parkside United Football Club,400000.0
EASTERN CAPE,SPORTS,79877,Booysens Pride RFC,198140.0
EASTERN CAPE,SPORTS,79898,United Cricket Club,199930.0
EASTERN CAPE,SPORTS,80102,Luzuko Junior Primary School,300000.0
EASTERN CAPE,SPORTS,80104,Nomvume Junior Primary School,300300.0
EASTERN CAPE,SPORTS,80105,Luxomo Junior Primary School,300000.0
EASTERN CAPE,SPORTS,80116,Matshona Junior Secondary School,299999.49
EASTERN CAPE,SPORTS,80163,Canhams Junior Secondary School,299635.99
EASTERN CAPE,SPORTS,80175,Sophathisana Senior Secondary School,298984.8
EASTERN CAPE,SPORTS,80204,Mabalengwe Senior Secondary School,299774.0
EASTERN CAPE,SPORTS,80205,Dumisa Junior Primary School,300000.0
EASTERN CAPE,SPORTS,80802,Old Grey Squash Club,191000.0
FREE STATE,ARTS,43194,Motswako Performing Artists,665839.98
FREE STATE,ARTS,44567,Eben Donges Primary School,113617.6
FREE STATE,ARTS,73183,The Clinvet Community Development And Education Trust,1340430.0
FREE STATE,ARTS,73183,The Clinvet Community Development And Education Trust,893620.0
FREE STATE,ARTS,73402,South African Church Events Organisation,299995.0
FREE STATE,ARTS,73405,Mantsubise Primary School,200000.0
FREE STATE,ARTS,73476,Oorlogmuseum van Boerrepublieke,1357000.0
FREE STATE,ARTS,73607,Manguang Drama & Dance Group,385660.0
FREE STATE,ARTS,74170,Matseripe Secondary School,127370.0
FREE STATE,ARTS,74186,Tswellang Special School,200000.0
FREE STATE,ARTS,74203,Truida Kestell School,200000.0
FREE STATE,ARTS,87221,Free State Arts & Culture Council,3590800.0
FREE STATE,ARTS,87221,Free State Arts & Culture Council,897700.0
FREE STATE,CHARITIES,50017,Thabiso Skills Development Centre,276467.0
FREE STATE,CHARITIES,51718,Child Welfare South Africa,204955.0
FREE STATE,CHARITIES,66191,Ikopanyeng Preschool and Creche,140445.0
FREE STATE,CHARITIES,66669,Dimamelo Creche,308492.0
FREE STATE,CHARITIES,66814,Tatai Ngwanake Preschool,135010.0
FREE STATE,CHARITIES,66886,Child Welfare South Africa,548276.0
FREE STATE,CHARITIES,66920,Aganang HPCA,497962.0
FREE STATE,CHARITIES,66949,Kgauhelo Project,148700.0
FREE STATE,CHARITIES,66962,KMD Eden Red,200000.0
FREE STATE,CHARITIES,66970,Tholoana Preschool,212500.0
FREE STATE,CHARITIES,67255,Reitumetse Creche,87750.0
FREE STATE,CHARITIES,67257,Phola Day Care Centre,299500.0
FREE STATE,CHARITIES,67261,Angels of God Preschool & Creche,142000.0
FREE STATE,CHARITIES,68710,Leseding Preschool and Creche,132009.0
FREE STATE,CHARITIES,68727,Ipolokeng Creche,135636.0
FREE STATE,CHARITIES,68733,Tiisetso Preschool,178749.0
FREE STATE,CHARITIES,68741,Rethabisitswe Preschool & Creche,111799.0
FREE STATE,CHARITIES,68757,Tumelo Day Care Centre,124073.0
FREE STATE,CHARITIES,68770,Tebello Day Care,111100.0
FREE STATE,CHARITIES,68793,Rethabile Creche,101181.0
FREE STATE,CHARITIES,69256,Ikhauheleng Preschool and Creche,160110.0
FREE STATE,CHARITIES,69258,Bonang Creche,147646.0
FREE STATE,CHARITIES,69351,Tlosa Tlala Community Service,113397.0
FREE STATE,CHARITIES,69617,Mpho Ea Sechaba Elderly Organization,233034.0
FREE STATE,CHARITIES,69623,Heatherdale Diakonale Dienste,150090.0
FREE STATE,CHARITIES,70073,Tshepang Community Based Organisation,143320.0
FREE STATE,CHARITIES,70267,Huis Ougoud Sentrum Vir Bejaardes,50000.0
FREE STATE,CHARITIES,70357,Free State Deaf  Association,664800.0
FREE STATE,CHARITIES,70451,Tswelopele Luncheon Club,82975.0
FREE STATE,CHARITIES,70669,Mmabana Day Care,118250.0
FREE STATE,CHARITIES,71395,Kwakwatsi Activists against HIV/AIDS,128400.0
FREE STATE,CHARITIES,72403,Mahlasedi Pre School,200391.0
FREE STATE,CHARITIES,72529,Thusano Home Based Care,212603.0
FREE STATE,CHARITIES,75049,Paballo Creche,143500.0
FREE STATE,CHARITIES,80451,Mokheles Kindergarden,800000.0
FREE STATE,CHARITIES,86200,Lesedi Hospice,3438816.0
FREE STATE,CHARITIES,87046,Goldfields Hospice Association,2243295.0
FREE STATE,CHARITIES,87222,Emfundisweni Educare Centre,544916.0
FREE STATE,CHARITIES,87341,House of Hope Community Life Development Program,233500.0
FREE STATE,CHARITIES,87364,Maokeng Disabled Children's Centre,885162.0
FREE STATE,CHARITIES,89984,QwaQwa Child Welfare South Africa,2353746.0
FREE STATE,CHARITIES,90002,Dimamelo Creche,328000.0
FREE STATE,MISCELLANEOUS,75234,Free State Sport Confederation,1400000.0
FREE STATE,SPORTS,19736,Athletics Free State,736510.73
FREE STATE,SPORTS,39450,Pholoho Special School,300000.0
FREE STATE,SPORTS,46618,Free State Aquatics,400000.0
FREE STATE,SPORTS,48464,Rehauhetswe Public School,90665.0
FREE STATE,SPORTS,48667,Koffiefontein Intermediate School,99520.0
FREE STATE,SPORTS,60404,Intabazwe Primary School,170000.0
FREE STATE,SPORTS,60491,Tsebong Primary School,100000.0
FREE STATE,SPORTS,60575,Johan Slabbert School,100980.0
FREE STATE,SPORTS,60794,Thaba-Bosiu Combined School,100000.0
FREE STATE,SPORTS,60841,Tweespruit Primere Skool,100000.0
FREE STATE,SPORTS,61852,Mojatsohle Primary School,100000.0
FREE STATE,SPORTS,62152,Southern Free State Judo Association,85416.0
FREE STATE,SPORTS,62153,Southern Free State Judo Association,120593.0
FREE STATE,SPORTS,62154,Southern Free State Judo Association,120593.0
FREE STATE,SPORTS,62163,Southern Free State Judo Association,120593.0
FREE STATE,SPORTS,62164,Southern Free State Judo Association,120593.0
FREE STATE,SPORTS,62290,V/Vlei Primer Skoolfonds,50000.0
FREE STATE,SPORTS,62959,Loskuil Primary School,100000.0
FREE STATE,SPORTS,64229,Bofula Tshepe Primary School,99733.25
FREE STATE,SPORTS,76301,Inpocuko Public School,300000.0
FREE STATE,SPORTS,76369,Tiisetso Primary School,300000.0
FREE STATE,SPORTS,77689,Bodibeng Primary School,300000.0
FREE STATE,SPORTS,77692,Qelo Intermediate School,262768.02
FREE STATE,SPORTS,77694,Makhaloaneng Primary School,298998.93
FREE STATE,SPORTS,77703,Warden Openbare Skool,299999.28
FREE STATE,SPORTS,77720,Kgotso Uxolo Secondary School,300000.0
FREE STATE,SPORTS,77723,Thembimfundo Primary School,150053.0
FREE STATE,SPORTS,77726,Intuthuko-Katleho Secondary School,166180.5
FREE STATE,SPORTS,77728,Boitlamo Secondary School,300000.0
FREE STATE,SPORTS,78108,Emang Primary School,300000.0
FREE STATE,SPORTS,78124,Qibing Senior Secondary School,50849.0
FREE STATE,SPORTS,78140,Hlohlolwane Primary School,300000.0
FREE STATE,SPORTS,78201,Midwaters Bowling Club,159500.0
FREE STATE,SPORTS,80360,Maserona Intermediate School,300000.0
FREE STATE,SPORTS,80551,Boitekong Public School,300000.0
FREE STATE,SPORTS,80552,Phomolong Public School,300000.0
FREE STATE,SPORTS,98545,Free State Jukskei Federation,500000.0
GAUTENG,ARTS,10021,Gerard Sekoto Foundation,210000.0
GAUTENG,ARTS,21596,Thabisong Youth Club,500000.0
GAUTENG,ARTS,23464,Newtown Film & Television School,658250.0
GAUTENG,ARTS,34816,Recondev Secton 21,2051895.73
GAUTENG,ARTS,34892,International Classical Music Festival of SA,1930633.0
GAUTENG,ARTS,34892,International Classical Music Festival of SA,827414.0
GAUTENG,ARTS,35010,Mveledzo Community Organisation,9000000.0
GAUTENG,ARTS,3871,Greenhouse People's Environmental Centre,647566.0
GAUTENG,ARTS,41961,The Jazz Foundation of SA,1.1E7
GAUTENG,ARTS,43286,The Perfect Storm,76840.0
GAUTENG,ARTS,43362,Arts and Culture Trust,600000.0
GAUTENG,ARTS,43415,Trevor Huddleston CR Memorial Centre,1600000.0
GAUTENG,ARTS,43998,Whispers Speech And Hearing Centre,66545.02
GAUTENG,ARTS,44367,University of Pretoria,272430.0
GAUTENG,ARTS,44480,The Healing Through Creative Arts Foundation,197506.36
GAUTENG,ARTS,54558,Tshwane University of Technology,1798659.0
GAUTENG,ARTS,54558,Tshwane University of Technology,1199106.0
GAUTENG,ARTS,54626,Johannesburg Youth Orchestra,1718280.0
GAUTENG,ARTS,54809,Die Afrikaanse Taal En Kultuur Vereniging,1423555.8
GAUTENG,ARTS,54817,Utlwanang Theatre Group,300000.0
GAUTENG,ARTS,54834,Friends of Johannesburg Art Gallery,147913.0
GAUTENG,ARTS,54940,Transoranje Skool Vir Leerders Met Doofheid,674781.0
GAUTENG,ARTS,54941,The Healing Through Creative Arts Foundation,1133176.0
GAUTENG,ARTS,54966,Soweto Media Resource Centre,407400.0
GAUTENG,ARTS,55020,Sunrise on Africa's Peaks,265176.0
GAUTENG,ARTS,55037,National Heritage Council,2000000.0
GAUTENG,ARTS,55064,Soshanguve Arts And Culture Forum,249780.0
GAUTENG,ARTS,55072,Siyabhabha Trust Development & Welfare Agency,400000.0
GAUTENG,ARTS,55076,Harmonica Jazz Foundation,8500000.0
GAUTENG,ARTS,55083,Ubuntu Institute for Young Social Entrepreneurs,6000000.0
GAUTENG,ARTS,55083,Ubuntu Institute for Young Social Entrepreneurs,4435525.0
GAUTENG,ARTS,55100,Teba Development,1489800.0
GAUTENG,ARTS,55148,African Pantsula Dance/ Music Group,484594.2
GAUTENG,ARTS,55152,African Pantsula Dance/ Music Group,1004600.0
GAUTENG,ARTS,55257,Ithuteng Art,380000.0
GAUTENG,ARTS,55309,Tshepong Centre for the Disabled,267533.2
GAUTENG,ARTS,55707,Eersterus Care & Training Centre,180974.98
GAUTENG,ARTS,55834,Childline Gauteng,126978.3
GAUTENG,ARTS,55888,Reabetswe Community Care Service Training,717702.1
GAUTENG,ARTS,56090,Cantare Childrens Choir,360000.0
GAUTENG,ARTS,56110,National School of the Arts,191306.0
GAUTENG,ARTS,56173,Collaboration Concepts Productions,1200000.0
