Name,Sector,Amount
Ethekweni Municipality,"ARTS, CULTURE AND NATIONAL HERITAGE",4100000
Fair Trade in Tourism  SA,"ARTS, CULTURE AND NATIONAL HERITAGE",703204
Field Band Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",1353011
Field Band Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",338252
Flower Valley Conservation Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",1000000
Food & Trees for Africa,"ARTS, CULTURE AND NATIONAL HERITAGE",3240000
Food Gardens Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",9676920
Footprints Educational Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",292000
Forgotten Angle,"ARTS, CULTURE AND NATIONAL HERITAGE",1831700
Four Paws-Animal Welfare Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",168000
Free State Symphony Orchestra,"ARTS, CULTURE AND NATIONAL HERITAGE",874000
Free State Symphony Orchestra,"ARTS, CULTURE AND NATIONAL HERITAGE",1311000
Friends of Music,"ARTS, CULTURE AND NATIONAL HERITAGE",1151000
From the Hip Khulumakahle,"ARTS, CULTURE AND NATIONAL HERITAGE",540000
Fuba School of Dramatic & Visual Arts,"ARTS, CULTURE AND NATIONAL HERITAGE",4186500
Gauteng Dance Manyano,"ARTS, CULTURE AND NATIONAL HERITAGE",567765
"Gauteng Organisation Community Art
Centres","ARTS, CULTURE AND NATIONAL HERITAGE",1594440
Gemeenskap Vroue Aksie,"ARTS, CULTURE AND NATIONAL HERITAGE",3546174
Gerard Sekoto Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",90000
Gerard Sekoto Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",100000
Grahamstown Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",1000000
"Great Edendale Environmental Network
- Green Network","ARTS, CULTURE AND NATIONAL HERITAGE",234733
"Great Edendale Environmental Network
- Green Network","ARTS, CULTURE AND NATIONAL HERITAGE",476268
"Greater Rustenburg Community
Foundation","ARTS, CULTURE AND NATIONAL HERITAGE",6324160
Greatmore Studios,"ARTS, CULTURE AND NATIONAL HERITAGE",1088924
"Greenhouse Peoples Environmental
Centre","ARTS, CULTURE AND NATIONAL HERITAGE",3245238
"Greenhouse People's Environmental
Centre","ARTS, CULTURE AND NATIONAL HERITAGE",1028555
Haenertsburg Development Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",1131647
Haenertsburg Development Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",1131647
Harlequin Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",1375815
Harold Wolpe Memorial Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
Harold Wolpe Memorial Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",200000
Hlalanathi Community Theatre Project,"ARTS, CULTURE AND NATIONAL HERITAGE",372000
Hlalanathi Community Theatre Project,"ARTS, CULTURE AND NATIONAL HERITAGE",93000
Hlanganani Kopanang Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",1246250
IDASA (Kutlwanong Democracy Centre),"ARTS, CULTURE AND NATIONAL HERITAGE",318200
Ifa Lethu Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",2048980
"Ikhwezi Empowerment & Tender Advice
Centre","ARTS, CULTURE AND NATIONAL HERITAGE",693234
Imfundiso Skills Development,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
Imfundiso Skills Development,"ARTS, CULTURE AND NATIONAL HERITAGE",2361355
Imisebeyelanga Services,"ARTS, CULTURE AND NATIONAL HERITAGE",105650
Indalo Yethu Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",9158000
Indian Academy of SA,"ARTS, CULTURE AND NATIONAL HERITAGE",312800
Ingwe Municipality,"ARTS, CULTURE AND NATIONAL HERITAGE",1635000
Inkolo Kantu Traditional Organisation,"ARTS, CULTURE AND NATIONAL HERITAGE",120583
"Inst for Training & Educ for Capacity
Building","ARTS, CULTURE AND NATIONAL HERITAGE",137810
Institute for Blind - Pioneer Printers,"ARTS, CULTURE AND NATIONAL HERITAGE",237435
Institute for the Blind - Pioneer School,"ARTS, CULTURE AND NATIONAL HERITAGE",1656300
"International Classical Music Festival
of SA","ARTS, CULTURE AND NATIONAL HERITAGE",1399407
Irene Homes,"ARTS, CULTURE AND NATIONAL HERITAGE",204693
Isimangaliso Wetland Park Authority,"ARTS, CULTURE AND NATIONAL HERITAGE",1598963
Ithunga Development,"ARTS, CULTURE AND NATIONAL HERITAGE",2077993
Ithuteng Dipuo Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",1265653
Ithuteng Dipuo Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",1909682
Iziko Museums of Cape Town,"ARTS, CULTURE AND NATIONAL HERITAGE",3732467
Izithethe Art Institute,"ARTS, CULTURE AND NATIONAL HERITAGE",415080
Jazz Foundation of South Africa,"ARTS, CULTURE AND NATIONAL HERITAGE",19363440
Johannesburg Music Initiative,"ARTS, CULTURE AND NATIONAL HERITAGE",606613
Johannesburg Philharmonic Orchestra,"ARTS, CULTURE AND NATIONAL HERITAGE",7222621
Johannesburg Philharmonic Orchestra,"ARTS, CULTURE AND NATIONAL HERITAGE",4815080
Johannesburg Youth Orchestra,"ARTS, CULTURE AND NATIONAL HERITAGE",4877986
Jungle Theatre Company,"ARTS, CULTURE AND NATIONAL HERITAGE",393120
Kaapse Klopse Karnival Association,"ARTS, CULTURE AND NATIONAL HERITAGE",800000
Karos & Kambro,"ARTS, CULTURE AND NATIONAL HERITAGE",1820550
Khanya Community Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",1205519
Khumbulani Craft,"ARTS, CULTURE AND NATIONAL HERITAGE",447705
Klein Karoo Nasionale Kunstefees,"ARTS, CULTURE AND NATIONAL HERITAGE",2502063
Klein Karoo Nasionale Kunstefees,"ARTS, CULTURE AND NATIONAL HERITAGE",2502063
Klein Libertas Teater,"ARTS, CULTURE AND NATIONAL HERITAGE",800020
"Kommetjie Environmental Awareness
Group","ARTS, CULTURE AND NATIONAL HERITAGE",484573
Kuruman Moffat Mission,"ARTS, CULTURE AND NATIONAL HERITAGE",1550000
KZN Arts & Culture Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",330000
KZN Philharmonic Orchestra,"ARTS, CULTURE AND NATIONAL HERITAGE",8556000
La Rosa Spanish Dance Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",1023717
Labour Research Service,"ARTS, CULTURE AND NATIONAL HERITAGE",5181826
Landmark Foundation Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",565000
"Lesaoana Combined (Intermediate)
School","ARTS, CULTURE AND NATIONAL HERITAGE",247951.57
Lesheba Venda Arts & Culture Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",718494
Lifeline Mafikeng,"ARTS, CULTURE AND NATIONAL HERITAGE",1059004
Limpopo (Provincial) Heritage Authority,"ARTS, CULTURE AND NATIONAL HERITAGE",683200
Limpopo Youth Orchestra,"ARTS, CULTURE AND NATIONAL HERITAGE",2835750
Lovelife Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",27697117
Lovelife Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",702543
Lydenburg Rusoord Old Age Home,"ARTS, CULTURE AND NATIONAL HERITAGE",154688.32
Magnet Theatre Educational Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",844892
Magnet Theatre Educational Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",915652
Makhaya Art & Cultural Development,"ARTS, CULTURE AND NATIONAL HERITAGE",19044250
Makhaya Art & Cultural Development,"ARTS, CULTURE AND NATIONAL HERITAGE",22034002
Mamelodi Theatre Organisation,"ARTS, CULTURE AND NATIONAL HERITAGE",5158072
Mandela Bay Development Agency,"ARTS, CULTURE AND NATIONAL HERITAGE",13888000
Manguang Drama & Dance Group,"ARTS, CULTURE AND NATIONAL HERITAGE",71425
Marimba Education Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",526525
"Masakhane Arts & Culture Development
Project","ARTS, CULTURE AND NATIONAL HERITAGE",993000
Mbombela Local Municipality,"ARTS, CULTURE AND NATIONAL HERITAGE",9000000
MC Art Academy,"ARTS, CULTURE AND NATIONAL HERITAGE",596960
Media Peace Centre,"ARTS, CULTURE AND NATIONAL HERITAGE",3367231
Media Village,"ARTS, CULTURE AND NATIONAL HERITAGE",970590
Media Village,"ARTS, CULTURE AND NATIONAL HERITAGE",242648
Melodi Music Project Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",3000000
Midlands Meander Association,"ARTS, CULTURE AND NATIONAL HERITAGE",2528480
Mineworkers Development Agency,"ARTS, CULTURE AND NATIONAL HERITAGE",2781320
Mohodi Community Radio Station,"ARTS, CULTURE AND NATIONAL HERITAGE",425670
Mopo Cultural Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",1443840
Mothertongue Project,"ARTS, CULTURE AND NATIONAL HERITAGE",359825
Mothertongue Project,"ARTS, CULTURE AND NATIONAL HERITAGE",364829
Msunduzi Music School,"ARTS, CULTURE AND NATIONAL HERITAGE",4674395
Multi Vision Youth Development,"ARTS, CULTURE AND NATIONAL HERITAGE",253200
Music Academy of Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",2437790
Mzamo Child Guidance Clinic,"ARTS, CULTURE AND NATIONAL HERITAGE",3665800
Mzansi Productions,"ARTS, CULTURE AND NATIONAL HERITAGE",4467342
Mzini Dramatic Arts,"ARTS, CULTURE AND NATIONAL HERITAGE",2444500
Naledi Theatre Awards,"ARTS, CULTURE AND NATIONAL HERITAGE",2000000
Namjive,"ARTS, CULTURE AND NATIONAL HERITAGE",853200
Namjive,"ARTS, CULTURE AND NATIONAL HERITAGE",566826
Natal Museum,"ARTS, CULTURE AND NATIONAL HERITAGE",206654
Natal Society of Arts,"ARTS, CULTURE AND NATIONAL HERITAGE",339360
National Arts Festival Grahamstown,"ARTS, CULTURE AND NATIONAL HERITAGE",7797000
National Arts Festival Grahamstown,"ARTS, CULTURE AND NATIONAL HERITAGE",6499950
National Heritage Council,"ARTS, CULTURE AND NATIONAL HERITAGE",8000000
National Library of SA,"ARTS, CULTURE AND NATIONAL HERITAGE",246600
Nature's Valley Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",420334
NC Economic Development Agency,"ARTS, CULTURE AND NATIONAL HERITAGE",1106502
Ndedema Primary School,"ARTS, CULTURE AND NATIONAL HERITAGE",3061053
"Nelson Mandela Bay Metropolitan
Municipality","ARTS, CULTURE AND NATIONAL HERITAGE",3196840
"Nelson Mandela Bay Metropolitan
Municipality","ARTS, CULTURE AND NATIONAL HERITAGE",15751854
"Nelson Mandela Metropolitan University
(University of PE)","ARTS, CULTURE AND NATIONAL HERITAGE",478800
Nelson Mandela Museum,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
New Africa Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",6320920
"Newcastle Arts Development
Organisation","ARTS, CULTURE AND NATIONAL HERITAGE",1098342
Newtown Improvement District,"ARTS, CULTURE AND NATIONAL HERITAGE",1243600
North West University (Potch Campus),"ARTS, CULTURE AND NATIONAL HERITAGE",1598871
"Northern Free State Institute for
Community Development","ARTS, CULTURE AND NATIONAL HERITAGE",502560
Novalis House Inc,"ARTS, CULTURE AND NATIONAL HERITAGE",724000
Nquthu Arts Development Programme,"ARTS, CULTURE AND NATIONAL HERITAGE",2364264
Ntsoana Contemporary Dance Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",332018
Oasis Association,"ARTS, CULTURE AND NATIONAL HERITAGE",674035
Oasis Faithworks,"ARTS, CULTURE AND NATIONAL HERITAGE",594620
Oasis Faithworks,"ARTS, CULTURE AND NATIONAL HERITAGE",891930
One City Events - Cape Town Festival,"ARTS, CULTURE AND NATIONAL HERITAGE",5592284
Oorlogmuseum van Boerrepublieke,"ARTS, CULTURE AND NATIONAL HERITAGE",1306800
Open Africa Initiative,"ARTS, CULTURE AND NATIONAL HERITAGE",175500
Opera Africa,"ARTS, CULTURE AND NATIONAL HERITAGE",4695825
Orchards Project,"ARTS, CULTURE AND NATIONAL HERITAGE",1198205
Orchards Project,"ARTS, CULTURE AND NATIONAL HERITAGE",798803
"Out in Africa Committee (Gay & Lesbian
Filmfest)","ARTS, CULTURE AND NATIONAL HERITAGE",216552
"Out in Africa Committee (Gay & Lesbian
Filmfest)","ARTS, CULTURE AND NATIONAL HERITAGE",800000
Overberg Crane Group,"ARTS, CULTURE AND NATIONAL HERITAGE",355400
Palace of the Winds,"ARTS, CULTURE AND NATIONAL HERITAGE",94816
Peace Foundation - Ndumo,"ARTS, CULTURE AND NATIONAL HERITAGE",226000
Pecanwood Educational Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",708400
Pecanwood Educational Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",1168860
People Opposing Women Abuse,"ARTS, CULTURE AND NATIONAL HERITAGE",301306
"Performing Arts Network South Africa
(PANSA)","ARTS, CULTURE AND NATIONAL HERITAGE",893000
"Phakgamang Community Resource
Centre","ARTS, CULTURE AND NATIONAL HERITAGE",505239
Phallang Theatre Collaboration,"ARTS, CULTURE AND NATIONAL HERITAGE",65000
Phallang Theatre Collaboration,"ARTS, CULTURE AND NATIONAL HERITAGE",382000
Phoenix Child & Welfare Society,"ARTS, CULTURE AND NATIONAL HERITAGE",19568783
Phumani Paper,"ARTS, CULTURE AND NATIONAL HERITAGE",317885
Phumani Paper,"ARTS, CULTURE AND NATIONAL HERITAGE",819892
Pietermaritzburg Gay & Lesbian Network,"ARTS, CULTURE AND NATIONAL HERITAGE",160000
"Playhouse Company (KZN Performing
Arts Company)","ARTS, CULTURE AND NATIONAL HERITAGE",280000
Poverty Alleviation & Support for PWA,"ARTS, CULTURE AND NATIONAL HERITAGE",2660605
Project Gateway,"ARTS, CULTURE AND NATIONAL HERITAGE",621800
RABTI Trust - Kadco,"ARTS, CULTURE AND NATIONAL HERITAGE",402440
Reach the Children Community Project,"ARTS, CULTURE AND NATIONAL HERITAGE",164020
Recondev,"ARTS, CULTURE AND NATIONAL HERITAGE",2051896
"Rhodes University (UBOM! EC Drama
Co)","ARTS, CULTURE AND NATIONAL HERITAGE",375000
"Rhodes University (UBOM! EC Drama
Co)","ARTS, CULTURE AND NATIONAL HERITAGE",375000
Rivoni Society for the Blind,"ARTS, CULTURE AND NATIONAL HERITAGE",304035
Rudnet (Rural Development Network),"ARTS, CULTURE AND NATIONAL HERITAGE",2282350
Rudnet (Rural Development Network),"ARTS, CULTURE AND NATIONAL HERITAGE",1369410
SA Active Disabled People's Association,"ARTS, CULTURE AND NATIONAL HERITAGE",918060
SA Active Disabled People's Association,"ARTS, CULTURE AND NATIONAL HERITAGE",229515
SA Education & Environment Project,"ARTS, CULTURE AND NATIONAL HERITAGE",81515
"SA Found for Conservation Coastal
Birds (SANCCOB)","ARTS, CULTURE AND NATIONAL HERITAGE",1200000
SA Nat Council for the Blind,"ARTS, CULTURE AND NATIONAL HERITAGE",1578928
SA National Parks (SANPARK),"ARTS, CULTURE AND NATIONAL HERITAGE",3317727
SA National Parks (SANPARK),"ARTS, CULTURE AND NATIONAL HERITAGE",6283034
SA Scout Association,"ARTS, CULTURE AND NATIONAL HERITAGE",420100
SAMET (SA Music Education Trust),"ARTS, CULTURE AND NATIONAL HERITAGE",1745200
"SANAVA (SA National Assoc. for the
Visual Arts)","ARTS, CULTURE AND NATIONAL HERITAGE",494100
"SANCHODA (SA National Cheerleading
& Hip Hop & DA)","ARTS, CULTURE AND NATIONAL HERITAGE",599926
Sangeet Vidya Institute SA,"ARTS, CULTURE AND NATIONAL HERITAGE",572166
Satyagraha,"ARTS, CULTURE AND NATIONAL HERITAGE",480000
"School Leavers Career Guidance &
Training","ARTS, CULTURE AND NATIONAL HERITAGE",153960
"Schools Environmental Education &
Development","ARTS, CULTURE AND NATIONAL HERITAGE",1424955
Senzokuhle Farming Project,"ARTS, CULTURE AND NATIONAL HERITAGE",351200
Sibahle Educational Puppetry,"ARTS, CULTURE AND NATIONAL HERITAGE",518400
Sibikwa Community Theatre Project,"ARTS, CULTURE AND NATIONAL HERITAGE",242900
Sibikwa Community Theatre Project,"ARTS, CULTURE AND NATIONAL HERITAGE",4203184
Sign Language Education Development,"ARTS, CULTURE AND NATIONAL HERITAGE",948114
"Siyasanga Cape Town Theatre
Company","ARTS, CULTURE AND NATIONAL HERITAGE",700000
"Siyavuka Lateral Improvement
Foundation","ARTS, CULTURE AND NATIONAL HERITAGE",1269839
Sizabantu Community Arts & Crafts,"ARTS, CULTURE AND NATIONAL HERITAGE",781992
"Social Transformation & Empowerment
Project (STEPS)","ARTS, CULTURE AND NATIONAL HERITAGE",1722000
"Social Transformation & Empowerment
Project (STEPS)","ARTS, CULTURE AND NATIONAL HERITAGE",430500
South African Ballet Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",1628905
South African Ballet Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",1085937
South African Ballet Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE",4165655
"South African Blind (Disabled) Musicians
Association","ARTS, CULTURE AND NATIONAL HERITAGE",972168
South African History Archive,"ARTS, CULTURE AND NATIONAL HERITAGE",607558
South African History Online,"ARTS, CULTURE AND NATIONAL HERITAGE",119875
South African Ostrich Business Chamber,"ARTS, CULTURE AND NATIONAL HERITAGE",957800
South End Museum Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",1959217
Southern African Wildlife College,"ARTS, CULTURE AND NATIONAL HERITAGE",3724267
SPCA Cape of Good Hope,"ARTS, CULTURE AND NATIONAL HERITAGE",3194492
"Speech & Drama Association of South
Africa","ARTS, CULTURE AND NATIONAL HERITAGE",181303
Step Ahead Productions,"ARTS, CULTURE AND NATIONAL HERITAGE",3542432
Steve Biko Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",7357450
Sustainability Institute Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",367480
Tembaletu Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",307347
Tembaletu Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",461020
Thabisong Youth Club,"ARTS, CULTURE AND NATIONAL HERITAGE",750000
