Date,"Project Number",Name,Amount
2017-05-03T00:00:00Z,67875,"SINOTHANDO HOME COMMUNITY BASED CARE",144000.0
2017-05-05T00:00:00Z,68422,"BEEZY BEES DAY CARE CENTRE",100000.0
2018-03-16T00:00:00Z,68422,"BEEZY BEES DAY CARE CENTRE",57696.0
2018-02-09T00:00:00Z,68528,"SIYATJHEJA SOCIAL PROJECT",66400.0
2017-11-21T00:00:00Z,68648,"GOOD HOPE COMMUNITY ORGANISATION",247068.0
2017-04-19T00:00:00Z,68725,"STABILIS TREATMENT CENTRE",500000.0
2017-12-14T00:00:00Z,68904,"QUMI HOMES",55000.0
2017-08-21T00:00:00Z,68953,"MAPALENG CRECHE",1152076.0
2017-07-07T00:00:00Z,68965,"NG WELSYN VRYBURG",952953.0
2017-08-08T00:00:00Z,69016,"ZOLA PARK DAY CARE CENTRE",117575.0
2017-11-21T00:00:00Z,69115,"EARLY TO RISE DAY CARE",153250.0
2017-05-03T00:00:00Z,69120,"KUNGWINI WELFARE ORGANISATION",744000.0
2017-10-13T00:00:00Z,69123,"WONKE WONKE DAY CARE CENTRE",121398.0
2017-09-01T00:00:00Z,69137,"BUSISIWE DAY CARE CENTRE",93899.0
2017-08-17T00:00:00Z,69165,"SIMUNYE DAY CARE",65399.0
2017-04-07T00:00:00Z,69231,"BUNDLE OF JOY CRECHE",226163.0
2017-10-27T00:00:00Z,69259,"MOEMANENG CRECHE",123750.0
2018-03-16T00:00:00Z,69268,"ACVV POSTMASBURG",91000.0
2017-08-17T00:00:00Z,69282,"PROGRESS BP EDUCARE CENTRE",82350.0
2017-11-28T00:00:00Z,69374,"SANTU HIV & AIDS RELIEF PROJECT",71000.0
2018-03-16T00:00:00Z,69385,"THE EKUKHANYENI COMMUNITY DEVELOPMENT CENTRE",229000.0
2017-11-28T00:00:00Z,69418,"EL SHADDAI FOUNDATION",165222.0
2017-04-07T00:00:00Z,69422,"RISHILE DAY CARE AND PRE",102920.0
2017-05-05T00:00:00Z,69468,"BULA MAHLO DAY CARE CENTER",162266.0
2017-08-23T00:00:00Z,69647,"MASISI VILLAGE HOME BASED CARE",163725.0
2018-01-19T00:00:00Z,69909,"MAKUKHANYE DAY CARE ORGANISATION",105552.0
2017-10-27T00:00:00Z,69921,"SIYETHEMBA EDU",72365.0
2017-10-27T00:00:00Z,70123,"MOHLAKENENG PRE",60740.0
2018-02-09T00:00:00Z,70258,"SEGAE CRECHE & PRE SCHOOL",122119.0
2017-08-25T00:00:00Z,70276,"THE THUSANANI CHILDRENS FOUNDATION TRUST",158589.0
2017-09-01T00:00:00Z,70851,"LEFISO CHILD CARE SUPPORT",157450.0
2018-01-18T00:00:00Z,70854,"CHURCH ALLIANCE FOR SOCIAL TRANSPORTATION",218195.0
2017-05-03T00:00:00Z,70912,"THLOLO WORLD BIBLE SCHOOL SUPPORT GROUP & PROJECTS",73899.0
2017-07-24T00:00:00Z,71215,"ST. KIZITO CHILDREN'S PROGRAMME (QWA",85750.0
2017-12-15T00:00:00Z,71528,"CHUPJA CRECHE",187613.0
2017-08-23T00:00:00Z,71591,"MAMAPO HOME BASED CARE",237600.0
2017-11-21T00:00:00Z,71652,"ELIM CARE GROUP PROJECT",537636.0
2017-12-15T00:00:00Z,71654,"RE HLOKA ENG DROP",135850.0
2017-12-14T00:00:00Z,71662,"MAHLAHLELANE DROP",135525.0
2017-05-11T00:00:00Z,71762,"LOTAVHA DAY CARE CENTRE",191749.0
2017-08-08T00:00:00Z,71767,"MADIBONG HOME COMMUNITY BASED CARE",132500.0
2017-04-19T00:00:00Z,71802,"VUKONA HOME BASED CARE",159000.0
2017-12-15T00:00:00Z,71962,"REPHOLOGILE DROP",65200.0
2017-07-07T00:00:00Z,72092,"DILOKONG YOUTH DEVELOPMENT AND EMPOWERMENT",170250.0
2017-05-25T00:00:00Z,72111,"HI RI SWIN'WE VA TA HOLA HOME BASED CARE",254680.0
2018-02-09T00:00:00Z,72136,"MVELEDZANDIVHO CHILD CARE CENTRE",114110.0
2018-01-19T00:00:00Z,72158,"KGALUSHI DROP IN CENTRE",120750.0
2017-09-01T00:00:00Z,72286,"THUSO HOME BASED CARE (THBC)",122750.0
2018-03-14T00:00:00Z,72298,"ABSTAIN,BE FAITHFUL AND CONDOMISE",334958.0
2017-12-15T00:00:00Z,72365,"NGWANATHEKO CRECHE",224775.0
2018-02-09T00:00:00Z,72555,"TSHEPONG CENTRE FOR THE DISABLED",99920.0
2017-12-14T00:00:00Z,72589,"AFRICA CRAFT TRUST",1240000.0
2018-01-19T00:00:00Z,72594,"EERSTERUS CARE AND TRAINING CENTRE",206110.0
2017-04-19T00:00:00Z,72615,"MABATANE SKILLS DEVELOPMENT SERVICES",154250.0
2018-03-16T00:00:00Z,72643,"ITHEMBA TRUST",379999.96
2017-06-21T00:00:00Z,72665,"ONE CITY EVENTS COMPANY",380000.0
2018-03-16T00:00:00Z,72679,"RIVONI SOCIETY FOR THE BLIND",190000.0
2017-05-17T00:00:00Z,72681,"LETSEMA LA TSELA",1400000.0
2017-08-21T00:00:00Z,72755,"THE FORGOTTEN ANGLE THEATRE COLLABORATIVE",638944.0
2017-11-21T00:00:00Z,72763,"Seda Limpopo Lewellery Incubator",90153.0
2017-12-14T00:00:00Z,72812,"SA NATIONAL ASSOCIATION FOR THE THE VISUAL ARTS",100131.51
2017-06-21T00:00:00Z,72825,"THE SOUTH AFRICAN SAN INSTITUTE TRUST",598828.0
2017-08-23T00:00:00Z,72831,"MONTSHIWA CULTURAL VILLAGE",4471126.0
2017-10-13T00:00:00Z,72839,"FIRST READY DEVELOPMENT 773",477000.0
2018-01-19T00:00:00Z,72855,"JOHANNESBURG MUSIC INITIATIVE",1000000.0
2017-05-17T00:00:00Z,72858,"YOUNG ARTISTS UNITE",697600.0
2017-11-28T00:00:00Z,72858,"YOUNG ARTISTS UNITE",174400.0
2017-04-07T00:00:00Z,72864,"REQUIEM FOR THE LIVING",450000.0
2017-09-01T00:00:00Z,72906,"TRAINING AND RESOURCES IN EARLY EDUCATION",220165.0
2017-04-12T00:00:00Z,72913,"THE DEAF COMMUNITY OF CAPE TOWN",760000.0
2018-01-16T00:00:00Z,72913,"THE DEAF COMMUNITY OF CAPE TOWN",190000.0
2017-08-08T00:00:00Z,72940,"THE GIRL GUIDES ASSOCIATION OF SOUTH AFRICA",676165.0
2017-10-13T00:00:00Z,73019,SUIDOOSTERFEES,229500.0
2018-03-16T00:00:00Z,73040,"WELL WORN THEATRE COMPANY",600000.0
2018-01-19T00:00:00Z,73070,"LIFE ORIENTATION HOME BASE CARE",149880.0
2017-05-04T00:00:00Z,73094,"NATIONAL PEACE ACCORD TRUST",260000.0
2017-05-11T00:00:00Z,73118,"BOITSHEPOVILLE YOUTH DEVELOPMENT CENTRE",600000.0
2018-03-16T00:00:00Z,73128,"VAAL ECHOES OF LOVE NPC",399000.0
2018-02-28T00:00:00Z,73142,"SIYABHABHA TRUST",300000.0
2017-09-01T00:00:00Z,73144,"CHARITY OF CHOICE",156000.0
2017-09-01T00:00:00Z,73155,"FREE ME WILDLIFE REHABILITATION KZN",197730.21
2017-04-19T00:00:00Z,73181,"SOUTH END MUSEUM TRUST",495365.14
2018-03-16T00:00:00Z,73188,"INSTITUTE FOR THE BLIND INDUSTRIES",379994.8
2018-01-18T00:00:00Z,73202,"BLACKBOARD TRUST",600000.0
2018-03-16T00:00:00Z,73218,"FORDSBURG ARTISTS STUDIOS",599475.0
2017-05-25T00:00:00Z,73224,"TRIBHANGI DANCE THEATRE",551554.0
2018-02-28T00:00:00Z,73231,"TSHEDIMOSETSO COMMUNITY DEVELOPMENT AND OTHER PROJECTS",193800.0
2018-01-19T00:00:00Z,73236,"PERSEVERANCE RURAL DEVELOPMENT CENTRE",40000.0
2017-08-08T00:00:00Z,73243,"NATIONAL CRAFT ASSOCIATION",1950000.0
2017-08-08T00:00:00Z,73251,"LEFINE MAKGOMO DROP IN CENTRE",940167.23
2017-08-25T00:00:00Z,73292,"CENTRE FOR POSITIVE CARE",1191660.8
2017-08-08T00:00:00Z,73320,"DELTA ENVIRONMENT CENTRE",285000.0
2017-10-13T00:00:00Z,73324,"ATTERIDGEVILLE JEWELLERY PROJECTS",221446.48
2017-04-19T00:00:00Z,73331,"ZAKHENI ARTS THERAPY FOUNDATION",100000.0
2017-12-14T00:00:00Z,73332,"MIYELA NON PROFIT ORGANIZATION",600000.0
2017-10-13T00:00:00Z,73333,"SIGN LANGUAGE EDUCATION AND DEVELOPMENT ( SLED)",169595.6
2017-12-14T00:00:00Z,73356,"CIRRICULUM DEVELOPMENT PROJECT",512000.0
2017-04-07T00:00:00Z,73358,"HOLY FAMILY COLLEGE (PARKTOWN)",449263.8
2017-08-01T00:00:00Z,73363,"KEELOZ ARTS ACADEMY",285000.0
2018-01-23T00:00:00Z,73367,"NATIONAL LIBRARY OF SOUTH AFRICA",2600000.0
2017-12-15T00:00:00Z,73368,"ST ANTHONY'S HOME",792375.78
2017-08-21T00:00:00Z,73370,"TSWARANANG DISABLED PROJECT",193962.3
2017-10-02T00:00:00Z,73371,"SHARKLIFE CONSERVATION GROUP",600000.0
2018-03-16T00:00:00Z,73374,"NDLANDLAMUKA INSTITUTE FOR SUSTAINABLE DEVELOPMENT",226141.0
2017-09-01T00:00:00Z,73378,"SATHI GQI COMMUNITY DEVELOPMENT",191275.49
2017-10-13T00:00:00Z,73379,"MOSEKAPHOFU CULTURAL MULL",300000.0
2017-04-07T00:00:00Z,73385,"LESAOANA INTERMEDIATE SCHOOL",627000.0
2017-05-03T00:00:00Z,73410,"THE MOTHERTONGUE PROJECT",190000.0
2017-08-17T00:00:00Z,73422,"ILEMBE DISTRICT MUNICIPALITY",200000.0
2017-04-07T00:00:00Z,73435,"VILLAGE TOURISM TRUST",380000.0
2018-03-16T00:00:00Z,73452,"AGISANANG DOMESTIC ABUSE PREVENTION & TRAINING",380000.0
2018-01-16T00:00:00Z,73462,"JUSTICE AND WOMEN",264935.0
2017-05-03T00:00:00Z,73466,"SOUTHERN CAPE LAND COMMITTEE TRUST",140000.0
2017-10-13T00:00:00Z,73482,"EMAWOTI ARTS DEVELOPMENT",379980.8
2017-09-01T00:00:00Z,73491,"FORUM FOR THE EMPOWERMENT OF WOMEN",177446.4
2017-08-21T00:00:00Z,73495,"TRAUMA CENTRE FOR SURVIVORS OF VIOLENCE & TORTURE",180000.0
2017-04-19T00:00:00Z,73502,"FILM MENTORSHIP & TRAINING",380000.0
2017-04-19T00:00:00Z,73503,"LESAOANA INTERMEDIATE SCHOOL",653195.2
2018-03-16T00:00:00Z,73503,"LESAOANA INTERMEDIATES SCHOOL",163298.0
2017-09-01T00:00:00Z,73504,"JUNGLE THEATRE COMPANY",190000.0
2017-08-08T00:00:00Z,73536,"GAUTENG SYMPHONY ORCHESTRA",240000.0
2017-06-21T00:00:00Z,73540,"Street Stories Films",380000.0
2017-10-13T00:00:00Z,73555,"DE LA BAT SCHOOL",313281.84
2017-11-21T00:00:00Z,73563,"KWAZULU NATAL YOUTH ORCHESTRA",330312.53
2017-04-19T00:00:00Z,73575,"FAMILIES SOUTH AFRICA LIMPOPO",319936.0
2017-10-13T00:00:00Z,73590,"ZISIZE (INGWAVUMA) EDUCATIONAL TRUST",380000.0
2018-01-16T00:00:00Z,73602,"UKUSA ARTS PROGRAMME",243680.0
2017-11-21T00:00:00Z,73604,"ENGLISH LANGUAGE EDUCATION TRUST",418000.0
2017-11-21T00:00:00Z,73608,"THOKOZA CARE OF THE AGED",43788.99
2017-08-23T00:00:00Z,73620,"ENDANGERED WILD LIFE",380000.0
2017-05-03T00:00:00Z,73628,"HARLEQUIN FOUNDATION",567500.0
2017-10-13T00:00:00Z,73632,"LUTHERAN COMMUNITY OUTREACH FOUNDATION (HILLBROW)",503104.0
2017-10-13T00:00:00Z,73642,"CAPE TOWN CITY BALLET",199999.88
2017-09-01T00:00:00Z,73645,"ARTIST PROOF STUDIO",135000.0
2018-01-16T00:00:00Z,73647,"SOYIKWA INSTITUTE OF AFRICAN THEATRE",379720.0
2018-03-16T00:00:00Z,73695,"RETHABILE PERFORMING ARTISTS",100000.0
2017-10-13T00:00:00Z,73706,"UTHANDO HOME COMMUNITY BASED CARE ORGANISATION",110800.0
2017-04-19T00:00:00Z,73707,"NDIMA COMMUNITY  SERVICES",799636.0
2017-10-27T00:00:00Z,73768,"TRANSORANTJE SKOOL VIR LEERDES MET DOOFHEID",540000.0
2017-04-07T00:00:00Z,73778,"OSIZWENI THEATRE",598800.0
2017-08-23T00:00:00Z,73787,"BOITSHOKO COMMUNITY HOME BASED CARE CENTRE",198000.0
2017-11-21T00:00:00Z,73798,"INKANYAMBA DEVELOPMENT",570720.0
2018-01-16T00:00:00Z,73799,"ETHEKWINI COMMUNITY FOUNDATION",1360000.0
2017-08-25T00:00:00Z,73800,"ETHEKWIN COMMUNITY FOUNDATION",2191701.2
2017-05-03T00:00:00Z,73804,"INKANYAMBA DEVELOPMENT",585000.0
2017-06-21T00:00:00Z,73810,"VUYANI DANCE THEATRE PROJECT",1800000.0
2017-11-21T00:00:00Z,73816,"RAINBOW COMMUNITY BROADCASTER",380000.0
2017-05-25T00:00:00Z,73821,"THE DONALD WOODS FOUNDATION (SA) TRUST",862833.4
2017-06-21T00:00:00Z,73828,"CATHOLIC DEVELOPMENT CENTRE",190000.0
