Date,Project,Name,Province,Sector,Amount
2017-08-02,101999,SILVERLEAF RUGBY CLUB,WC,SPORTS,58898.4
2017-08-02,91581,NYELISANI COMMUNITY OLD AGE PROJECT,LP,CHARITIES,55000.0
2017-08-02,60974,KHETHAPOYE PRIMARY SCHOOL,LP,SPORTS,49000.0
2017-08-02,61326,PFUKA U TI TIRHELA SEWING PROJECT,MP,CHARITIES,48250.0
2017-09-07,15209,MINTEK,GP,ARTS,2290000.0
2017-06-21,16563,WESTERN CAPE NATURE CONSERVATION BOARD,WC,ARTS,205880.0
2018-02-09,23499,ACVV OLIFANTSHOEK,NC,CHARITIES,200000.0
2017-10-27,38381,MOLAPO MATEBELE PRIMARY SCHOOL,LP,SPORTS,200000.0
2017-10-27,39994,MAROKOLONG PRIMARY SCHOOL,GP,SPORTS,350000.0
2017-05-03,40219,KOPANELO SECONDARY SCHOOL,NW,SPORTS,218949.0
2018-03-14,42374,SHIBANGWA CRECHE,LP,CHARITIES,145500.0
2017-08-01,42464,MOKOPANE NOOD FORUM,LP,CHARITIES,149478.0
2018-03-16,42467,WILDLANDS CONSERVATION TRUST,KZN,ARTS,190000.0
2017-05-25,43144,SUKUMA CATO CREST,KZN,ARTS,7155119.12
2017-09-19,43362,ARTS AND CULTURE TRUST,GP,ARTS,400000.0
2017-05-17,44587,MPUMALANGA TOURISM & PARKS AGENCY,MP,ARTS,570000.0
2017-05-11,46064,KOPANO KE MATLA YOUTH GROUP,NW,ARTS,278168.0
2018-02-15,46158,EASTERN PROVINCE RUGBY UNION (EPRU),EC,SPORTS,3749000.0
2017-06-21,46178,CLASS ACT EDUCATIONAL SERVICES,GP,ARTS,1306424.8
2017-12-15,46485,COLLEGE OF CAPE TOWN,WC,SPORTS,500000.0
2017-05-12,46550,KWAZULU-NATAL TENPIN BOWLING ASSOCIATION,KZN,SPORTS,400000.0
2017-05-03,46617,LIFESAVING WESTERN PROVINCE ASSOCIATION,WC,SPORTS,376900.0
2017-04-07,46686,BOLAND GOLF UNION,WC,SPORTS,454750.0
2017-12-15,46724,NORTHRENS CRICKET UNION,GP,SPORTS,1125000.0
2017-06-21,50794,CATHUZA STIMULATION CENTRE,MP,CHARITIES,137637.0
2017-12-14,51976,DIE GROBLERSHOOP KINDER -EN GESINSORGVERENIGING,NC,CHARITIES,81289.0
2017-09-07,52711,TSHIRELETSEGO CARE AND SUPPORT,NW,CHARITIES,195045.0
2017-06-21,53225,ANGELO MATORDES PRE-SCHOOL,MP,CHARITIES,84500.0
2017-09-13,54278,KGATELOPELE DAY CARE CENTRE,FS,CHARITIES,96000.0
2017-10-27,54320,ST THERESA MMABANA EDUCARE CENTRE,FS,CHARITIES,117500.0
2018-02-09,54510,SOKAPHO PRIMARY SCHOOL,MP,CHARITIES,199300.0
2017-09-01,54533,MORAGE PRIMARY SCHOOL,MP,CHARITIES,456412.0
2017-04-19,54872,"EPILEPSY SOUTH AFRICA, FREE STATE & NORTH WEST BRANCH",FS,ARTS,1165250.18
2017-04-19,54907,NOVALIS HOUSE,GP,ARTS,396496.8
2018-03-12,55268,THE JAZZ FOUNDATION OF SA,GP,ARTS,800000.0
2017-07-20,55859,THE ARTS + UBUNTU TRUST,WC,ARTS,1385446.0
2018-01-29,55890,THE SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS TSHWANE,GP,CHARITIES,77380.0
2017-09-01,55983,THE FRIENDS OF THE HELDERBERG NATURE RESERVE,WC,ARTS,404552.4
2018-01-16,56212,IRENE HOMES,GP,CHARITIES,240208.4
2018-03-16,56224,HLATLAGANYA DROP-IN CENTRE,LP,ARTS,25326.59
2017-05-03,56225,PAKAMA PRODUCTIONS,NC,ARTS,181462.09
2017-06-05,56236,TERTIARY SCHOOL IN BUSINESS ADMINISTRATION (TSIBA EDUCATION),WC,ARTS,114660.0
2017-11-27,56304,PHUMELELA EDUCATIONAL TRAINING PROJECT,KZN,ARTS,3596627.61
2017-05-05,56395,VERA SCHOOL FOR AUSTIC LEARNER,WC,ARTS,127144.0
2017-04-07,56541,STELLENBOSCH UNIVERSITY,WC,ARTS,225990.0
2018-03-29,56623,GUNGUBELE JUNIOR SECONDARY SCHOOL,EC,ARTS,1648012.8
2018-03-16,56756,ZIKHALI PRIMARY SCHOOL,KZN,ARTS,43522.86
2018-02-28,57170,TENTELE DISABLED CENTRE,MP,CHARITIES,193795.0
2017-04-19,57468,TIZAMELENI CRECHE,MP,CHARITIES,98650.0
2017-10-13,57504,PROFESSIONAL PRE SCHOOL,GP,CHARITIES,75949.0
2018-01-29,59355,AFRICA SOUTH ART INITIATIVE,GP,CHARITIES,180000.0
2017-10-27,59451,GRAHAMSTOWN FOUNDATION,EC,ARTS,1632242.0
2017-07-24,59849,ISIBUSISO YOUTH ORGANISATION,GP,ARTS,184160.0
2017-09-28,60371,Lingelihle Senior Secondary School,EC,SPORTS,100000.0
2017-06-05,60402,BIOPOPO INTERMEDIATE SCHOOL,FS,SPORTS,100000.0
2018-03-02,60479,HOLPAN PRIMARY SCHOOL,FS,SPORTS,100000.0
2017-07-24,60584,TATSHANA PRIMARY SCHOOL,EC,SPORTS,95587.0
2017-08-01,60657,WELKOM WRESTLING CLUB,FS,SPORTS,200000.0
2018-02-28,61169,TIPFUXENI PRIMARY SCHOOL,GP,SPORTS,50141.0
2017-05-12,61318,HARD WORKERS CRECHE,MP,CHARITIES,78200.0
2017-05-12,61322,MAQOPANA CRECHE,MP,CHARITIES,70560.0
2017-05-03,61349,ROBERT MAYINGA CRECHE,MP,CHARITIES,144600.0
2017-05-12,61361,ALLANDALE CRECHE,MP,CHARITIES,139500.0
2017-12-14,61456,MUSALELA DAY CARE CENTRE,MP,CHARITIES,70275.0
2017-09-01,61873,SA LIFESAVING,KZN,SPORTS,1743000.0
2017-05-12,61943,JAMEYANA PRIMARY SCHOOL,MP,SPORTS,50000.0
2017-10-27,62014,KWAMANALA SECONDARY SCHOOL,MP,SPORTS,99980.0
2018-01-18,62016,SIYAPHAMBILI PRIMARY SCHOOL,EC,CHARITIES,65180.0
2017-11-21,62085,KYOKUSHIN KARATE CLUB,GP,SPORTS,100000.0
2017-09-13,62109,MAHUVO SECONDARY SCHOOL,MP,SPORTS,100000.0
2017-09-01,62111,TWALAKULE PRIMARY SCHOOL,MP,SPORTS,50000.0
2017-07-24,62119,M P STREAM UNITED FC,MP,SPORTS,200000.0
2017-09-01,62122,SABEKA PRIMARY SCHOOL,MP,SPORTS,100000.0
2017-10-27,62278,THUTO KE TSELA PRIMARY SCHOOL,FS,SPORTS,50000.0
2017-08-17,62784,GAVAZANA PRIMARY SCHOOL,MP,SPORTS,95260.0
2017-08-17,62820,PLUMSTEAD BOWLING CLUB,WC,SPORTS,58500.0
2017-07-24,62887,PAULOS NGOBENI PRIMARY SCHOOL,MP,SPORTS,100000.0
2017-07-24,63058,NUWERUS HIGH SCHOOL,WC,SPORTS,100000.0
2017-12-05,63099,SANDILE PRIMARY SCHOOL,EC,SPORTS,100000.0
2017-10-27,63561,GREENVALLEY HOME BASED CARE,MP,CHARITIES,67000.0
2017-06-13,63726,SOWETO ANGELS,EC,SPORTS,100000.0
2018-03-16,63912,MNGAYI PRIMARY SCHOOL,KZN,SPORTS,59900.0
2017-12-15,63996,LEFISWANE PRIMARY SCHOOL,MP,SPORTS,100000.0
2018-01-19,64024,SITJHEJIWE SECONDARY SCHOOL,KZN,CHARITIES,50000.0
2017-08-15,64165,SEVENGWANA HIGH SCHOOL,LP,SPORTS,180000.0
2017-10-27,64230,NCEBA PUBLIC SCHOOL,EC,SPORTS,100000.0
2017-05-05,64378,UNIVERSITY OF THE WITWATERSRAND,GP,SPORTS,200000.0
2017-10-27,64403,THE OLD EDWARDIAN SOCIETY,GP,SPORTS,50000.0
2017-05-12,64513,KWAZULU-NATAL GOLF UNION,KZN,SPORTS,50000.0
2018-02-09,64769,MIDLANDS RUGBY SUB-UNION,KZN,SPORTS,200000.0
2018-03-16,64823,LINA COMMUNITY DEVELOPMENT,EC,CHARITIES,125750.0
2017-10-27,64829,MAKOKO SECONDARY SCHOOL,LP,SPORTS,80709.98
2018-02-28,64893,MALEGODI PRIMARY SCHOOL,LP,SPORTS,100000.0
2018-01-29,65078,MAPANGULA PRIMARY SCHOOL,GP,CHARITIES,100000.0
2018-03-16,65231,SIKHULILE CRECHE,KZN,CHARITIES,230700.0
2017-11-14,65344,MOSES KOTANI LOCAL FOOTBALL ASSOCIATION,NW,SPORTS,1432219.61
2017-05-03,65383,MAZINYANE PRE CRECHE,MP,CHARITIES,512000.0
2017-05-12,65385,TLHARIHANI CRECHE,MP,CHARITIES,105650.0
2017-10-13,65525,NOMAXABISO CENTRE FOR CHILDREN WITH SPECIAL NEEDS & INCLUSIVE EDUCATION,WC,CHARITIES,106885.0
2017-12-15,65637,XIKWEMBU XINA HINA DISABILITY CENTRE,MP,CHARITIES,175350.0
2017-12-15,65714,KGAUHELO DAY CARE CENTRE,FS,CHARITIES,112000.0
2017-09-01,66234,MASIKHONZANE PRE-SCHOOL,EC,CHARITIES,67125.0
2018-01-16,66314,SIYADINGANA COMMUNITY SERVICE PROJECT,LP,CHARITIES,101750.0
2018-01-19,66338,TIBA SERVICES FOR THE BLIND,GP,ARTS,57500.0
2017-04-19,66571,MAMANOBO COMMUNITY DEVELOPMENT,GP,CHARITIES,221500.0
2017-09-28,66598,HOLY UNITED OVC DAY CARE AND HOME BASED CENTRE,GP,CHARITIES,279999.0
2017-08-17,66990,NSUKU EARLY LEARNING CENTRE,LP,CHARITIES,125555.0
2017-12-15,67003,MANEPA CARE CENTRE PROJECT,LP,CHARITIES,121380.0
2018-02-23,67090,TIZAMELENI CRECHE,MP,CHARITIES,502500.0
2017-08-30,67285,SIYABONGA DAY CARE CENTRE,GP,CHARITIES,157000.0
2018-02-09,67362,THANDANANI HOME BASED CARE,LP,CHARITIES,185560.0
2017-05-05,67380,BONISIWE FIELD CARE,GP,CHARITIES,410983.0
2017-04-07,67466,EMAFEZINI EDUCARE CENTRE,KZN,CHARITIES,126392.0
2017-06-21,67580,SEKA-TEMA CRECHE,LP,CHARITIES,169000.0
2017-05-12,67678,MAMOHAU PRE-SCHOOL,FS,CHARITIES,195018.0
2017-10-27,67748,DUDISANANG KGABEDI PROJECT,LP,CHARITIES,95877.0
2017-11-28,67754,INTUTHUKO NURSERY -PRE SCHOOL CENTRE,GP,CHARITIES,128268.0
2017-12-15,67772,THE WAY IMVELO DAY CARE,GP,CHARITIES,47500.0
2017-10-27,67834,EAGLE NEST NURSEY SCHOOL,GP,CHARITIES,146800.0
2018-01-19,67856,OPERATION HUNGER,GP,ARTS,2000000.0
2017-05-03,67875,SINOTHANDO HOME COMMUNITY BASED CARE,MP,CHARITIES,144000.0
2018-03-26,68082,RETHAKGETSE DAY CARE CENTRE,GP,CHARITIES,125874.0
2017-05-11,68109,LERATONG DAY CARE CENTRE,GP,CHARITIES,73350.0
2017-05-05,68422,BEEZY BEES DAY CARE CENTRE,GP,CHARITIES,100000.0
2018-03-16,68422,BEEZY BEES DAY CARE CENTRE,GP,CHARITIES,57696.0
2018-02-09,68528,SIYATJHEJA SOCIAL PROJECT,MP,CHARITIES,66400.0
2017-11-21,68648,GOOD HOPE COMMUNITY ORGANISATION,GP,CHARITIES,247068.0
2017-04-19,68725,STABILIS TREATMENT CENTRE,GP,CHARITIES,500000.0
2017-12-14,68904,QUMI HOMES,GP,CHARITIES,55000.0
2018-01-18,68906,PHUMELELA DAY CARE CENTRE,WC,ARTS,134108.0
2018-03-12,68916,LITTLE ANGELS DAY CARE & PRE SCHOOL,GP,CHARITIES,138899.0
2018-02-28,68933,HAPPY HEARTS PRE SCHOOL,GP,CHARITIES,133498.0
2018-01-18,68937,WAGON WHEEL DAY CARE CENTRE,LP,ARTS,136298.0
2017-08-21,68953,MAPALENG CRECHE,MP,CHARITIES,1152076.0
2017-07-07,68965,NG WELSYN VRYBURG,NW,CHARITIES,952953.0
2017-08-08,69016,ZOLA PARK DAY CARE CENTRE,GP,CHARITIES,117575.0
2017-11-21,69115,EARLY TO RISE DAY CARE,GP,CHARITIES,153250.0
2017-05-03,69120,KUNGWINI WELFARE ORGANISATION,GP,CHARITIES,744000.0
2017-10-13,69123,WONKE WONKE DAY CARE CENTRE,GP,CHARITIES,121398.0
2017-09-01,69137,BUSISIWE DAY CARE CENTRE,GP,CHARITIES,93899.0
2017-08-17,69165,SIMUNYE DAY CARE,GP,CHARITIES,65399.0
2017-04-07,69231,BUNDLE OF JOY CRECHE,KZN,CHARITIES,226163.0
2017-10-27,69259,MOEMANENG CRECHE,FS,CHARITIES,123750.0
2018-03-16,69268,ACVV POSTMASBURG,NC,CHARITIES,91000.0
2017-08-17,69282,PROGRESS BP EDUCARE CENTRE,MP,CHARITIES,82350.0
2017-11-28,69374,SANTU HIV & AIDS RELIEF PROJECT,GP,CHARITIES,71000.0
2018-03-16,69385,THE EKUKHANYENI COMMUNITY DEVELOPMENT CENTRE,GP,CHARITIES,229000.0
2017-11-28,69418,EL SHADDAI FOUNDATION,GP,CHARITIES,165222.0
2017-04-07,69422,RISHILE DAY CARE AND PRE-SCHOOL,GP,CHARITIES,102920.0
2017-05-05,69468,BULA MAHLO DAY CARE CENTER,GP,CHARITIES,162266.0
2017-08-23,69647,MASISI VILLAGE HOME BASED CARE,LP,CHARITIES,163725.0
2018-01-19,69909,MAKUKHANYE DAY CARE ORGANISATION,GP,ARTS,105552.0
2017-10-27,69921,SIYETHEMBA EDU-CARE,MP,CHARITIES,72365.0
2018-03-05,70069,KANANA MENTAL HEALTH CARE CENTRE,GP,CHARITIES,148000.0
2017-10-27,70123,MOHLAKENENG PRE-SCHOOL,FS,CHARITIES,60740.0
2018-02-09,70258,SEGAE CRECHE & PRE SCHOOL,MP,CHARITIES,122119.0
2017-08-25,70276,THE THUSANANI CHILDRENS FOUNDATION TRUST,GP,CHARITIES,158589.0
2017-08-23,70469,LERATONG DAY CARE,MP,CHARITIES,50000.0
2017-09-01,70851,LEFISO CHILD CARE SUPPORT,MP,CHARITIES,157450.0
2018-01-18,70854,CHURCH ALLIANCE FOR SOCIAL TRANSPORTATION,GP,ARTS,218195.0
2018-01-19,70875,VUMANI,GP,ARTS,140000.0
2017-05-03,70912,THLOLO WORLD BIBLE SCHOOL SUPPORT GROUP & PROJECTS,GP,CHARITIES,73899.0
2017-07-24,71215,ST. KIZITO CHILDREN'S PROGRAMME (QWA-QWA BRANCH),FS,CHARITIES,85750.0
2017-12-15,71528,CHUPJA CRECHE,LP,CHARITIES,187613.0
2017-08-23,71591,MAMAPO HOME BASED CARE,LP,CHARITIES,237600.0
2017-11-21,71652,ELIM CARE GROUP PROJECT,LP,CHARITIES,537636.0
2017-12-15,71654,RE HLOKA ENG DROP -IN CENTRE,LP,CHARITIES,135850.0
2017-12-14,71662,MAHLAHLELANE DROP-IN CENTRE,LP,CHARITIES,135525.0
2017-05-11,71762,LOTAVHA DAY CARE CENTRE,LP,CHARITIES,191749.0
2017-08-08,71767,MADIBONG HOME COMMUNITY BASED CARE,LP,CHARITIES,132500.0
2017-04-19,71802,VUKONA HOME BASED CARE,LP,CHARITIES,159000.0
2017-12-15,71962,REPHOLOGILE DROP-IN CENTRE,LP,CHARITIES,65200.0
2017-07-07,72092,DILOKONG YOUTH DEVELOPMENT AND EMPOWERMENT,LP,CHARITIES,170250.0
2017-05-25,72111,HI RI SWIN'WE VA TA HOLA HOME BASED CARE,LP,CHARITIES,254680.0
2018-02-09,72136,MVELEDZANDIVHO CHILD CARE CENTRE,LP,CHARITIES,114110.0
2018-01-19,72158,KGALUSHI DROP IN CENTRE,KZN,ARTS,120750.0
2017-09-01,72286,THUSO HOME BASED CARE (THBC),MP,CHARITIES,122750.0
2018-03-14,72298,"ABSTAIN,BE FAITHFUL AND CONDOMISE",LP,CHARITIES,334958.0
2017-12-15,72365,NGWANATHEKO CRECHE,LP,CHARITIES,224775.0
2018-02-28,72441,SIVELILE CRECHE & PRE SCHOOL,KZN,CHARITIES,60000.0
2018-02-09,72555,TSHEPONG CENTRE FOR THE DISABLED,GP,ARTS,99920.0
2017-12-14,72589,AFRICA CRAFT TRUST,GP,ARTS,1240000.0
2018-01-19,72594,EERSTERUS CARE AND TRAINING CENTRE,KZN,ARTS,206110.0
2017-04-19,72615,MABATANE SKILLS DEVELOPMENT SERVICES,LP,CHARITIES,154250.0
2018-03-16,72643,ITHEMBA TRUST,KZN,ARTS,379999.96
2017-06-21,72665,ONE CITY EVENTS COMPANY,WC,ARTS,380000.0
2018-03-16,72679,RIVONI SOCIETY FOR THE BLIND,LP,ARTS,190000.0
2017-05-17,72681,LETSEMA LA TSELA,GP,ARTS,1400000.0
2017-08-21,72755,THE FORGOTTEN ANGLE THEATRE COLLABORATIVE,GP,ARTS,638944.0
2017-11-21,72763,Seda Limpopo Lewellery Incubator,LP,ARTS,90153.0
2017-12-14,72812,SA NATIONAL ASSOCIATION FOR THE THE VISUAL ARTS,GP,ARTS,100131.51
2017-06-21,72825,THE SOUTH AFRICAN SAN INSTITUTE TRUST,NC,ARTS,598828.0
2017-08-23,72831,MONTSHIWA CULTURAL VILLAGE,NW,ARTS,4471126.0
2017-10-13,72839,FIRST READY DEVELOPMENT 773,KZN,ARTS,477000.0
2018-01-19,72855,JOHANNESBURG MUSIC INITIATIVE,GP,ARTS,1000000.0
2017-05-17,72858,YOUNG ARTISTS UNITE,GP,ARTS,697600.0
2017-11-28,72858,YOUNG ARTISTS UNITE,GP,ARTS,174400.0
2017-04-07,72864,REQUIEM FOR THE LIVING,GP,ARTS,450000.0
2017-09-01,72906,TRAINING AND RESOURCES IN EARLY EDUCATION,KZN,ARTS,220165.0
2017-04-12,72913,THE DEAF COMMUNITY OF CAPE TOWN,WC,ARTS,760000.0
2018-01-16,72913,THE DEAF COMMUNITY OF CAPE TOWN,KZN,ARTS,190000.0
2017-04-19,72914,MANGER CARE CENTRE,GP,ARTS,90000.0
2017-08-08,72940,THE GIRL GUIDES ASSOCIATION OF SOUTH AFRICA,GP,ARTS,676165.0
2017-10-13,73019,SUIDOOSTERFEES,WC,ARTS,229500.0
2018-03-16,73040,WELL WORN THEATRE COMPANY,GP,ARTS,600000.0
2018-01-19,73070,LIFE ORIENTATION HOME BASE CARE,GP,ARTS,149880.0
2017-05-04,73094,NATIONAL PEACE ACCORD TRUST,GP,ARTS,260000.0
2017-05-11,73118,BOITSHEPOVILLE YOUTH DEVELOPMENT CENTRE,GP,ARTS,600000.0
2018-03-16,73128,VAAL ECHOES OF LOVE NPC,GP,ARTS,399000.0
2018-02-28,73142,SIYABHABHA TRUST,GP,ARTS,300000.0
2017-09-01,73144,CHARITY OF CHOICE,WC,ARTS,156000.0
2017-09-01,73155,FREE ME WILDLIFE REHABILITATION KZN,KZN,ARTS,197730.21
2017-04-19,73181,SOUTH END MUSEUM TRUST,EC,ARTS,495365.14
2018-03-16,73188,INSTITUTE FOR THE BLIND INDUSTRIES,WC,ARTS,379994.8
2018-01-18,73202,BLACKBOARD TRUST,KZN,ARTS,600000.0
2018-03-16,73218,FORDSBURG ARTISTS STUDIOS,GP,ARTS,599475.0
2017-10-24,73221,THE ASSOCIATION FOR THE AGED- TAFTA,KZN,ARTS,112276.0
2017-05-25,73224,TRIBHANGI DANCE THEATRE,GP,ARTS,551554.0
2018-02-28,73231,TSHEDIMOSETSO COMMUNITY DEVELOPMENT AND OTHER PROJECTS,GP,ARTS,193800.0
2018-01-19,73236,PERSEVERANCE RURAL DEVELOPMENT CENTRE,KZN,ARTS,40000.0
2017-08-08,73243,NATIONAL CRAFT ASSOCIATION,GP,ARTS,1950000.0
2017-08-08,73251,LEFINE MAKGOMO DROP IN CENTRE,LP,ARTS,940167.23
2017-08-25,73292,CENTRE FOR POSITIVE CARE,LP,ARTS,1191660.8
2017-08-08,73320,DELTA ENVIRONMENT CENTRE,GP,ARTS,285000.0
2017-10-13,73324,ATTERIDGEVILLE JEWELLERY PROJECTS,GP,ARTS,221446.48
2017-04-19,73331,ZAKHENI ARTS THERAPY FOUNDATION,WC,ARTS,100000.0
2017-12-14,73332,MIYELA NON PROFIT ORGANIZATION,GP,ARTS,600000.0
2017-10-13,73333,SIGN LANGUAGE EDUCATION AND DEVELOPMENT ( SLED),WC,ARTS,169595.6
2017-12-14,73356,CIRRICULUM DEVELOPMENT PROJECT,GP,ARTS,512000.0
2017-04-07,73358,HOLY FAMILY COLLEGE (PARKTOWN),GP,ARTS,449263.8
2017-08-01,73363,KEELOZ ARTS ACADEMY,MP,ARTS,285000.0
2018-01-23,73367,NATIONAL LIBRARY OF SOUTH AFRICA,LP,SPORTS,2600000.0
2017-12-15,73368,ST ANTHONY'S HOME,KZN,ARTS,792375.78
2017-08-21,73370,TSWARANANG DISABLED PROJECT,LP,ARTS,193962.3
2017-10-02,73371,SHARKLIFE CONSERVATION GROUP,KZN,ARTS,600000.0
2018-03-16,73374,NDLANDLAMUKA INSTITUTE FOR SUSTAINABLE DEVELOPMENT,LP,ARTS,226141.0
2017-09-01,73378,SATHI GQI COMMUNITY DEVELOPMENT,KZN,ARTS,191275.49
2017-10-13,73379,MOSEKAPHOFU CULTURAL MULL,NW,ARTS,300000.0
2017-04-07,73385,LESAOANA INTERMEDIATE SCHOOL,FS,ARTS,627000.0
2017-05-03,73410,THE MOTHERTONGUE PROJECT,WC,ARTS,190000.0
2017-08-17,73422,ILEMBE DISTRICT MUNICIPALITY,KZN,ARTS,200000.0
2017-04-07,73435,VILLAGE TOURISM TRUST,LP,ARTS,380000.0
2018-03-16,73452,AGISANANG DOMESTIC ABUSE PREVENTION & TRAINING,GP,ARTS,380000.0
2018-01-16,73462,JUSTICE AND WOMEN,KZN,SPORTS,264935.0
2017-05-03,73466,SOUTHERN CAPE LAND COMMITTEE TRUST,WC,ARTS,140000.0
2017-10-13,73482,EMAWOTI ARTS DEVELOPMENT,KZN,ARTS,379980.8
2017-09-01,73491,FORUM FOR THE EMPOWERMENT OF WOMEN,GP,ARTS,177446.4
2017-08-21,73495,TRAUMA CENTRE FOR SURVIVORS OF VIOLENCE & TORTURE,WC,ARTS,180000.0
2017-04-19,73502,FILM MENTORSHIP & TRAINING,WC,ARTS,380000.0
2017-04-19,73503,LESAOANA INTERMEDIATE SCHOOL,FS,ARTS,653195.2
2018-03-16,73503,LESAOANA INTERMEDIATES SCHOOL,FS,ARTS,163298.0
2017-09-01,73504,JUNGLE THEATRE COMPANY,WC,ARTS,190000.0
2017-08-08,73536,GAUTENG SYMPHONY ORCHESTRA,GP,ARTS,240000.0
2017-06-21,73540,Street Stories Films,WC,ARTS,380000.0
2017-10-13,73555,DE LA BAT SCHOOL,WC,ARTS,313281.84
2017-11-21,73563,KWAZULU NATAL YOUTH ORCHESTRA,KZN,ARTS,330312.53
2017-04-19,73575,FAMILIES SOUTH AFRICA LIMPOPO,LP,ARTS,319936.0
2017-10-13,73590,ZISIZE (INGWAVUMA) EDUCATIONAL TRUST,KZN,ARTS,380000.0
