Name,Province,Sector,Amount
Forgotten Angle Theatre Collaborative,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",700000
Friends of the Greater Johannesburg Public Library,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",147400
Fuba School of Music,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",190050
Gordonia Institute,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",71000
Greenhouse People’s Environment Centre,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",3238500
Greenhouse People’s Environmental Centre,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1942700
Helene Smuts Arts Education Consultants CC,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",386532
Imbali Visual Literacy Project,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",341360
Imbali Visual Literacy Project,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",344020
Imfundiso Skills Development,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1227000
International Classical Music Festival of SA (ICMF),GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1400000
International Classical Music Festival of South Africa,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1050000
Intuthuka Yesizwe Foundation,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",780000
Jazz Foundation of SA,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",20000
Johannesburg Dance Foundation,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",115000
Johannesburg Development Agency,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",10000000
Johannesburg Youth Theatre Trust,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1286428
Karos and Kambro,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1520800
Khumbula Zulu Craft,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",70000
Land Access Movement of South Africa,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
Mahlasedi Forum,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",661000
Market Theatre Foundation,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",2500000
Motswako Performing Artists,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",250000
Moving Into Dance Mophatong,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",270000
Moving into Dance Mophatong Trust,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",180000
Music Industry Development Initiative (Midi) Trust,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",410900
National Craft Association,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",520000
National Eisteddfod Academy,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",83535
National School of The Arts,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",2400000
Newtown Film & TV School,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
Ochrim,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",223588
Orchards Project,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1364600
Original Arts Company,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",140000
Pro Musica Productions,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1000000
Recondev,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",5000000
Recondev Section 21,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1500000
Self Help Association of Paraplegics,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",358800
Sibikwa Community Theatre Project,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",697425
Sithuthuka SiSonke Drama Players,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",365000
Siyavuka Lateral Improvement Foundation,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
South African Ballet Theatre,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1400000
South African Ballet Theatre,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1200000
South African History On Line,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",570000
South African History Online,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",175000
South African Music Trust (SAMET),GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",205505
Southern African Multimedia Aids Project,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",123750
Soweto Community Dance Project,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
Soweto Youth Drama Society,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",599000
Soweto Youth Drama Society,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",643000
Soyikwa Institute of African Theatre,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",898000
St Mary’s DSG Outreach,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",227700
Technikon Pretoria School of Music,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",150000
Thabisong Youth Club,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",212600
UCT: Disaster Mitigation for Sustainable Livelihoods Projects,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",165300
University of Pretoria,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",240000
Voortrekker Monument and Nature Reserve,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",674000
Arlecchino’s Productions,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",535500
Bat Centre Trust,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",920000
Community Mural Projects,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",625000
Durban African Art Centre,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",60000
Durban Art Gallery,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",250000
Durban Arts Association,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
Durban Music School,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",125000
English Language Educational Trust,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",597080
Field Band Foundation,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",480000
Friends of Music,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",113600
Greater Edendale Environmental Network,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",25000
Greater Edenvale Environmental Network (Green Network),KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
Kwa Mashu Community Advancement Project,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",566999
KwaZulu Natal Arts and Culture Trust,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",1515000
KwaZulu Natal Philharmonic Orchestra,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",2550000
KZN Crane Foundation,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",50000
KZN Dance Link,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",100000
KZN Wildlife,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",3000000
Local History Museums,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",41755
Natal Museum,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",116000
Natal Museum,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",520000
Natal Society of Arts,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",164200
National Creative Arts Youth Festival,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",250000
Nicro Kwa Zulu Natal,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",362000
NICRO KZN,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",150000
Peace Foundation,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",1114297
Phezukomkhono Social Service Institute,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",92800
Playhouse Company,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",1000000
Practical Ministries,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",270000
Quadriplegic Association of South Africa,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",51100
Richmond/Byrne and District Museum,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",100000
Siyathuthuka Arts In Music,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",1358800
Sonke Trust,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",240000
South African Association for Marine Biological Research,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",804000
Southern African Dance Organisation,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",550000
TAFTA,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",60000
Wilderness Foundation,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",34700
Wildlands Trust,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",750000
Wildlife and Environment Society of South Africa,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",541656
Zululand Historical Museum Board of Trustees,KWAZULU-NATAL,"ARTS, CULTURE AND NATIONAL HERITAGE",900000
Girl Guides Association,LIMPOPO,"ARTS, CULTURE AND NATIONAL HERITAGE",382000
Haenersburg Development Foundation,LIMPOPO,"ARTS, CULTURE AND NATIONAL HERITAGE",278520
Linkfest “Eclipse”,LIMPOPO,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
Messina Eclipse 2002,LIMPOPO,"ARTS, CULTURE AND NATIONAL HERITAGE",263070
Sunrae-Sustaining Natural Resources in Africa Environment,LIMPOPO,"ARTS, CULTURE AND NATIONAL HERITAGE",708000
Khanya Community Theatre,MPUMALANGA,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
My Acre of Africa Trust,MPUMALANGA,"ARTS, CULTURE AND NATIONAL HERITAGE",5700000
Emthanjeni Municipality,NORTHERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",160000
McGregor Museum,NORTHERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",1563000
Sol Plaatjie Educational Trust,NORTHERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",880850
Sol Plaatjie Municipality,NORTHERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
Aardklop Festival,NORTH WEST,"ARTS, CULTURE AND NATIONAL HERITAGE",745000
Indlovu Link Dance Company,NORTH WEST,"ARTS, CULTURE AND NATIONAL HERITAGE",75960
North West Arts Council,NORTH WEST,"ARTS, CULTURE AND NATIONAL HERITAGE",1255322
Potchefstroom Town Council,NORTH WEST,"ARTS, CULTURE AND NATIONAL HERITAGE",1050000
South African Scout Association,NORTH WEST,"ARTS, CULTURE AND NATIONAL HERITAGE",648000
University of Cape Town: Outreach Project Rustenburg,NORTH WEST,"ARTS, CULTURE AND NATIONAL HERITAGE",466000
Abalimi Bezekhaya,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",130250
Abalimi Bezekhaya,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",700687
"African Studies Library, University Libraries UCT",WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",200000
Cape Film Commission,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
Cape Flats Development Association (CAFDA),WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",60200
Cape Orchestra,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",552000
Cape Town Concert Series,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",91200
Cape Town Minstrel Carnival Association,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
Cape Town Opera,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",1830000
Centre for the Book,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",1337500
Ceres Togryers Museum,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",64170
College of Magic,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",100000
Community Arts Association,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",159300
Community Arts Project,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",341000
Desmond Tutu Peace Trust,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
District Six Museum Production,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",1500000
Eoan Group,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
Fairest Cape Association,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",1143660
Film and TV Market Initiative,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
Film and TV Market Initiative,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",600000
Film and TV Market Initiative,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",600000
Garden Route Botanical Garden,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",100000
Haven Night Shelter,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",50000
Hermanus Whale Festival,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",150000
Idol Pictures,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",150000
Iziko Museum,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",675000
Iziko Museum: Memory Centre: Slave Lodge Museum,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",927100
Iziko Museum: William Kentridge Exhibition,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",525385
Iziko Museums: History Workshop,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",1562000
Iziko Museums,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",2800000
Iziko Museums,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",271000
Iziko Museums: (r)evolution? SOUTH AFRICA Exhibition,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",100000
Jazzart Dance Theatre,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
Klein Karoo Nasionale Kunstfees,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",800000
MAG Training Centre,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",140000
Mediaworks Trust,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",311212
Mopo Cultural Trust,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",319000
Municipality of Drakenstein,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",1045000
New Africa Theatre Association,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
Oasis Association for People with Intellectual Disabilities,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",452822
Oude Kerk Volksmuseum,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",207520
Project Chrysalis Fund – Western Cape Trust,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",674500
Prompt Trust,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",562000
Ruth Prowse School of Art,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",103000
SHAWCO,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",900000
SHAWCO,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",112230
SHAWCO,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",210400
Spier Arts Trust,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",1000000
Tsoga Environmental Resource Centre,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",771901
Western Cape Nature Conservation Board,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",1000000
Western Cape Nature Conservation Board,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",750000
Western Cape Primary Science Programme Trust,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",234900
Women for Peace,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",522400
Women’s Hope Education & Training Trust,WESTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",150000
A B Educare Centre,EASTERN CAPE,CHARITIES,90000
ACVV Aalwynhof Old Age Home,EASTERN CAPE,CHARITIES,320000
ACVV Adelaide,EASTERN CAPE,CHARITIES,200000
ACVV Alexandria – ACVV Diaz Home,EASTERN CAPE,CHARITIES,200000
ACVV AlgoaPark/Govan Mbeki,EASTERN CAPE,CHARITIES,50000
ACVV Cradock,EASTERN CAPE,CHARITIES,56000
ACVV Despatch Huis Najaar Home for the Aged,EASTERN CAPE,CHARITIES,25000
ACVV Despatch Service Centre for the Aged,EASTERN CAPE,CHARITIES,15000
ACVV Dolly Vermaak Service Centre for the Aged,EASTERN CAPE,CHARITIES,88000
ACVV Dordrecht,EASTERN CAPE,CHARITIES,45362
ACVV Dordrecht: Nerinahof ACVV Old Age Home,EASTERN CAPE,CHARITIES,590000
ACVV Eldorado,EASTERN CAPE,CHARITIES,300000
ACVV Huis Van De Graaff Old Age Home,EASTERN CAPE,CHARITIES,206000
ACVV Maatskaplike Dienste Dysselsdorp,EASTERN CAPE,CHARITIES,30970
ACVV Newton Park,EASTERN CAPE,CHARITIES,43000
ACVV Newton Park,EASTERN CAPE,CHARITIES,54000
ACVV Newton Park,EASTERN CAPE,CHARITIES,40400
ACVV Newton Park: Haas Das Day Care Centre & Pre-primary,EASTERN CAPE,CHARITIES,86000
ACVV Newton Park PE: Haas Das Day Care Centre & Pre Primary,EASTERN CAPE,CHARITIES,164000
ACVV Oudtshoorn,EASTERN CAPE,CHARITIES,1069823
ACVV PE Central,EASTERN CAPE,CHARITIES,212925
ACVV PE North,EASTERN CAPE,CHARITIES,54000
ACVV PE North,EASTERN CAPE,CHARITIES,246360
ACVV PE North,EASTERN CAPE,CHARITIES,220000
ACVV Poplar Avenue Doempie Playground Project,EASTERN CAPE,CHARITIES,315500
ACVV Poplar Avenue Greenacres,EASTERN CAPE,CHARITIES,190000
ACVV Poplar Avenue Pikkewyntjie Educare,EASTERN CAPE,CHARITIES,214000
ACVV Port Elizabeth North: Adelaide Mabuda Educare,EASTERN CAPE,CHARITIES,80000
ACVV Port Elizabeth South,EASTERN CAPE,CHARITIES,200000
ACVV Port Elizabeth West Kleinskool,EASTERN CAPE,CHARITIES,200000
ACVV Sheltered Workplace: Graaff Reinet,EASTERN CAPE,CHARITIES,254650
ACVV Uniondale: Knip & Stik,EASTERN CAPE,CHARITIES,200000
Algoa Bay Council for the Aged,EASTERN CAPE,CHARITIES,34500
Algoa Bay Council for the Aged,EASTERN CAPE,CHARITIES,60000
Algoa Bay Council for the Aged,EASTERN CAPE,CHARITIES,175000
Algoa Bay Council for the Aged,EASTERN CAPE,CHARITIES,35000
Aliwal North Child and Family Welfare,EASTERN CAPE,CHARITIES,200000
Amatola Haven Old Age Home,EASTERN CAPE,CHARITIES,120000
Animal Anti-Cruelty League: Port Elizabeth,EASTERN CAPE,CHARITIES,200000
Animal Welfare Society Port Elizabeth,EASTERN CAPE,CHARITIES,356916
ARDA Uitenhage,EASTERN CAPE,CHARITIES,55000
Association for Rehabilitation of Persons with Disabilities,EASTERN CAPE,CHARITIES,214186
Association for the Physically Disabled: Port Elizabeth Region,EASTERN CAPE,CHARITIES,804540
Aurora Stimulation Centre,EASTERN CAPE,CHARITIES,500000
Bethany Home,EASTERN CAPE,CHARITIES,75000
BKSB Centenary Memorial Company: Kingsholme,EASTERN CAPE,CHARITIES,200000
Buffalo Flats Community Development Trust,EASTERN CAPE,CHARITIES,316213
Callie Evens Lodge,EASTERN CAPE,CHARITIES,240000
CALUSA: Domestic Violence Monitoring Unit,EASTERN CAPE,CHARITIES,250000
Children’s Home,EASTERN CAPE,CHARITIES,600000
Christelike Maatskaplike Raad vir die Ring van Graaff Reinet,EASTERN CAPE,CHARITIES,20000
Christian Social Services Port Elizabeth,EASTERN CAPE,CHARITIES,311880
Cleary Estate Cheshire Home – Port Elizabeth,EASTERN CAPE,CHARITIES,120000
Cradock Child and Family Welfare,EASTERN CAPE,CHARITIES,115020
Cradock Masizame Community Development Centre,EASTERN CAPE,CHARITIES,307143
Deliwe Advice Centre,EASTERN CAPE,CHARITIES,100000
East London Old Timers: Berea Gardens Service Centre,EASTERN CAPE,CHARITIES,263000
East London Old Timers: Lily Kirchman Home,EASTERN CAPE,CHARITIES,250000
East London Senior Citizens Association,EASTERN CAPE,CHARITIES,500000
Eastern Cape Development and Funding Forum,EASTERN CAPE,CHARITIES,105000
Eastern Province Child and Youth Care Centre,EASTERN CAPE,CHARITIES,450000
Faith & Hope Integrated HIV/AIDS Programme,EASTERN CAPE,CHARITIES,311000
FAMSA Border and Family Life Centre,EASTERN CAPE,CHARITIES,200000
FAMSA Grahamstown,EASTERN CAPE,CHARITIES,130000
FAMSA Knysna,EASTERN CAPE,CHARITIES,294699
FAMSA Port Elizabeth,EASTERN CAPE,CHARITIES,300000
FAMSA Stutterheim,EASTERN CAPE,CHARITIES,122898
Fort Beaufort Advice Office,EASTERN CAPE,CHARITIES,75000
GADRA Advice and Community Work,EASTERN CAPE,CHARITIES,470000
Garden Route SPCA,EASTERN CAPE,CHARITIES,100000
George Child and Family Welfare Society,EASTERN CAPE,CHARITIES,72000
Graaff Reinet Child and Family Welfare Society,EASTERN CAPE,CHARITIES,150000
Grahamstown Child and Family Welfare Society,EASTERN CAPE,CHARITIES,144000
Grahamstown Hospice,EASTERN CAPE,CHARITIES,135804
Grahamstown TB Care Society,EASTERN CAPE,CHARITIES,2050000
Great Brak River Child and Family Welfare Society,EASTERN CAPE,CHARITIES,160000
