Province,Name,Amount
NORTH WEST,TSHWARAGANO EARLY LEARNING CENTRE,77500.00
NORTH WEST,SAAMSPAN DIENSSENTRUM VIR BEJAARDES,101383.00
NORTH WEST,VESSELS OF  MERCY,97000.00
NORTH WEST,THE ENABLEMENT CENTRE FOR DISABLED,179299.00
NORTH WEST,SOUTH AFRICAN COMMUNITY DEVELOPMENT,118000.00
GAUTENG,STARS OF EAST REACHING FOR GOLD,284300.00
FREE STATE,ADONAI DAY CARE,238800.00
FREE STATE,ATLEHANG MULTIPUPOSE CENTRE,182600.00
FREE STATE,FAMSA BLOEMFONTEIN SOUTHER FREE STATE,708411.00
FREE STATE,BUYANI EDUCARE CENTRE,299300.00
FREE STATE,TLHOLONG DAY CARE CRECHE,179064.00
FREE STATE,BOPANG LERATO DAY CARE CENTRE,230478.00
FREE STATE,KANENELO CRECHE,180100.00
FREE STATE,THABONG CRECHE,249247.00
FREE STATE,SUN RISE PRE SCHOOL,343093.00
FREE STATE,LESEDING CRECHE,127057.00
FREE STATE,BAMBANI SUPPORT GROUP,201400.00
FREE STATE,BONANG BACHA HEALTH CARE CENTRE,143300.00
FREE STATE,JABULANI DAY CARE,158160.00
FREE STATE,PHILANI VICTIM SUPPORT CENTRE,201502.00
FREE STATE,SIYAZENZELA PEOPLE WITH DISABILITY,98898.00
FREE STATE,NOMZAMO CRECHE,137193.00
FREE STATE,NTSHIDISENG DAY CARE,195840.00
FREE STATE,KHAUHELO CRECHE,230000.00
FREE STATE,MPHO CRECHE,181600.00
FREE STATE,HLOMPONG BOARDING DAY &CARE,221795.00
FREE STATE,TATASANGWANA MATHS AND SCIENCE PROJECT,232700.00
FREE STATE,LERATONG CRECHE,209100.00
FREE STATE,TSHIRELETSO DAY CARE,210400.00
FREE STATE,PABALLO DAY CARE FOR DISABLED,203534.00
FREE STATE,KUYASA DAY  CARE,181700.00
FREE STATE,NEW BEGINNING CRECHE,227300.00
FREE STATE,KGODISO YA KA CRECHE,233268.00
FREE STATE,MMABANA DAY CARE CENTRE,128000.00
FREE STATE,MAFUBE VICTIM SUPPORT CENTRE,256895.00
FREE STATE,TIRISANO KA BOTSHELO DAY CARE,195500.00
FREE STATE,TLHOKOMELA SOUP KITCHEN,135471.00
FREE STATE,FADIMEHANG DAY CARE CENTRE,152211.00
FREE STATE,DANKBAAR SENOIR SENTRUM NENEL,200025.00
GAUTENG,TSHWANE SCHOOL OF MUSIC,200000.00
GAUTENG,LIFE FOR IMPACT IN 21ST CENTURY NPC,10106800.00
GAUTENG,POETRY GALORE,34600.00
NORTHERN CAPE,FIRE CHARISMATIC,2960000.00
GAUTENG,BOPHELONG DAY CARE CENTRE,244500.00
GAUTENG,DITEBOGO DAY CARE CENTRE,221500.00
GAUTENG,KLUPSPRUIT WEST FAMILY CENTRE,259500.00
GAUTENG,HORIZON CARE CENTRE FOR PERSON WITH MENTAL DISABILITY,238046.00
GAUTENG,KORWE MULTI PUPOSE CENTRE,152500.00
GAUTENG,ONS HERBERG TEHUIS VIR BEJAARDES,60000.00
GAUTENG,MODIMO O MATLA CENTRE,225500.00
GAUTENG,UGGY DAY CARE CENTRE,233500.00
GAUTENG,THABONG CRECHE AND PRE SCHOOL,162500.00
GAUTENG,SOWETO BRANCH OF LEONARD CHESHIRE SOUTH AFRICA,1252947.00
GAUTENG,VAAL ECHOES OF LOVE,125500.00
GAUTENG,ATLEGANG EARLY LEARNING CENTRE,125500.00
GAUTENG,SEBUENG ITUMELENG,271500.00
GAUTENG,HARAMBE COMMUNITY DEVELOPMENT,130500.00
GAUTENG,RETINA SOUTH AFRICA NORTHERN GAUTENG BRANCH,127900.00
GAUTENG,JOY FOREVER PRE SCHOOL AND CRECHE,119500.00
GAUTENG,POPUP UPLIFTMENT,246500.00
GAUTENG,EMTHONJENI SATELITE 2,251812.00
GAUTENG,MPEPU NGWANA DAY CARE CENTRE,57694.00
GAUTENG,KIDDIES EARLY LEARNING CENTRE,95520.00
GAUTENG,BOKAMOSO EDU CARE CENTRE,105807.00
GAUTENG,TWINKLE TWINKLE LITTLE STARS PRE SCHOOL,116500.00
GAUTENG,GAUTENG BAOBAB EARLY LEARNING TRAINING PROGRAMME,92500.00
GAUTENG,RETHABILE  DAY CARE CENTTRE,120170.00
GAUTENG,TSHWARAGANANG COMMUNTY DEVELOPMENT,135500.00
GAUTENG,EAST PARK PRE SCHOOL,100500.00
GAUTENG,ISOLOMZI WEDELA WOMENS DEVELOPMENT ORGANISATION,117500.00
GAUTENG,JOHANNESBURG CHILD CARE CENTRE,162600.00
GAUTENG,DIDACTIC COMMUNITY NON PROFIT ORGANISTION,77500.00
EASTERN CAPE,EKHAYA PRODUCTIONS,141750.00
EASTERN CAPE,WILD COAST SUN MBIZANA DEVELOPMENT TRUST,8000000.00
GAUTENG,TAWANDA PRODUCTIONS,2713000.00
GAUTENG,SPIRINEX NPC,3943000.00
NORTHERN CAPE,SOURCE POINT,393230.77
NORTHERN CAPE,INDIGO DEVELOPMENT AND CHANGE,1416720.00
NORTHERN CAPE,ARCH ENTERTAINMENT,2194000.00
GAUTENG,RAINBOW BAMBINO DAY CARE & PRE SCHOOL,267297.00
GAUTENG,AHANANG PARISH BASED CARE ORGANISATION,304500.00
GAUTENG,CHILD AND FAMILY WELFARE SOCIETY OF THE BOKSBURG,780970.00
GAUTENG,LEBOHANG CRECHE,238000.00
GAUTENG,GIRLS AND BOYS TOWN SOUTH AFRCIA,1375004.00
GAUTENG,KUHLE SIYAPHUMELELA COMMUNITY HOME BASED CARE,505200.00
GAUTENG,THATHEZAKHO AFTER CARE CENTRE,299500.00
GAUTENG,MMAKONE DAY CARE CENTRE,247500.00
GAUTENG,TLOTLO MAWELA EARLY LEARNING CENTRE,266732.00
GAUTENG,THOKOZANI DAY CARE& AFTER CARE CENTRE,212050.00
GAUTENG,ST JOSEPH CARE AND SUPPORT TRUST AT SIZANANI VILLAGE,485500.00
GAUTENG,N.J. MALOPE PRE SCHOOL,239500.00
GAUTENG,GO TUMILE DAY CARE,214500.00
GAUTENG,JOLLY JUNIORS DAY CARE,113871.00
GAUTENG,CATHOLIC WOMENS LEAGUE OF THE CATHOLIC DIOCES OF JOHANNESBURG,521614.00
GAUTENG,CATHOLIC WOMENS LEAGUE ST ANNES HOME FOR THE AGED,235000.00
GAUTENG,INJABULO COMMUNITY,296500.00
GAUTENG,RANIA DAY CARE,233000.00
GAUTENG,BONGUMUSA  PRE SCHOOL,195000.00
GAUTENG,HUIS MEYERTON HOME FOR THE AGED,90000.00
GAUTENG,SOUTH AFRICA ASSOCIATION OF INVESTORS,133380.00
GAUTENG,ENGAGING PARENTS ORGANISATION,248300.00
GAUTENG,USIZO CRECHE,133500.00
GAUTENG,MALEKANYANE SOCIAL DEVELOPMENT ORGANISATION,231500.00
GAUTENG,THE GREEN PASTURES,177500.00
GAUTENG,SOUTH AFRICAN CONGRESS FOR EARLY CHILDHOOD DEVELOPMENT,1190000.00
GAUTENG,SIYAZIGABISA CHILDREN YOUTH AND COMMUNITY ORGANISATION,421500.00
GAUTENG,HOLY UNITED OVC DAY CARE & HOME BASED CARE CENTRE,172498.00
GAUTENG,ITHUTENG E.C.D.C,194500.00
GAUTENG,SPREAD THE LOVE,93000.00
GAUTENG,SAVF HUIS DIEN BOTHMA,25690.00
GAUTENG,RE BAFENYI,252500.00
GAUTENG,COMMUNITY CRISISIS CENTRE,392250.00
GAUTENG,REJOICE DAY CARE CENTRE,227000.00
GAUTENG,ITHUTENG ART,439400.00
GAUTENG,INTERNATIONAL KNOWLEDGE MANAGEMENT,3079075.00
GAUTENG,HOERSKOOL FOCHVILLE,75000.00
GAUTENG,PUKU CHILDREN LITERATURE FOUNDATION,662500.00
GAUTENG,FARRARMERE PRIMARY SCHOOL,75000.00
EASTERN CAPE,NORTHWOORD CHILDREN HOSPICE,374000.00
EASTERN CAPE,MOSULI HOME BASED CARRE & REHAB,145500.00
EASTERN CAPE,BULUNGULA INCUBATOR,240000.00
EASTERN CAPE,PEOPLE OPPOSING CHILDREN & WOMEN ABUSE DEVELOPMENT PROJECT,240000.00
EASTERN CAPE,KHANYISA VICTIM EMPOWERMENT CENTRE,240800.00
EASTERN CAPE,"ANGELIQUE(AMALINDA)HIV/AIDS,ORPHANS AND VULNERABLE CHILDREN AND ADULTS COMMUNITY BASED CARE CENTRE",122328.00
NORTH WEST,THEMBA OLD AGE PROJECT,182300.00
NORTH WEST,SIPRUTH AIDS ORPHANS AND COMMUNITY ORGANISATION,130100.00
NORTH WEST,MMABO COMMUNITY CENTRE,74150.00
NORTH WEST,NTUTUBOLOLE CRECHE,167660.00
GAUTENG,LAERSKOOL MOOIFONTEIN PRIMARY SCHOOL,75000.00
GAUTENG,MMUPI LITERATURE YOUTH SOUTH AFRICA,838440.00
NORTHERN CAPE,KGATEPELE SOCIAL DEVELOPMENT FORUM,240500.00
NORTHERN CAPE,KAING PRE SCHOOL,392894.00
NORTHERN CAPE,LIFE LESSONS,128860.00
NORTHERN CAPE,NORTHERN CAPE OLDER PERSON`S FORUM,221393.00
NORTHERN CAPE,HOSPICE RICHTERVELD,352132.00
NORTHERN CAPE,AGAPE FAMILY CENTRE,242500.00
NORTHERN CAPE,BATHO  KOPANANG ORGANISATION,122500.00
NORTHERN CAPE,AGE IN ACTION NORTHERN CAPE,121579.00
NORTHERN CAPE,SIZABONKE COMMUNITY CENTRE,122276.00
NORTHERN CAPE,TSHEPANO,128700.00
NORTHERN CAPE,MOGOMOTSI DROP IN CENTRE,252500.00
FREE STATE,VUKA COMMUNITY BASE CARE AND SUPPORT SERVICES CLUB,141000.00
FREE STATE,THE MANGAUNG FOUNDATION NPC,473604.00
WESTERN CAPE,AMA WOLSELEY CULTURAL ASSOCIATION (AWCA),405500.00
WESTERN CAPE,WINSTON MANKUNKU NGOZI JAZZ FOUNDATION,366800.00
KWAZULU-NATAL,BRIGHTON BEACH SENIOR PRIMARY SCHOOL,75000.00
KWAZULU-NATAL,PINETOWN BOYS HIGH SCHOOL,75000.00
KWAZULU-NATAL,NQUTHU ARTS DEVELOPMENT PROGRAMME,1857716.00
KWAZULU-NATAL,KINGSWAY HIGH SCHOOL,75000.00
KWAZULU-NATAL,DR JM RADEBE FOUNDATION NPC,330281.00
KWAZULU-NATAL,"IRONGRID SPORT,ART AND CULTURE CHALLENGE",44476.00
LIMPOPO,SEEPENG FANANG DIATLA PROJECT,204336.00
LIMPOPO,MULENZHE DEVELOPMENT TRUST,3347250.00
LIMPOPO,THE ANSWER MUSIC & ARTS TEAM,300000.00
GAUTENG,INNERCHANGE SOUTH AFRICA,244500.00
GAUTENG,CARRYOU MINISTRY HEALTH CHILDREN & YOUTH CARE,211895.00
GAUTENG,LEGAL CENTRE FOR GENDER BASED VIOLENCE ASSOCTION,196940.00
GAUTENG,CARRYOU MINISTRY ELANDSVLEI DROP IN CENTRE AND PRE SCHOOL,268500.00
GAUTENG,PRETORIA SUNGARDENS HOSPICE ASSOCIATION,498500.00
GAUTENG,AFRICAN YOUTH DEVELOPMENT FUND,207500.00
GAUTENG,KEAGILE WELLNESS DEVELOPMENT CENTRE,196200.00
GAUTENG,THE CRADDLE OF UBUNTU,156500.00
GAUTENG,IKAHENG SELF HELP ASSOCIATION OF THE BLIND,237900.00
GAUTENG,HELPING  HAND HOME BASED CARE,329400.00
GAUTENG,KGOTHALANG BATHO COMMUNITY DEVELOPMENT ORGANISATION,120000.00
GAUTENG,ACFS COMMUNITY EDUCATION& FEEDING SCHEME,1295000.00
GAUTENG,MY LILLIES OF HOPE,157500.00
GAUTENG,ITEKENG BAGUDI SOCIAL CLUB,191100.00
GAUTENG,QNISO TRUST,124500.00
GAUTENG,LAMATHONSI ENTERTAINMENT COMMUNITY PROJECTS,9000000.00
KWAZULU-NATAL,AMAFA AKWAZULU NATALI,2495262.00
KWAZULU-NATAL,AFRICAN SINAKHO ARTS,773577.00
KWAZULU-NATAL,ISAMBANE ARTS PRODUCTION,1756760.00
KWAZULU-NATAL,JOMBA SPKILI INGOMA ASSOCIATION,301000.00
KWAZULU-NATAL,THE GOVERNING BODY OF THE OPEN AIR SCHOOL,1222761.40
GAUTENG,BONA LESEDI SECONDARY SCHOOL,297750.90
GAUTENG,TENNIS SOUTH AFRICA,2500000.00
GAUTENG,NORTHERNS CRICKET UNION,784000.00
GAUTENG,SOUTH AFRICAN NATIONAL PIGEON ORGANISATION,250000.00
GAUTENG,THOHOYANDOU PRIMARY SCHOOL,300023.00
GAUTENG,LESEDI -POTLANA PRIMARY SCHOOL,300000.00
GAUTENG,MATHAGA PRIMARY SCHOOL,300000.00
GAUTENG,ORLANDO GARDENS UNITED,56287.50
GAUTENG,USINDISO SENIOR PRIMARY SCHOOL,280000.00
GAUTENG,THOMAS NHLAPO PRIMARY,300000.00
GAUTENG,ALCHEMY SPORT AND RECREATION,118000.00
KWAZULU-NATAL,UMTENTWENI TENNIS CLUB,300000.00
KWAZULU-NATAL,FC SCORPIONS,185600.00
KWAZULU-NATAL,INQUBEKO PROJECTS,50000.00
KWAZULU-NATAL,PHENDUKA PRIMARY SCHOOL,299920.00
KWAZULU-NATAL,DIVAL PRIMARY SCHOOL,300000.00
KWAZULU-NATAL,KWANQOKOTHO PRIMARY SCHOOL,300000.00
KWAZULU-NATAL,LANDELANI PRIMARY SCHOOL,281450.00
KWAZULU-NATAL,MANZEZULU PRIMARY SCHOOL,300000.00
KWAZULU-NATAL,MLONYENI COMBIED SHOLLL,300000.00
KWAZULU-NATAL,SAIL AFRICA YOUTH DEVELOPMENT  FOUNDATION,299250.00
KWAZULU-NATAL,PROSPECT TENNIS CLUB,250000.00
KWAZULU-NATAL,PRINCE SOYICA HIGH SCHOOL,300000.00
KWAZULU-NATAL,EKLOWENI PRIMARY SCHOOL,300000.00
KWAZULU-NATAL,MANGQWASHU PRIMARY SCHOOL,300000.00
KWAZULU-NATAL,ENKATHWENI PRIMARY SCHOOL,298353.00
KWAZULU-NATAL,QALAKAHLE PRIMARY SCHOOL,298353.65
KWAZULU-NATAL,KWAMANANDI PRIMARY SCHOOL,298353.65
KWAZULU-NATAL,GEORGE CALTEX  PRIMARY SCHOOL,298353.65
KWAZULU-NATAL,INKOSENHLE PRIMARY,298353.00
KWAZULU-NATAL,NDEMA PRIAMRY SCHOOL,300000.00
KWAZULU-NATAL,EKUTHUKUZENI PRIMARY SCHOOL,298353.65
KWAZULU-NATAL,NKONYANE PRIMARY SCHOOL,298353.65
KWAZULU-NATAL,ESIYALWINI PRIMRY SCHOOL,300000.00
KWAZULU-NATAL,OVAKANENI PUBLIC PRIMARY SCHOOL,300000.00
KWAZULU-NATAL,ENZONDWANE PRIMARY SCHOOL,300000.00
KWAZULU-NATAL,MALANDA PRIMARY SCHOOL,298353.65
KWAZULU-NATAL,NTULUFAZI PRIMARY SCHOOL,298353.65
KWAZULU-NATAL,PHEPHA JUNIOR PRIMARY SCHOOL,298353.63
KWAZULU-NATAL,GEM LP SCHOOL,300000.00
KWAZULU-NATAL,EHLEZENI C.P.SCHOOL,300000.00
KWAZULU-NATAL,IGUGULAMANYONI JUNIOR PRIMARY,300000.00
KWAZULU-NATAL,OUR LADY OF INGWAVUMA PRIMARY SCHOOL,300000.00
KWAZULU-NATAL,NTABAMHLOPHE PRIMARY SCHOOL,299000.00
KWAZULU-NATAL,MGWABAGOWABA PRIMARY SCHOOL,299098.18
KWAZULU-NATAL,MAYALUKA PRIMARY SCHOOL,278998.32
KWAZULU-NATAL,MZINYENI PRIMARY SCHOOL,299999.40
LIMPOPO,MAOKENG PRIMARY SCHOOL,298747.00
MPUMALANGA,SOMABEDLANA PRIMARY SCHOOL,300000.00
MPUMALANGA,MASWENG PRIMARY SCHOOL,300000.00
MPUMALANGA,SIZIMISELE PRIMARY SCHOOL,293300.00
MPUMALANGA,BUKHUSIBETHU PRIMARY SCHOOL,293300.00
MPUMALANGA,OLERATO,246000.00
MPUMALANGA,MGUBHO COMBINED SCHOOL,250000.00
MPUMALANGA,FAXAR YOUNG BROTHERS,49980.00
MPUMALANGA,MPHUMELELO PRIMARY SCHOOL,283268.46
MPUMALANGA,HIBEMANDLA PRIMARY SCHOOL,295985.00
MPUMALANGA,THE BROOK COMBINED SCHOOL,298935.00
MPUMALANGA,BAMBANANI PRIMARY SCHOOL,300000.00
MPUMALANGA,MZINTI LADIES FOOTBALL CLUB,326100.00
MPUMALANGA,MATSAFENI PRIMARY SCHOOL,283035.00
MPUMALANGA,LUVOLWETHU PRIMARY SCHOOL,300000.00
MPUMALANGA,MAWUVANA PRIMARY SCHOOL,300000.00
MPUMALANGA,IDLANGEMABALA SECONDARY SCHOOL,300000.00
MPUMALANGA,ANDRIES CHICHA FOOTBALL PROGRAM,168000.00
GAUTENG,TYGERPOORT PRIMARY SCHOOL,75000.00
GAUTENG,STONERIDGE PRIMARY SCHOOL,75000.00
GAUTENG,EDENGLEN PRIMARY SCHOOL,75000.00
GAUTENG,ELANDSPARK SCHOOL,75000.00
GAUTENG,TE RADEBE THEATRE FOUNDATION,567418.00
GAUTENG,EAST RAND YOUTH ORCHESTRA,380000.00
GAUTENG,INDIGENOUS KNOWLEDGE SYSTEMS OF SOUTH AFRICA,1208000.00
GAUTENG,GAUTENG DANCE MANYANO,768000.00
WESTERN CAPE,BIOWISE SOLUTIONS NPC,762000.00
WESTERN CAPE,SOUTH AFRICAN YOUTH COUNCIL WESTERN CAPE,396500.00
GAUTENG,KHWELA THEATRE PRODUCTION,923429.00
MPUMALANGA,PHINDAMZALA ARTS COMPANY,2497394.00
KWAZULU-NATAL,SIYANIKEZELA COMMUNITY DEVELOPMENT PROJECT,59000.00
KWAZULU-NATAL,MHLENGE SOCIETY FOR THE AGED,127950.00
KWAZULU-NATAL,DYNAMIC YOUTH DEVELOPMENT SERVICES,117325.00
KWAZULU-NATAL,THOKOZA DROP IN CENTRE,61000.00
KWAZULU-NATAL,WOZA ZONKE ORGANISATION,46000.00
KWAZULU-NATAL,CHANGING LIFE ORGANISATION,52000.00
LIMPOPO,CENTRE FOR FARMWORKERS AND RURAL DEVELOPMENT,60000.00
LIMPOPO,PFNANI HOME BASED CARE AND AWARENESS,95000.00
LIMPOPO,LEBOHANG AGED CLUB,92500.00
LIMPOPO,VILLA NORA VICTIM EMPOWERMENT CENTRE,79000.00
GAUTENG,ITEMOGELE PRIMARY SCHOOL,75000.00
GAUTENG,PARKDENE PRIMARY SCHOOL,75000.00
GAUTENG,VISUAL ARTS NETWORK OF SOUTH AFRICA (VANSA),468000.00
MPUMALANGA,MZAMO HOME BASED CARE,34500.00
MPUMALANGA,CHILD WELFARE EMALAHLENI,401030.00
MPUMALANGA,GUGULETHU ST BENEDICTS HOME FOR THE AGED,352000.00
MPUMALANGA,SIYAZIBAMBELA HOME BASED CARE,122000.00
MPUMALANGA,SERVICE OF LOVE,28000.00
GAUTENG,NATIONAL EISTEDDFOD ACADEMY,775200.00
NORTHERN CAPE,OASIS SKILLS DEVELOPMENT CENTRE,1302145.00
WESTERN CAPE,CHILD WELFARE SOUTH AFRICA : HELDERBERG,319300.00
WESTERN CAPE,USAPHO FOUNDATION,112000.00
WESTERN CAPE,IRIS HOUSE CHILDERENS HOSPICE,341950.00
WESTERN CAPE,DEAFNET CENTRE OF KNOWLEDGE,160000.00
WESTERN CAPE,NEWTON DIENSSENTRUM,70600.00
WESTERN CAPE,THE NOVALIS UBUNTU INSTITUTE,140000.00
WESTERN CAPE,UITSIG CARE MISSION,191000.00
WESTERN CAPE,EDMUD RICE CAMPS,191705.00
GAUTENG,CENTRAL GAUTENG ATHLETICS,2500000.00
FREE STATE,AMBASSADORS OF CHANGE A.O.C.,39200.00
FREE STATE,KAGISANONG PARTNERS IN POVERTY,49000.00
FREE STATE,VRYSTAAT VERSORGING IN AKSIE FRANKFORT,350087.00
FREE STATE,MAKING A LIVING,207400.00
MPUMALANGA,EDINBURG CRECHE,142500.00
MPUMALANGA,KHULANI EDUCARE CENTRE,189344.00
MPUMALANGA,MASOYI HOME BASED CARE,250500.00
MPUMALANGA,WENAKKER,427431.00
MPUMALANGA,RIPFUMELO CRECHE,108500.00
MPUMALANGA,MAHANDZENI CRECHE,144500.00
MPUMALANGA,MASINGITA CRECHCE,92500.00
MPUMALANGA,GOOD HOPE CRECHE,299500.00
MPUMALANGA,NJOMBO PRE- SCHOOL,99500.00
MPUMALANGA,HIKATEKILE CRECHE,89000.00
MPUMALANGA,TSWELOPELO DAY CARE CENTRE,73297.00
KWAZULU-NATAL,WUSHINI ARTS CENTER,440000.00
KWAZULU-NATAL,AFRICAN VICO NPC,322283.00
FREE STATE,SEDIBENG PRIMARY SCHOOL,306750.00
FREE STATE,AURORA PRIMARY SCHOOL,204530.00
LIMPOPO,KATEKANI PRIMARY SCHOOL,299389.00
LIMPOPO,MATSIRI MOKGOKONG PRIMARY SCHOOL,299998.00
LIMPOPO,KGOMO TLOU PRIMARY SCHOOL,299992.00
LIMPOPO,THUSANANG SPECIAL SCHOOL,200000.00
LIMPOPO,KGABO PARK PRIMARY SCHOOL,299700.00
LIMPOPO,KGAMPI PRIMARY SCHOOL,300000.00
NORTHERN CAPE,UPINGTON GOLF CLUB,200000.00
NORTHERN CAPE,NORTHERN CAPE LADIES GOLF UNION,133125.00
NORTHERN CAPE,GRIQUA DIAMONDS T/A NORTHERN CAPE CRICKET,200000.00
NORTHERN CAPE,RANGERS RUGBY CLUB,201053.00
WESTERN CAPE,YOUNG IDOLS FC 68 NPC,216593.35
WESTERN CAPE,GUGULETHU ULIBHONGWENI SPORT DEVELOPMENT ORGANISATION,51000.00
GAUTENG,RE LEBILE KANANA COMM TRAINING AND DEVELOPMENT,472199.00
MPUMALANGA,MORNING GLORY CRECHE,394999.00
MPUMALANGA,NDLOPFANA PRE SCHOOL,125900.00
EASTERN CAPE,AMBASSADORS FOOTBALL CLUB,144650.00
EASTERN CAPE,ZWELEMFUNDO PUBLIC SCHOOL,300000.00
EASTERN CAPE,NDABANKULU JUNIOR SECONDARY SCHOOL,300000.00
EASTERN CAPE,STAR OF INDIA FOOTBALL CLUB,146000.00
EASTERN CAPE,MTSHAZI SPS,301598.00
GAUTENG,ORANGE FARM PRIMARY SCHOOL,300000.00
GAUTENG,MENLO-ALKANT TENNIS CLUB,50000.00
GAUTENG,WEST RAND SOCCER LEGENDS,56000.00
GAUTENG,LEGALONG PRIMARY SCHOOL,300000.00
GAUTENG,RANDBURG TENNIS CLUB,198000.00
GAUTENG,BETHESDA SPECIAL SCHOOL,300000.00
GAUTENG,VALHALLA TENNIS CLUB,200650.00
GAUTENG,RUST TER VAAL PRIMARY  SCHOOL,300000.00
GAUTENG,SONWABO PLAY GROUP,133215.00
EASTERN CAPE,ZIBSIMODE NPC,5066022.75
KWAZULU-NATAL,ZIBSIMODE NPC,5066022.75
LIMPOPO,ZIBSIMODE NPC,5066022.75
MPUMALANGA,ZIBSIMODE NPC,5066022.75
GAUTENG,ANIMALS ALLIES,120000.00
GAUTENG,COALITION OF ANGLICAN CHILDREND HOMES,486275.00
GAUTENG,IMBIZO YETHU FOUNDATION,80500.00
WESTERN CAPE,PERSONAL DOLL TRAINING AFRICA,337000.00
WESTERN CAPE,CAPE TOWN MULTI SERVICE CENTRE,419499.00
WESTERN CAPE,THE HOME STEAD,476000.00
WESTERN CAPE,KHULULEKA GRIEF& LOSS SUPPORT GROUPS FOR CHILDREN,76000.00
WESTERN CAPE,U-TURN,353960.00
WESTERN CAPE,JO-DOLPHIN SWARTLAND ASSOCIATION FOR PERSON WITH DISABILITIES,706000.00
WESTERN CAPE,ROBESTON HOUSE,34500.00
WESTERN CAPE,THE KNYSNA ALCOHOL AND DRUG CENTRE,488596.00
WESTERN CAPE,POSTNATAL DEPRESSION SUPPORT ASSOCIATION-SOUTH AFRICA,167900.00
WESTERN CAPE,"CHILD WELFARE SOUTH AFRICA,PAARL",420524.00
WESTERN CAPE,PROSPERITY YOUTH CENTRE,234500.00
