Province,Name,Amount
GP,HORIZON CARE CENTRE FOR PERSON WITH MENTAL DISABILITY,238046.00
GP,KORWE MULTI PUPOSE CENTRE,152500.00
GP,ONS HERBERG TEHUIS VIR BEJAARDES,60000.00
GP,MODIMO O MATLA CENTRE,225500.00
GP,UGGY DAY CARE CENTRE,233500.00
GP,THABONG CRECHE AND PRE SCHOOL,162500.00
GP,SOWETO BRANCH OF LEONARD CHESHIRE SOUTH AFRICA,1252947.00
GP,VAAL ECHOES OF LOVE,125500.00
GP,ATLEGANG EARLY LEARNING CENTRE,125500.00
GP,SEBUENG ITUMELENG,271500.00
GP,HARAMBE COMMUNITY DEVELOPMENT,130500.00
GP,RETINA SOUTH AFRICA NORTHERN GAUTENG BRANCH,127900.00
GP,JOY FOREVER PRE SCHOOL AND CRECHE,119500.00
GP,POPUP UPLIFTMENT,246500.00
GP,EMTHONJENI SATELITE 2,251812.00
GP,MPEPU NGWANA DAY CARE CENTRE,57694.00
GP,KIDDIES EARLY LEARNING CENTRE,95520.00
GP,BOKAMOSO EDU CARE CENTRE,105807.00
GP,TWINKLE TWINKLE LITTLE STARS PRE SCHOOL,116500.00
GP,GAUTENG BAOBAB EARLY LEARNING TRAINING PROGRAMME,92500.00
GP,RETHABILE DAY CARE CENTTRE,120170.00
GP,TSHWARAGANANG COMMUNTY DEVELOPMENT,135500.00
GP,EAST PARK PRE SCHOOL,100500.00
GP,ISOLOMZI WEDELA WOMENS DEVELOPMENT ORGANISATION,117500.00
GP,JOHANNESBURG CHILD CARE CENTRE,162600.00
GP,DIDACTIC COMMUNITY NON PROFIT ORGANISTION,77500.00
EC,EKHAYA PRODUCTIONS,141750.00
EC,WILD COAST SUN MBIZANA DEVELOPMENT TRUST,8000000.00
GP,TAWANDA PRODUCTIONS,2713000.00
GP,SPIRINEX NPC,3943000.00
NC,SOURCE POINT,393230.77
NC,INDIGO DEVELOPMENT AND CHANGE,1416720.00
NC,ARCH ENTERTAINMENT,2194000.00
GP,RAINBOW BAMBINO DAY CARE & PRE SCHOOL,267297.00
GP,AHANANG PARISH BASED CARE ORGANISATION,304500.00
GP,CHILD AND FAMILY WELFARE SOCIETY OF THE BOKSBURG,780970.00
GP,LEBOHANG CRECHE,238000.00
GP,GIRLS AND BOYS TOWN SOUTH AFRCIA,1375004.00
GP,KUHLE SIYAPHUMELELA COMMUNITY HOME BASED CARE,505200.00
GP,THATHEZAKHO AFTER CARE CENTRE,299500.00
GP,MMAKONE DAY CARE CENTRE,247500.00
GP,TLOTLO MAWELA EARLY LEARNING CENTRE,266732.00
GP,THOKOZANI DAY CARE& AFTER CARE CENTRE,212050.00
GP,ST JOSEPH CARE AND SUPPORT TRUST AT SIZANANI VILLAGE,485500.00
GP,N.J. MALOPE PRE SCHOOL,239500.00
GP,GO TUMILE DAY CARE,214500.00
GP,JOLLY JUNIORS DAY CARE,113871.00
GP,CATHOLIC WOMENS LEAGUE OF THE CATHOLIC DIOCES OF JOHANNESBURG,521614.00
GP,CATHOLIC WOMENS LEAGUE ST ANNES HOME FOR THE AGED,235000.00
GP,INJABULO COMMUNITY,296500.00
GP,RANIA DAY CARE,233000.00
GP,BONGUMUSA PRE SCHOOL,195000.00
GP,HUIS MEYERTON HOME FOR THE AGED,90000.00
GP,SOUTH AFRICA ASSOCIATION OF INVESTORS,133380.00
GP,ENGAGING PARENTS ORGANISATION,248300.00
GP,USIZO CRECHE,133500.00
GP,MALEKANYANE SOCIAL DEVELOPMENT ORGANISATION,231500.00
GP,THE GREEN PASTURES,177500.00
GP,SOUTH AFRICAN CONGRESS FOR EARLY CHILDHOOD DEVELOPMENT,1190000.00
GP,SIYAZIGABISA CHILDREN YOUTH AND COMMUNITY ORGANISATION,421500.00
GP,HOLY UNITED OVC DAY CARE & HOME BASED CARE CENTRE,172498.00
GP,ITHUTENG E.C.D.C,194500.00
GP,SPREAD THE LOVE,93000.00
GP,SAVF HUIS DIEN BOTHMA,25690.00
GP,RE BAFENYI,252500.00
GP,COMMUNITY CRISISIS CENTRE,392250.00
GP,REJOICE DAY CARE CENTRE,227000.00
GP,ITHUTENG ART,439400.00
GP,INTERNATIONAL KNOWLEDGE MANAGEMENT,3079075.00
GP,HOERSKOOL FOCHVILLE,75000.00
GP,PUKU CHILDREN LITERATURE FOUNDATION,662500.00
GP,FARRARMERE PRIMARY SCHOOL,75000.00
EC,NORTHWOORD CHILDREN HOSPICE,374000.00
EC,MOSULI HOME BASED CARRE & REHAB,145500.00
EC,BULUNGULAINCUBATOR,240000.00
EC,PEOPLE OPPOSING CHILDREN & WOMEN ABUSE DEVELOPMENT PROJECT,240000.00
EC,KHANYISA VICTIM EMPOWERMENT CENTRE,240800.00
EC,"ANGELIQUE(AMALINDA)HIV/AIDS,ORPHANS AND VULNERABLE CHILDREN AND ADULTS COMMUNITY BASED CARE CENTRE",122328.00
NW,THEMBA OLD AGE PROJECT,182300.00
NW,SIPRUTH AIDS ORPHANS AND COMMUNITY ORGANISATION,130100.00
NW,MMABO COMMUNITY CENTRE,74150.00
NW,NTUTUBOLOLE CRECHE,167660.00
GP,LAERSKOOL MOOIFONTEIN PRIMARY SCHOOL,75000.00
GP,MMUPI LITERATURE YOUTH SOUTH AFRICA,838440.00
NC,KGATEPELE SOCIAL DEVELOPMENT FORUM,240500.00
NC,KAING PRE SCHOOL,392894.00
NC,LIFE LESSONS,128860.00
NC,NORTHERN CAPE OLDER PERSON'S FORUM,221393.00
NC,HOSPICE RICHTERVELD,352132.00
NC,AGAPE FAMILY CENTRE,242500.00
NC,BATHO KOPANANG ORGANISATION,122500.00
NC,AGE IN ACTION NORTHERN CAPE,121579.00
NC,SIZABONKE COMMUNITY CENTRE,122276.00
NC,TSHEPANO,128700.00
NC,MOGOMOTSI DROP IN CENTRE,252500.00
FS,VUKA COMMUNITY BASE CARE AND SUPPORT SERVICES CLUB,141000.00
FS,THE MANGAUNG FOUNDATION NPC,473604.00
WC,AMA WOLSELEY CULTURAL ASSOCIATION (AWCA),405500.00
WC,WINSTON MANKUNKU NGOZI JAZZ FOUNDATION,366800.00
KZN,BRIGHTON BEACH SENIOR PRIMARY SCHOOL,75000.00
KZN,PINETOWN BOYS HIGH SCHOOL,75000.00
KZN,NQUTHU ARTS DEVELOPMENT PROGRAMME,1857716.00
KZN,KINGSWAY HIGH SCHOOL,75000.00
KZN,DR JM RADEBE FOUNDATION NPC,330281.00
KZN,"IRONGRID SPORT,ART AND CULTURE CHALLENGE",44476.00
LP,SEEPENG FANANG DIATLA PROJECT,204336.00
LP,MULENZHE DEVELOPMENT TRUST,3347250.00
LP,THE ANSWER MUSIC & ARTS TEAM,300000.00
GP,INNERCHANGE SOUTH AFRICA,244500.00
GP,CARRYOU MINISTRY HEALTH CHILDREN & YOUTH CARE,211895.00
GP,LEGAL CENTRE FOR GENDER BASED VIOLENCE ASSOCTION,196940.00
GP,CARRYOU MINISTRY ELANDSVLEI DROP IN CENTRE AND PRE SCHOOL,268500.00
GP,PRETORIA SUNGARDENS HOSPICE ASSOCIATION,498500.00
GP,AFRICAN YOUTH DEVELOPMENT FUND,207500.00
GP,KEAGILE WELLNESS DEVELOPMENT CENTRE,196200.00
GP,THE CRADDLE OF UBUNTU,156500.00
GP,IKAHENG SELF HELP ASSOCIATION OF THE BLIND,237900.00
GP,HELPING HAND HOME BASED CARE,329400.00
GP,KGOTHALANG BATHO COMMUNITY DEVELOPMENT ORGANISATION,120000.00
GP,ACFS COMMUNITY EDUCATION& FEEDING SCHEME,1295000.00
GP,MY LILLIES OF HOPE,157500.00
GP,ITEKENG BAGUDI SOCIAL CLUB,191100.00
GP,QNISO TRUST,124500.00
GP,LAMATHONSI ENTERTAINMENT COMMUNITY PROJECTS,9000000.00
KZN,AMAFA AKWAZULU NATALI,2495262.00
KZN,AFRICAN SINAKHO ARTS,773577.00
KZN,ISAMBANE ARTS PRODUCTION,1756760.00
KZN,JOMBA SPKILI INGOMA ASSOCIATION,301000.00
KZN,THE GOVERNING BODY OF THE OPEN AIR SCHOOL,1222761.40
GP,BONA LESEDI SECONDARY SCHOOL,297750.90
GP,TENNIS SOUTH AFRICA,2500000.00
GP,NORTHERNS CRICKET UNION,784000.00
GP,SOUTH AFRICAN NATIONAL PIGEON ORGANISATION,250000.00
GP,THOHOYANDOU PRIMARY SCHOOL,300023.00
GP,LESEDI -POTLANA PRIMARY SCHOOL,300000.00
GP,MATHAGA PRIMARY SCHOOL,300000.00
GP,ORLANDO GARDENS UNITED,56287.50
GP,USINDISO SENIOR PRIMARY SCHOOL,280000.00
GP,THOMAS NHLAPO PRIMARY,300000.00
GP,ALCHEMY SPORT AND RECREATION,118000.00
KZN,UMTENTWENI TENNIS CLUB,300000.00
KZN,FC SCORPIONS,185600.00
KZN,INQUBEKO PROJECTS,50000.00
KZN,PHENDUKA PRIMARY SCHOOL,299920.00
KZN,DIVAL PRIMARY SCHOOL,300000.00
KZN,KWANQOKOTHO PRIMARY SCHOOL,300000.00
KZN,LANDELANI PRIMARY SCHOOL,281450.00
KZN,MANZEZULU PRIMARY SCHOOL,300000.00
KZN,MLONYENI COMBIED SHOLLL,300000.00
KZN,SAIL AFRICA YOUTH DEVELOPMENT FOUNDATION,299250.00
KZN,PROSPECT TENNIS CLUB,250000.00
KZN,PRINCE SOYICA HIGH SCHOOL,300000.00
KZN,EKLOWENI PRIMARY SCHOOL,300000.00
KZN,MANGQWASHU PRIMARY SCHOOL,300000.00
KZN,ENKATHWENI PRIMARY SCHOOL,298353.00
KZN,QALAKAHLE PRIMARY SCHOOL,298353.65
KZN,KWAMANANDI PRIMARY SCHOOL,298353.65
KZN,GEORGE CALTEX PRIMARY SCHOOL,298353.65
KZN,INKOSENHLE PRIMARY,298353.00
KZN,NDEMA PRIAMRY SCHOOL,300000.00
KZN,EKUTHUKUZENI PRIMARY SCHOOL,298353.65
KZN,NKONYANE PRIMARY SCHOOL,298353.65
KZN,ESIYALWINI PRIMRY SCHOOL,300000.00
KZN,OVAKANENI PUBLIC PRIMARY SCHOOL,300000.00
KZN,ENZONDWANE PRIMARY SCHOOL,300000.00
KZN,MALANDA PRIMARY SCHOOL,298353.65
KZN,NTULUFAZI PRIMARY SCHOOL,298353.65
KZN,PHEPHA JUNIOR PRIMARY SCHOOL,298353.63
KZN,GEMLPSCHOOL,300000.00
KZN,EHLEZENI C.P.SCHOOL,300000.00
KZN,IGUGULAMANYONI JUNIOR PRIMARY,300000.00
KZN,OUR LADY OF INGWAVUMA PRIMARY SCHOOL,300000.00
KZN,NTABAMHLOPHE PRIMARY SCHOOL,299000.00
KZN,MGWABAGOWABA PRIMARY SCHOOL,299098.18
KZN,MAYALUKA PRIMARY SCHOOL,278998.32
KZN,MZINYENI PRIMARY SCHOOL,299999.40
LP,MAOKENG PRIMARY SCHOOL,298747.00
MP,SOMABEDLANA PRIMARY SCHOOL,300000.00
MP,MASWENG PRIMARY SCHOOL,300000.00
MP,SIZIMISELE PRIMARY SCHOOL,293300.00
MP,BUKHUSIBETHU PRIMARY SCHOOL,293300.00
MP,OLERATO,246000.00
MP,MGUBHO COMBINED SCHOOL,250000.00
MP,FAXAR YOUNG BROTHERS,49980.00
MP,MPHUMELELO PRIMARY SCHOOL,283268.46
MP,HIBEMANDLA PRIMARY SCHOOL,295985.00
MP,THE BROOK COMBINED SCHOOL,298935.00
MP,BAMBANANI PRIMARY SCHOOL,300000.00
MP,MZINTI LADIES FOOTBALL CLUB,326100.00
MP,MATSAFENI PRIMARY SCHOOL,283035.00
MP,LUVOLWETHU PRIMARY SCHOOL,300000.00
MP,MAWUVANA PRIMARY SCHOOL,300000.00
MP,IDLANGEMABALA SECONDARY SCHOOL,300000.00
MP,ANDRIES CHICHA FOOTBALL PROGRAM,168000.00
GP,TYGERPOORT PRIMARY SCHOOL,75000.00
GP,STONERIDGE PRIMARY SCHOOL,75000.00
GP,EDENGLEN PRIMARY SCHOOL,75000.00
GP,ELANDSPARK SCHOOL,75000.00
GP,TE RADEBE THEATRE FOUNDATION,567418.00
GP,EAST RAND YOUTH ORCHESTRA,380000.00
GP,INDIGENOUS KNOWLEDGE SYSTEMS OF SOUTH AFRICA,1208000.00
GP,GAUTENG DANCE MANYANO,768000.00
WC,BIOWISE SOLUTIONS NPC,762000.00
WC,SOUTH AFRICAN YOUTH COUNCIL WESTERN CAPE,396500.00
GP,KHWELA THEATRE PRODUCTION,923429.00
MP,PHINDAMZALA ARTS COMPANY,2497394.00
KZN,SIYANIKEZELA COMMUNITY DEVELOPMENT PROJECT,59000.00
KZN,MHLENGE SOCIETY FOR THE AGED,127950.00
KZN,DYNAMIC YOUTH DEVELOPMENT SERVICES,117325.00
KZN,THOKOZA DROP IN CENTRE,61000.00
KZN,WOZA ZONKE ORGANISATION,46000.00
KZN,CHANGING LIFE ORGANISATION,52000.00
LP,CENTRE FOR FARMWORKERS AND RURAL DEVELOPMENT,60000.00
LP,PFNANI HOME BASED CARE AND AWARENESS,95000.00
LP,LEBOHANG AGED CLUB,92500.00
LP,VILLA NORA VICTIM EMPOWERMENT CENTRE,79000.00
GP,ITEMOGELE PRIMARY SCHOOL,75000.00
GP,PARKDENE PRIMARY SCHOOL,75000.00
GP,VISUAL ARTS NETWORK OF SOUTH AFRICA (VANSA),468000.00
MP,MZAMO HOME BASED CARE,34500.00
MP,CHILD WELFARE EMALAHLENI,401030.00
MP,GUGULETHU ST BENEDICTS HOME FOR THE AGED,352000.00
MP,SIYAZIBAMBELA HOME BASED CARE,122000.00
MP,SERVICE OF LOVE,28000.00
GP,NATIONAL EISTEDDFOD ACADEMY,775200.00
NC,OASIS SKILLS DEVELOPMENT CENTRE,1302145.00
WC,CHILD WELFARE SOUTH AFRICA : HELDERBERG,319300.00
WC,USAPHO FOUNDATION,112000.00
WC,IRIS HOUSE CHILDERENS HOSPICE,341950.00
WC,DEAFNET CENTRE OF KNOWLEDGE,160000.00
WC,NEWTON DIENSSENTRUM,70600.00
WC,THE NOVALIS UBUNTU INSTITUTE,140000.00
WC,UITSIG CARE MISSION,191000.00
WC,EDMUD RICE CAMPS,191705.00
GP,CENTRAL GAUTENG ATHLETICS,2500000.00
FS,AMBASSADORS OF CHANGE A.O.C.,39200.00
FS,KAGISANONG PARTNERS IN POVERTY,49000.00
FS,VRYSTAAT VERSORGING IN AKSIE FRANKFORT,350087.00
FS,MAKING A LIVING,207400.00
MP,EDINBURG CRECHE,142500.00
MP,KHULANI EDUCARE CENTRE,189344.00
MP,MASOYI HOME BASED CARE,250500.00
MP,WENAKKER,427431.00
MP,RIPFUMELO CRECHE,108500.00
MP,MAHANDZENI CRECHE,144500.00
MP,MASINGITA CRECHCE,92500.00
MP,GOOD HOPE CRECHE,299500.00
MP,NJOMBO PRE- SCHOOL,99500.00
MP,HIKATEKILE CRECHE,89000.00
MP,TSWELOPELO DAY CARE CENTRE,73297.00
KZN,WUSHINI ARTS CENTER,440000.00
KZN,AFRICAN VICO NPC,322283.00
FS,SEDIBENG PRIMARY SCHOOL,306750.00
FS,AURORA PRIMARY SCHOOL,204530.00
LP,KATEKANI PRIMARY SCHOOL,299389.00
LP,MATSIRI MOKGOKONG PRIMARY SCHOOL,299998.00
LP,KGOMO TLOU PRIMARY SCHOOL,299992.00
LP,THUSANANG SPECIAL SCHOOL,200000.00
LP,KGABO PARK PRIMARY SCHOOL,299700.00
LP,KGAMPI PRIMARY SCHOOL,300000.00
NC,UPINGTON GOLF CLUB,200000.00
NC,NORTHERN CAPE LADIES GOLF UNION,133125.00
NC,GRIQUA DIAMONDS T/A NORTHERN CAPE CRICKET,200000.00
NC,RANGERS RUGBY CLUB,201053.00
WC,YOUNG IDOLS FC 68 NPC,216593.35
WC,GUGULETHU ULIBHONGWENI SPORT DEVELOPMENT ORGANISATION,51000.00
GP,RE LEBILE KANANA COMM TRAINING AND DEVELOPMENT,472199.00
MP,MORNING GLORY CRECHE,394999.00
MP,NDLOPFANA PRE SCHOOL,125900.00
EC,AMBASSADORS FOOTBALL CLUB,144650.00
EC,ZWELEMFUNDO PUBLIC SCHOOL,300000.00
EC,NDABANKULU JUNIOR SECONDARY SCHOOL,300000.00
EC,STAR OF INDIA FOOTBALL CLUB,146000.00
EC,MTSHAZI SPS,301598.00
GP,ORANGE FARM PRIMARY SCHOOL,300000.00
GP,MENLO-ALKANT TENNIS CLUB,50000.00
GP,WEST RAND SOCCER LEGENDS,56000.00
GP,LEGALONG PRIMARY SCHOOL,300000.00
GP,RANDBURG TENNIS CLUB,198000.00
GP,BETHESDA SPECIAL SCHOOL,300000.00
GP,VALHALLA TENNIS CLUB,200650.00
GP,RUST TER VAAL PRIMARY SCHOOL,300000.00
GP,SONWABO PLAY GROUP,133215.00
EC,ZIBSIMODE NPC,5066022.75
KZN,ZIBSIMODE NPC,5066022.75
LP,ZIBSIMODE NPC,5066022.75
MP,ZIBSIMODE NPC,5066022.75
GP,ANIMALS ALLIES,120000.00
GP,COALITION OF ANGLICAN CHILDREND HOMES,486275.00
GP,IMBIZO YETHU FOUNDATION,80500.00
WC,PERSONAL DOLL TRAINING AFRICA,337000.00
WC,CAPE TOWN MULTI SERVICE CENTRE,419499.00
WC,THE HOME STEAD,476000.00
WC,KHULULEKA GRIEF& LOSS SUPPORT GROUPS FOR CHILDREN,76000.00
WC,U-TURN,353960.00
WC,JO-DOLPHIN SWARTLAND ASSOCIATION FOR PERSON WITH DISABILITIES,706000.00
WC,ROBESTON HOUSE,34500.00
WC,THE KNYSNA ALCOHOL AND DRUG CENTRE,488596.00
WC,POSTNATAL DEPRESSION SUPPORT ASSOCIATION-SOUTH AFRICA,167900.00
WC,"CHILD WELFARE SOUTH AFRICA,PAARL",420524.00
WC,PROSPERITY YOUTH CENTRE,234500.00
WC,SHAWCO- UNIVERSITY OF CAPE TOWN STUDENTS HEALTH AND HEALTH AND WELFARE CENTRE,182280.00
WC,"MUSCULAR DYSTROPHY FOUNDATION, CAPE BRANCH",279960.00
LP,TSIMANYANE PRIMARY SCHOOL,53600.00
WC,BETHESDA HOUT BAY,231856.00
WC,BREEDE RIVER HOSPICE,89508.00
KZN,PHILANGEZWI AIDS & SUPPORT PROGRAMME,303500.00
KZN,SAVEACT TRUST,22000.00
KZN,SOUTH AFRICAN FOOD SECURITY AND DEVELOPMENT,637500.00
GP,ICRD GROUP FOUNDATION TRUST,711000.00
GP,SOLID PATH FOUNDATION,307000.00
GP,NALEDI THEATRE AWARDS,326500.00
GP,MORIBO MUSIC DEVELOPMENT AND PRODUCTIONS,782800.00
GP,LIGHT OF NATION YOUTH PROJECT,200000.00
LP,KGWANA COMMUNITY CENTRE,312000.00
LP,MOLOGADI EDUCARE,178500.00
LP,UNITY DAY CARE CENTRE,116500.00
LP,THOHOYANDOU VICTIM EMPOWERMENT TRUST,206000.00
LP,KGANYA CRECHE,131304.00
LP,ITHUTENG CRECHE,132566.00
NW,RUSTENBURG CHILD & FAMILY WELFARE,476000.00
NW,REOTSHEPILE DAY CARE CENTRE,75700.00
NW,TSHWARAGANG HOME BASED CARE,122000.00
NW,GOOD SHEPHERD MISSION ST ELIZABETH,89800.00
NW,LOMANYANENG COMMUNITY AND AIDS PROJECT,226000.00
WC,RELIABLE ACTION,78000.00
EC,THEMBELITSHA REHABILITATION CENTRE,1523000.00
LP,SWARISHANANG CRECHE,244000.00
WC,QUADPARA ASSOCIATION OF THE WESTERN CAPE,401850.00
WC,ST GEORGE'S HOME FOR GIRLS,426500.00
WC,MARGARET'S HOUSE,532663.00
WC,HEALTHY START FOUNDATION,86000.00
WC,WHIZZ ICT CENTRE DEVELOPMENT ORGANISATION,76000.00
WC,FUNDANI NATHI EDUCARE CENTRE,25000.00
WC,SIVUYILE NURRUDIN EDUCARE,75500.00
WC,MASANDE EDUCARE CENTRE,42984.00
WC,NIKITHEMBA EDUCARE CENTRE,43000.00
WC,ILITHA LABANTU,509000.00
WC,A C V V ROBERTSON,585493.00
WC,EPILEPSY SA SOUTH CAPE KAROO,507620.00
WC,CHILD WELFARE SOUTH AFRICA - PLETTENBERG BAY,300000.00
WC,KHULULEKA EDU-CARE,171000.00
WC,PARADESI PLACE OF SAFETY FOR ORPHANS AND VULNERABLE CHILDREN,360000.00
WC,NINE MILES PROJECT,160000.00
WC,CHILD WELFARE SOUTH AFRICA - KRANSHOEK,108224.00
WC,INSTITUTE FOR SOCIAL CONCERNS,227850.00
WC,UMNYAMA,276400.00
WC,"KHUMBULANI HEALTH ,EDUCATION AND RESOURCE CENTRE",418722.00
WC,ESELJIESRUS DONKEY SANCTUARY,151000.00
WC,ST.KIZITO CHILDRENS PROGRAMS,175500.00
WC,DISABLED CHILDREN'S ACTION GROUP,180000.00
WC,BREDASDORP NUTRITION & DEVELOPMENT CENTRE,24400.00
WC,REDZEBRA YOUTH EMPOWERMENT FOUNDATION,101000.00
WC,HAPPINESS KIDEO EDUCARE,169283.00
WC,"SERVE, TRAN, EDUCATE, UPLIFT AND PROVISION ASSOCIATION",140000.00
WC,MASIQHUBEKE CRECHE,135177.00
WC,FLUKSE VOETJIES EDUCARE,140420.00
WC,THE WALKING WITH BRANDON FOUNDATION,100000.00
WC,OUR HOPE PRE-SCHOOL DAY CARE CENTRE,140000.00
WC,UKWANDA PRE-SCHOOL,118031.00
WC,SOUTH AFRICAN MASS ANIMAL STERILISATION TRUST,100000.00
WC,HOME OF HOPE,160000.00
WC,IKAMVA LABANTWANA BETHU (ILB),60000.00
WC,THEMBINKOSI DAY CARE CENTRE,120600.00
WC,THE COMMUNITY CHEST OF THE WESTERN CAPE,150000.00
WC,BOOK DASH,100000.00
WC,KWAKHANYA AFTERCARE CENTRE,135979.00
WC,OVERSTRAND HUMAN DEVELOPMENT CENTRE,150000.00
WC,EAGLE'S NEST LEARNING AND DEVELOPMENT INSTITUTE,104891.00
GP,GAUTENG MUSIC DEVELOPMENT T/A N SPORT,1646500.00
GP,DANCE FORUM,2823000.00
GP,THE NATIONAL SCHOOL OF THE ARTS,452000.00
EC,IBHABHATHANE COMMUNITY CENTRE,95000.00
EC,A.C.V.V ALGOA PARK/ GOVAN MBEKI PE,138500.00
EC,MADEIRA HOME HOUSING UTILITY COMPANY,300285.00
