Name,Sector,Amount,Project Number
Dance for All,"ARTS, CULTURE & NATIONAL HERITAGE",333000,21454
Dance for All,"ARTS, CULTURE & NATIONAL HERITAGE",333000,21454
De Wildt Cheetah & Wildlife Trust,"ARTS, CULTURE & NATIONAL HERITAGE",114000,11160
Deaf Community of Cape Town,"ARTS, CULTURE & NATIONAL HERITAGE",650000,21359
Deafblind South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",128100,17855
Durban Music School,"ARTS, CULTURE & NATIONAL HERITAGE",365000,18039
East London Guild Theatre Company,"ARTS, CULTURE & NATIONAL HERITAGE",217824,17322
Eastern Cape Philharmonic Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",869449,11141
Eco-Access,"ARTS, CULTURE & NATIONAL HERITAGE",177360,15625
Elgin Learning Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",62273,22691
Embocroft Training Centre,"ARTS, CULTURE & NATIONAL HERITAGE",333000,9952
Embocroft Training Centre,"ARTS, CULTURE & NATIONAL HERITAGE",334000,9952
English Language Educational Trust,"ARTS, CULTURE & NATIONAL HERITAGE",189900,21864
FAMSA Western Cape,"ARTS, CULTURE & NATIONAL HERITAGE",202975,21598
Field Band Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",1265700,21628
Flavius Mareka FET College,"ARTS, CULTURE & NATIONAL HERITAGE",67114,21390
Flower Valley Conservation Trust,"ARTS, CULTURE & NATIONAL HERITAGE",700000,21947
Msunduzi Music School,"ARTS, CULTURE & NATIONAL HERITAGE",200000,22993
Music Academy of Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",1138500,17392
Music For Life Trust,"ARTS, CULTURE & NATIONAL HERITAGE",344000,21678
Musina Municipality Arts & Culture Project,"ARTS, CULTURE & NATIONAL HERITAGE",97600,17995
Natal Museum,"ARTS, CULTURE & NATIONAL HERITAGE",109548,16619
National Arts Festival Grahamstown,"ARTS, CULTURE & NATIONAL HERITAGE",1837500,17198
National Eisteddfod Academy,"ARTS, CULTURE & NATIONAL HERITAGE",593000,16398
Neotha Arts & Culture,"ARTS, CULTURE & NATIONAL HERITAGE",378500,18508
National School of the Arts,"ARTS, CULTURE & NATIONAL HERITAGE",605000,17955
New Africa Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",256027,16622
NICRO,"ARTS, CULTURE & NATIONAL HERITAGE",150600,22455
Open Africa Initiative,"ARTS, CULTURE & NATIONAL HERITAGE",228250,18325
Opera Africa,"ARTS, CULTURE & NATIONAL HERITAGE",1500000,21646
Opera Africa,"ARTS, CULTURE & NATIONAL HERITAGE",1500000,21646
Opera Africa,"ARTS, CULTURE & NATIONAL HERITAGE",1500000,21646
Outward Bound Trust SA,"ARTS, CULTURE & NATIONAL HERITAGE",138750,17948
Peace of Music,"ARTS, CULTURE & NATIONAL HERITAGE",745920,16390
Phezukomkhono Social Service Institute,"ARTS, CULTURE & NATIONAL HERITAGE",250000,18426
Pretoria Community Ministries,"ARTS, CULTURE & NATIONAL HERITAGE",145575,23448
Restoration of Human Abilities Association,"ARTS, CULTURE & NATIONAL HERITAGE",285495,21656
Roodepoort City Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",1140000,21652
SA Association for Marine Biological Research,"ARTS, CULTURE & NATIONAL HERITAGE",253500,19170
SA National Parks (SANPARKS),"ARTS, CULTURE & NATIONAL HERITAGE",525000,9984
SA National Youth Orchestra Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",287786,16397
SA Scriptwriters Association,"ARTS, CULTURE & NATIONAL HERITAGE",800000,21632
SANCA Durban Alcohol & Drug Centres,"ARTS, CULTURE & NATIONAL HERITAGE",156000,23423
Sign Language Education Development,"ARTS, CULTURE & NATIONAL HERITAGE",900000,23126
Sithuthuka Sisonke Drama Players,"ARTS, CULTURE & NATIONAL HERITAGE",119700,21388
Siyavuka Lateral Improvement Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",200000,20636
Sol Plaatje Educational Trust,"ARTS, CULTURE & NATIONAL HERITAGE",396550,22914
South African Ballet Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",1000000,21462
South African Ballet Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",1000000,21462
South African Blind Musicians Association,"ARTS, CULTURE & NATIONAL HERITAGE",100000,15958
South African Democracy Education Trust,"ARTS, CULTURE & NATIONAL HERITAGE",750000,11537
South End Museum Trust,"ARTS, CULTURE & NATIONAL HERITAGE",125600,14015
Southern Africa Theatre Initiative,"ARTS, CULTURE & NATIONAL HERITAGE",994100,22685
Southern Cape Land Committee Trust,"ARTS, CULTURE & NATIONAL HERITAGE",158140,17994
Strandloper Ecotourism Board,"ARTS, CULTURE & NATIONAL HERITAGE",200000,16898
Suidoosterfees,"ARTS, CULTURE & NATIONAL HERITAGE",420950,21492
Tirisano Khulanathi Music,"ARTS, CULTURE & NATIONAL HERITAGE",370000,10180
TRALSO,"ARTS, CULTURE & NATIONAL HERITAGE",250642,15949
Tribhangi Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",141200,14835
Tsepo Skills Project,"ARTS, CULTURE & NATIONAL HERITAGE",51666,19213
Tshwane Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",275198,21543
Umzinyathi Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",1656000,16018
University of Cape Town,"ARTS, CULTURE & NATIONAL HERITAGE",41580,14754
University of Cape Town,"ARTS, CULTURE & NATIONAL HERITAGE",163000,18594
University of Cape Town,"ARTS, CULTURE & NATIONAL HERITAGE",45738,14754
"University of Pretoria (Institute for Sport
Research)","ARTS, CULTURE & NATIONAL HERITAGE",1229600,25899
Valley Trust,"ARTS, CULTURE & NATIONAL HERITAGE",420396,21683
Vhembe District Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",700000,18513
Visual Arts & Crafts Academy,"ARTS, CULTURE & NATIONAL HERITAGE",882328,21680
Vukani Ubuntu,"ARTS, CULTURE & NATIONAL HERITAGE",50150,12802
Wildlife & Environmental Society of SA,"ARTS, CULTURE & NATIONAL HERITAGE",1154844,21754
Witbank Civic Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",300000,21439
Wits University Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",2180770,17495
Workers World Radio Productions,"ARTS, CULTURE & NATIONAL HERITAGE",305250,21471
"Zakhele Training Trust (Port Shepstone
Training Trust)","ARTS, CULTURE & NATIONAL HERITAGE",478995,21634
Zanendaba Storytellers,"ARTS, CULTURE & NATIONAL HERITAGE",500000,16937
"Abraham Kriel Maria Kloppers
Children’s Home",CHARITIES,2920480,26116
ACVV Algoapark,CHARITIES,637500,22171
ACVV Dysseldorp,CHARITIES,657446,22468
ACVV Hanover,CHARITIES,347243,22266
ACVV Kimberley,CHARITIES,832752,22184
ACVV Loeriesfontein,CHARITIES,200000,20836
ACVV Mitchells Plain,CHARITIES,780900,22280
ACVV Montagu,CHARITIES,165550,20943
ACVV Newton Park,CHARITIES,1025340,23516
"ACVV Oranjehof Dienssentrum
(Upington)",CHARITIES,60000,22305
ACVV Riebeeck Kasteel,CHARITIES,300000,21156
ACVV Somerset East,CHARITIES,600000,20793
ACVV Somerset East,CHARITIES,400000,22232
ACVV Springbok,CHARITIES,404000,22019
ACVV Strand,CHARITIES,1510212,22237
AFM Executive Welfare Council,CHARITIES,788250,21040
"African Self Help Association (ASHA
T&D)",CHARITIES,1738534,22554
Age in Action (National Office),CHARITIES,2996537,22008
Age in Action (National Office),CHARITIES,2996537,22008
Age in Action (Northern Cape),CHARITIES,66000,13658
Age In Action Limpopo,CHARITIES,5227738,11838
"Agisanang Domestic Abuse
Prevention & Training",CHARITIES,1000000,20144
Alex Outreach Centre,CHARITIES,590212,22150
Algoa Bay Council for the Aged,CHARITIES,840000,21523
Alliance Against HIV/Aids,CHARITIES,268800,22787
Allison Homes Trust,CHARITIES,824120,20938
Alma School,CHARITIES,419184,22261
"Alzheimer’s & Related Dementia
Association",CHARITIES,1092750,20650
Amanzimtoti Child & Family Welfare,CHARITIES,105780,25096
Amatola Haven Old Age Home,CHARITIES,435000,22438
"Animal Anti Cruelty League
Ladysmith",CHARITIES,200000,23746
"Animal Anti Cruelty League Port
Elizabeth",CHARITIES,100000,9681
Arthritis Foundation  SA,CHARITIES,1061000,21603
Aryan Benevolent Home Council,CHARITIES,1043766,23269
Aryan Benevolent Society,CHARITIES,369624,22304
"Assoc for Educational Transformation
(ASSET)",CHARITIES,200000,21515
"Assoc for the Physically Challenged
Newcastle",CHARITIES,680000,23745
"Assoc for the Physically Disabled Port
Elizabeth Region",CHARITIES,300000,22175
"Assoc Physically Challenged - PMB
& Midlands",CHARITIES,200000,21712
Association for Persons with Physical Disabilities NC,CHARITIES,272500,17775
Association for the Physically Challenged - KZN,CHARITIES,187000,23675
Association for the Sensory Disabled,CHARITIES,262202,21223
Aurora Special Care Centre,CHARITIES,245000,23302
Avalon Association,CHARITIES,326228,21552
Avalon Association,CHARITIES,326228,21552
Avril Elizabeth Home,CHARITIES,1139259,23659
BADISA,CHARITIES,12994657,23550
Baleseng Day Care Centre,CHARITIES,66190,22300
BAMBI Bewaarskool (ACVV Bambi),CHARITIES,265000,22274
Basadi Ba Khotso,CHARITIES,100000,5429
Beaufort West Assoc Physically Disabled,CHARITIES,248500,22363
Beautiful Gate Ministries,CHARITIES,147500,18134
Bel Porto School,CHARITIES,300000,22328
Bella Maria Haven (for Abused Women & Children),CHARITIES,94233,21209
Berea Gardens Retirement Foundation,CHARITIES,1223608,20322
Berg en Dal Pregnancy Crisis Centre,CHARITIES,170498,21102
Bergzicht Training Centre,CHARITIES,88400,22229
Bethesda Houtbay,CHARITIES,131000,20855
Bosele Handcraft Centre,CHARITIES,100000,21085
Bosele Home Based Care,CHARITIES,25000,20808
Bram Care Centre,CHARITIES,220000,22235
Bram Home Based Care Project,CHARITIES,195370,22560
Browns School,CHARITIES,857299,23677
Build a Better Society,CHARITIES,300000,22724
Camphill Farm Community Hermanus,CHARITIES,487271,21155
Cancer Association of South Africa,CHARITIES,8821827,21601
Cancer Association of South Africa,CHARITIES,12246583,17629
Cape Education Trust,CHARITIES,216000,20833
Cape Education Trust,CHARITIES,1500000,20833
Cape Kidney Association,CHARITIES,307595,20643
Cape Peninsula Organisation for the Aged,CHARITIES,4176371,13467
Carel du Toit Trust Fund (for Deaf Children),CHARITIES,250000,21061
Carryou Ministry,CHARITIES,175000,21586
Carryou Ministry,CHARITIES,175000,21586
Cart Horse Protection Association,CHARITIES,25000,21056
Catholic Health Care Association,CHARITIES,2173540,23712
Catholic Institute of Education,CHARITIES,2151200,23711
Catholic Welfare & Development,CHARITIES,1835017,22383
Central Gauteng Mental Health Soc,CHARITIES,920000,22384
Centre for Conflict Resolution – Schools,CHARITIES,200000,17851
CFW Great Brak River,CHARITIES,300000,22015
Chaeli Campaign,CHARITIES,450000,24206
Chatsworth Child & Family Welfare Society,CHARITIES,1159050,23682
Chatsworth Child & Family Welfare Society,CHARITIES,371600,22740
Cheshire Home Merewent,CHARITIES,90300,23487
Cheshire Homes South Africa,CHARITIES,197000,23490
Chief J M Dlamini Home,CHARITIES,521550,23519
Child & Family Welfare Society of Pietermaritzburg,CHARITIES,839600,22390
Child & Family Welfare Society of Pietermaritzburg,CHARITIES,751150,25016
Child & Family Welfare Society Sandveld,CHARITIES,139500,17016
Child & Family Welfare Society Vanderbijlpark,CHARITIES,150000,21715
Child Line North West,CHARITIES,150000,21342
Child Welfare Napier,CHARITIES,121299,20586
Child Welfare South Africa  Bedford,CHARITIES,182750,21912
Childline SA - Durban North,CHARITIES,754880,22240
Christian Social Council Benoni,CHARITIES,750000,20501
Christian Social Council Ermelo,CHARITIES,240700,24325
Christian Social Council Moot,CHARITIES,200000,21255
Christian Social Services Kempton Park,CHARITIES,220000,21592
Christian Welfare Board Gauteng East,CHARITIES,125208,20828
Community Life Centre of South Africa,CHARITIES,81200,22415
Community Life Centre of South Africa,CHARITIES,227000,23700
Cotlands,CHARITIES,920431,20276
Cresset House,CHARITIES,584628,23034
Custoda Trust,CHARITIES,500000,22399
Daveyton Society for the Aged,CHARITIES,926742,22836
De Kleine Bewaarskool,CHARITIES,50000,15849
Deutsches Altersheim,CHARITIES,250000,20910
Diakonia Council of Churches,CHARITIES,565000,22831
Dimbaza Society for the Aged,CHARITIES,486475,22174
Disabled People of South Africa,CHARITIES,500000,11685
Down Syndrome Assoc  (WC),CHARITIES,283000,20900
Down Syndrome Gauteng,CHARITIES,289380,22066
Dundee Adult Centre,CHARITIES,223000,23693
Durban & Coastal Mental Health,CHARITIES,1257240,22180
Durban Association for the Aged,CHARITIES,571233,21064
Durban Children’s Home,CHARITIES,900000,23731
Durban Children’s Society,CHARITIES,840500,20499
East London Child & Family Welfare Society,CHARITIES,750000,21093
Eastern Province Child & Youth Care Centre,CHARITIES,925944,22158
Ekupholeni Mental Health & Trauma Centre,CHARITIES,250000,21060
Elsburg Service Centre (Meals on Wheels),CHARITIES,300000,20697
Elsies River Community Advice Office,CHARITIES,44411,22403
Eluxolweni Charitable Trust,CHARITIES,520000,20790
Emmaus Protective Workcentre,CHARITIES,754843,22437
Empangeni Child & Family Welfare,CHARITIES,300000,23335
Employment Solutions (for People with Phys. Disabilities),CHARITIES,652852,23515
Epworth Children’s Home,CHARITIES,1509288,22326
ESDA Frail Care & Community Centre,CHARITIES,62025,22308
Estcourt Homes for Aged,CHARITIES,150000,22135
Estcourt Hospice Association,CHARITIES,50000,21756
Etafeni Day Care Centre Trust,CHARITIES,217000,22082
Ethelbert Children’s Home,CHARITIES,1215200,21199
Ezamokuhle Adult Education Centre,CHARITIES,446575,21271
Family & Comm. Service,CHARITIES,300000,22259
FAMSA Bloemfontein,CHARITIES,500000,21131
FAMSA Boland Overberg,CHARITIES,289533,21147
FAMSA Durban,CHARITIES,1000000,21555
FAMSA East London,CHARITIES,300000,23277
FAMSA East Rand,CHARITIES,647800,22371
FAMSA Pietermaritzburg,CHARITIES,50000,16217
FAMSA Pietermaritzburg,CHARITIES,88975,10405
FAMSA Upington,CHARITIES,3000000,20797
FAMSA Western Cape,CHARITIES,1622649,17084
Far North Alcohol & Drug Centre,CHARITIES,1909474,23518
Far North Health Care Centre,CHARITIES,600000,20888
Faranani Trust,CHARITIES,200000,21396
Floc Pre School,CHARITIES,100000,22564
Flower Foundation Homes for the Aged,CHARITIES,1039676,20389
Free State Care in Action,CHARITIES,786004,21789
Friends of the Children’s Hospital,CHARITIES,500800,22321
Fulton School (Deaf),CHARITIES,626442,25073
GADRA Advice & Community Work,CHARITIES,500000,22113
Gauteng Kidney Association,CHARITIES,100000,21112
George Association for Physically Disabled,CHARITIES,600000,21557
Gert Greeff Tehuis,CHARITIES,160256,17292
Girls & Boys Town South Africa - Head office,CHARITIES,743844,20197
Golang Kulani Early Learning Centre,CHARITIES,600000,17976
Golden Gateway Hospice,CHARITIES,100000,12215
Goldfields Hospice Association,CHARITIES,524936,22001
Grabouw & District Child & Family Welfare Soc,CHARITIES,769957,23523
Grahamstown TB Care Society,CHARITIES,242945,21452
Greater Molweni Community Resource Centre,CHARITIES,566020,25071
Greater Soweto Assoc for Early Childhood Development,CHARITIES,1050000,22776
Hawston Health & Welfare Organisation,CHARITIES,280000,21337
Headway Natal,CHARITIES,594400,22205
Heifer Project,CHARITIES,514316,22581
Helen Bishop Orthopaedic After Care Home,CHARITIES,540000,22570
Helping Hand Hospice,CHARITIES,565000,22173
Herfsland Home for the Aged,CHARITIES,117500,15581
Highway Aged,CHARITIES,288000,22377
Himmelberg HIV/Aids Youth Project,CHARITIES,98500,23742
HIPPY Gauteng,CHARITIES,150000,22297
Hitekani Community Garden,CHARITIES,202318,15288
Hlatlolanang Health & Nutrition Education Centre,CHARITIES,100000,22204
Hlatlolanang Health & Nutrition Education Centre,CHARITIES,100000,22204
Hospice Matlosana (prev. Hospice North West),CHARITIES,1284813,21415
Hospice of  White River,CHARITIES,515002,24305
House of Resurrection Haven,CHARITIES,782645,22071
Howick Hospice Association,CHARITIES,636466,25186
Huis Immergroen Piet Retief,CHARITIES,365904,21344
Huis John Vorster,CHARITIES,315316,22222
Hurdy Gurdy House,CHARITIES,180000,22483
Ikageng Old Age Relief Centre,CHARITIES,1542757,23505
Ikamva Labantu Trust,CHARITIES,1500000,22330
Ikwezi Lokusa Rehabilitation,CHARITIES,510050,20740
Ikwezi Womens Support Centre,CHARITIES,50000,21403
Includid Maitland,CHARITIES,175000,21121
Inkanyezi Child & Family Welfare Society,CHARITIES,156100,21774
Iphateleng Social Development Service,CHARITIES,245500,20404
Isifungo Pre Primary School,CHARITIES,250000,22422
Issy Geshen Lamont Home,CHARITIES,410319,25044
Jakkerland Speelkring,CHARITIES,415000,15156
Jeffreysrus Aftree Oord,CHARITIES,310606,22580
Jeffreysrus Aftree Oord,CHARITIES,310606,22580
Jet Education Services,CHARITIES,301100,20411
JHB Child Welfare Soc,CHARITIES,1000000,20135
JHB Parent & Child Counselling Centres,CHARITIES,279600,21809
Johannesburg Association for the Aged (JAFTA),CHARITIES,797252,20690
Justice & Women,CHARITIES,106563,21348
Kagiso Child & Family Welfare,CHARITIES,80000,11183
Katlehong Early Learning Resource Unit,CHARITIES,787750,20423
Katlehong Society for the Care of the Aged,CHARITIES,250000,923
Kenton Bushmans Child & Family Welfare Soc,CHARITIES,390000,22244
Khanya Family Centre,CHARITIES,857054,20414
Khanyisa Community Educare Development Centre -  Jongisizwe,CHARITIES,500000,16825
Khanyisa School for Supportive Education,CHARITIES,100000,22387
Kingdom Life Children’s Centre,CHARITIES,187000,22565
Klawer Advice & Development Centre,CHARITIES,224250,22281
Kleinmond Child & Family Welfare Society,CHARITIES,214759,21915
Knysna Aids Council,CHARITIES,801021,21814
Knysna Child & Family Welfare Society,CHARITIES,879295,22790
Koinonia Welfare & Development Programme,CHARITIES,93636,21777
Koinonia Welfare & Development Programme,CHARITIES,93637,21777
Kruisfontein/Humansdorp Child & Family Welfare,CHARITIES,744850,22784
Kubonakele Advice Centre,CHARITIES,100000,18067
KwaMakhutha Community Resource Centre,CHARITIES,100000,21842
KZN Christian Social Services  PMB,CHARITIES,1500602,22194
KZN Christian Social Services  PMB,CHARITIES,399948,22254
KZN Christian Social Services  PMB,CHARITIES,293847,20916
KZN Deaf Association,CHARITIES,500000,23692
Langa Cheshire Home,CHARITIES,590000,20805
Lat Wiel Self Help Centre,CHARITIES,160000,20521
League of Friends of the Blind,CHARITIES,500000,21493
Lenasia Cancer Society,CHARITIES,25000,21818
Letaba After Care Centre,CHARITIES,345000,22490
Letaba After Care Centre,CHARITIES,150000,22490
Life Community Services,CHARITIES,100000,22743
Life Line Pretoria,CHARITIES,250000,21785
Life Line West Rand,CHARITIES,345125,21052
Lifeline Johannesburg,CHARITIES,1168448,22366
Lifeline Southern Africa,CHARITIES,946200,20589
Lifeline Western Cape,CHARITIES,804377,22214
Lindokuhle Child & Family Welfare Society,CHARITIES,127222,21323
Lingelihle Old Age Home,CHARITIES,400000,20881
Little Eden Society for Care of Persons with Mental Handicap,CHARITIES,1000000,20466
Little Elephant Training Centre for Early Education,CHARITIES,269322,20841
LLLBC - Lechabile Lehae La Bana créche,CHARITIES,868938,22136
LLLBC - Relebohile Crèche,CHARITIES,200000,22142
LLLBC - Relebohile Crèche,CHARITIES,200000,22143
Loskopvallei Rusoord,CHARITIES,206447,21602
Louis Hildebrandt Children’s Home,CHARITIES,662065,24319
Lowveld Association for People with Disabilities,CHARITIES,400000,20883
Lydenburg Rusoord Spesiale Projekte Rekening,CHARITIES,338400,21625
MaAfrika Tikkun Association,CHARITIES,3000000,22226
MaAfrika Tikkun Association,CHARITIES,3000000,22226
MaAfrika Tikkun Association,CHARITIES,4559813,24418
Madeira Home Housing Utility Company,CHARITIES,470995,23249
Malethlogonolo Stimulation Centre,CHARITIES,52830,22735
Malibongwe Women & Development,CHARITIES,1280458,21101
Malvern Children’s Home,CHARITIES,506314,22125
Maokeng Association for People Living with Aids,CHARITIES,137460,20442
Maokeng Child & Family Welfare Society,CHARITIES,247122,20257
Margarets House,CHARITIES,88000,20433
Margate & District Child & Family Care Centre,CHARITIES,415774,21366
Margate & District Child & Family Care Centre,CHARITIES,840924,25050
Marian Home for the Aged,CHARITIES,105510,23761
Marion Institute,CHARITIES,250000,22380
