Project,Name,Sector,Amount
35096,C-Kruis Trust,"Arts, Culture and National Heritage",1710206
21875,Cluny Farm Centre,"Arts, Culture and National Heritage",173469
28511,College of Magic,"Arts, Culture and National Heritage",366486
35130,Community & Prison Organisation,"Arts, Culture and National Heritage",158040
16911,CP Nel Museum,"Arts, Culture and National Heritage",616000
27779,Cultural Development Trust,"Arts, Culture and National Heritage",500000
35189,Dance for All,"Arts, Culture and National Heritage",1096377
38169,Deaf Community of Cape Town,"Arts, Culture and National Heritage",2147648
21736,Delta Environmental Centre,"Arts, Culture and National Heritage",406120
17849,Disabled People of South Africa,"Arts, Culture and National Heritage",250260
13348,District Six Museum Foundation,"Arts, Culture and National Heritage",3207001
34785,Dramatists Against Crime,"Arts, Culture and National Heritage",629850
38200,Duduza Serenade Youth Development,"Arts, Culture and National Heritage",451336
35011,Durban & Coastal Mental Health,"Arts, Culture and National Heritage",90000
38213,Durban African Art Centre,"Arts, Culture and National Heritage",360000
35307,Durban Music School,"Arts, Culture and National Heritage",627960
17493,East London Guild Theatre Company,"Arts, Culture and National Heritage",563653
38314,East London Museum Trust,"Arts, Culture and National Heritage",514492
16598,East Rand Youth Orchestra,"Arts, Culture and National Heritage",244846
21642,Eastern Cape Philharmonic Society,"Arts, Culture and National Heritage",881017
38446,Education Alive,"Arts, Culture and National Heritage",4940070
30012,Educo Trust of Africa,"Arts, Culture and National Heritage",267125
22691,Elgin Learning Foundation,"Arts, Culture and National Heritage",41514
34727,Emonti Arts Company,"Arts, Culture and National Heritage",1620000
21574,Endangered Wildlife Trust,"Arts, Culture and National Heritage",1671740
21864,English Language Educational Trust,"Arts, Culture and National Heritage",739800
37682,English Language Educational Trust,"Arts, Culture and National Heritage",431132
27510,Enlighten Education Trust,"Arts, Culture and National Heritage",308052
21717,Eskia Institute,"Arts, Culture and National Heritage",3968047
29976,Fair Trade in Tourism SA,"Arts, Culture and National Heritage",290398
27654,Field Band Foundation,"Arts, Culture and National Heritage",1999075
21658,Footprints Educational Trust,"Arts, Culture and National Heritage",88400
34828,Fordsburg Artists Studios,"Arts, Culture and National Heritage",720305
35513,Four Paws-Animal Welfare Foundation,"Arts, Culture and National Heritage",392000
34510,Free State Rural Development Association,"Arts, Culture and National Heritage",201500
27501,Free State Symphony Orchestra,"Arts, Culture and National Heritage",1311000
21698,Freedom Park Trust,"Arts, Culture and National Heritage",6409437
21682,Friends of Music,"Arts, Culture and National Heritage",430120
30014,From the Hip Khulumakahle,"Arts, Culture and National Heritage",300000
34505,Fuba School of Dramatic & Visual Arts,"Arts, Culture and National Heritage",6279750
21940,Gariep Arts Festival,"Arts, Culture and National Heritage",500000
21940,Gariep Arts Festival,"Arts, Culture and National Heritage",500000
38242,Gauteng Dance Manyano,"Arts, Culture and National Heritage",2271060
27657,Gauteng Organisation Community Art Centres,"Arts, Culture and National Heritage",851200
21913,Girl Guides Association of SA,"Arts, Culture and National Heritage",437000
21579,Grahamstown Foundation,"Arts, Culture and National Heritage",2000000
22566,Granary Project,"Arts, Culture and National Heritage",341200
11164,Greater Taung Municipality,"Arts, Culture and National Heritage",722000
21845,"Green Network - Greater Edendale Environmental
Network","Arts, Culture and National Heritage",532933
37776,"Green Network - Greater Edendale Environmental
Network","Arts, Culture and National Heritage",1111292
35147,Gujerati Hindu Sanskruti Kendra,"Arts, Culture and National Heritage",156000
35147,Gujerati Hindu Sanskruti Kendra,"Arts, Culture and National Heritage",39000
21713,Haenertsburg Development Foundation,"Arts, Culture and National Heritage",1131641
21713,Haenertsburg Development Foundation,"Arts, Culture and National Heritage",1131647
28521,Harlequin Foundation,"Arts, Culture and National Heritage",1503736
28521,Harlequin Foundation,"Arts, Culture and National Heritage",1002490
34651,Human Rights Media Centre,"Arts, Culture and National Heritage",239800
29920,Human Rights Media Trust,"Arts, Culture and National Heritage",510000
15945,IFA Craft Group,"Arts, Culture and National Heritage",141400
28060,Ifa Lethu Foundation,"Arts, Culture and National Heritage",3073468
37616,Imfundiso Skills Development,"Arts, Culture and National Heritage",2000000
34519,Imisebeyelanga Services,"Arts, Culture and National Heritage",133200
29947,Indigenous Knowledge Systems of SA Trust,"Arts, Culture and National Heritage",3211086
38194,Inkolo Kantu Traditional Organisation,"Arts, Culture and National Heritage",482333
16907,Institute for Blind - Pioneer Printers,"Arts, Culture and National Heritage",270000
37691,Institute for Blind - Pioneer Printers,"Arts, Culture and National Heritage",554015
16358,Institute for the Blind - Pioneer School,"Arts, Culture and National Heritage",3864700
38146,Institute for the Blind Industries,"Arts, Culture and National Heritage",727481
23467,Institute for Training & Education for Capacity Building,"Arts, Culture and National Heritage",137810
34892,International Classical Music Festival of SA,"Arts, Culture and National Heritage",3265286
29922,Irene Homes,"Arts, Culture and National Heritage",307041
35032,Ithunga Development,"Arts, Culture and National Heritage",3116990
27950,Ithuteng Dipuo Foundation,"Arts, Culture and National Heritage",1598871
1964,Iziko Museums of Cape Town,"Arts, Culture and National Heritage",334000
10003,Iziko Museums of Cape Town,"Arts, Culture and National Heritage",744800
9945,Iziko Museums of Cape Town,"Arts, Culture and National Heritage",135500
9997,Iziko Museums of Cape Town,"Arts, Culture and National Heritage",425000
21626,Jazz Foundation of South Africa,"Arts, Culture and National Heritage",2700000
27665,Jazzart Dance Theatre,"Arts, Culture and National Heritage",2000000
21292,Jazzart Dance Theatre,"Arts, Culture and National Heritage",1000000
27665,Jazzart Dance Theatre,"Arts, Culture and National Heritage",1311382
27665,Jazzart Dance Theatre,"Arts, Culture and National Heritage",1311382
29940,Jikeleza Dance Project,"Arts, Culture and National Heritage",466000
21773,Johannesburg Children’s Home,"Arts, Culture and National Heritage",344791
33958,Johannesburg Philharmonic Orchestra,"Arts, Culture and National Heritage",6488072
33958,Johannesburg Philharmonic Orchestra,"Arts, Culture and National Heritage",4325383
35425,Johannesburg Symphony Orchestra,"Arts, Culture and National Heritage",462761
21472,Johannesburg Youth Orchestra,"Arts, Culture and National Heritage",1787432
21472,Johannesburg Youth Orchestra,"Arts, Culture and National Heritage",573136
17962,Johannesburg Youth Theatre,"Arts, Culture and National Heritage",1526575
27500,Jungle Theatre Company,"Arts, Culture and National Heritage",193700
18577,Khanya College Johannesburg,"Arts, Culture and National Heritage",62500
17473,Khanya Community Theatre,"Arts, Culture and National Heritage",305366
17473,Khanya Community Theatre,"Arts, Culture and National Heritage",663635
28305,Khulumani Support Group,"Arts, Culture and National Heritage",1045710
30002,Khumbulani Craft,"Arts, Culture and National Heritage",447705
34792,Khwela Theatre Production,"Arts, Culture and National Heritage",312270
34792,Khwela Theatre Production,"Arts, Culture and National Heritage",133830
11143,King Sandile Development Trust,"Arts, Culture and National Heritage",2550000
21711,Kubonakele Advice Centre,"Arts, Culture and National Heritage",256800
38156,Kungwini Welfare Organisation,"Arts, Culture and National Heritage",957077
38204,Kwesukela Storytelling Academy,"Arts, Culture and National Heritage",12916327
15952,KZN Crane Foundation,"Arts, Culture and National Heritage",77280
28335,KZN Dance Link,"Arts, Culture and National Heritage",266702
2953,KZN Philharmonic Orchestra,"Arts, Culture and National Heritage",1133000
29915,La Rosa Spanish Dance Theatre,"Arts, Culture and National Heritage",1535576
14889,Ladysmith Siege Museum Trust,"Arts, Culture and National Heritage",150000
30020,Landmark Foundation Trust,"Arts, Culture and National Heritage",847500
22428,Library & Information Association,"Arts, Culture and National Heritage",384660
17894,Liliesleaf Trust,"Arts, Culture and National Heritage",721095
34718,Limpopo Provincial Heritage Authority,"Arts, Culture and National Heritage",1024800
21907,Lwandle Migrant Labour Museum,"Arts, Culture and National Heritage",523000
28308,Magnet Theatre Educational Trust,"Arts, Culture and National Heritage",893036
28308,Magnet Theatre Educational Trust,"Arts, Culture and National Heritage",595356
28308,Magnet Theatre Educational Trust,"Arts, Culture and National Heritage",844892
35428,Magnificat  Performing Artists,"Arts, Culture and National Heritage",2234403
17885,Mamelodi Theatre Organisation,"Arts, Culture and National Heritage",238500
19237,Mamelodi Theatre Organisation,"Arts, Culture and National Heritage",309532
34868,Manguang Drama & Dance Group,"Arts, Culture and National Heritage",229660
37907,Marimba Education Foundation,"Arts, Culture and National Heritage",2106100
21667,Market Theatre Foundation,"Arts, Culture and National Heritage",2000000
21667,Market Theatre Foundation,"Arts, Culture and National Heritage",2000000
21667,Market Theatre Foundation,"Arts, Culture and National Heritage",2000000
21667,Market Theatre Foundation,"Arts, Culture and National Heritage",2000000
21644,Mdubane Arts Company,"Arts, Culture and National Heritage",500000
21644,Mdubane Arts Company,"Arts, Culture and National Heritage",500000
34536,Mogalakwena Municipality,"Arts, Culture and National Heritage",5663675
27647,Most United Knowledgeable Artists (MUKA Project),"Arts, Culture and National Heritage",263520
29928,Mothertongue Project,"Arts, Culture and National Heritage",539738
30001,Moving Into Dance Mophatong,"Arts, Culture and National Heritage",531200
30001,Moving Into Dance Mophatong,"Arts, Culture and National Heritage",1268280
30001,Moving Into Dance Mophatong,"Arts, Culture and National Heritage",845520
38138,Music Academy of Gauteng,"Arts, Culture and National Heritage",1953900
35010,Mveledzo Community Organisation,"Arts, Culture and National Heritage",8068625
21953,My Acre of Africa Trust,"Arts, Culture and National Heritage",2000000
21953,My Acre of Africa Trust,"Arts, Culture and National Heritage",2000000
38241,Mzansi Arts Development Ensemble,"Arts, Culture and National Heritage",1122488
28113,Namjive,"Arts, Culture and National Heritage",652112
28113,Namjive,"Arts, Culture and National Heritage",433408
38134,Natal Museum,"Arts, Culture and National Heritage",482194
34732,Natal Society of Arts,"Arts, Culture and National Heritage",509040
17198,National Arts Festival Grahamstown,"Arts, Culture and National Heritage",1837500
17198,National Arts Festival Grahamstown,"Arts, Culture and National Heritage",1837500
37623,National Craft Association,"Arts, Culture and National Heritage",1000000
29948,National Eisteddfod Academy,"Arts, Culture and National Heritage",1147410
27512,National Heritage Council,"Arts, Culture and National Heritage",7468262
27512,National Heritage Council,"Arts, Culture and National Heritage",12190373
9935,National Museum Bloemfontein,"Arts, Culture and National Heritage",38903
21206,National School of the Arts,"Arts, Culture and National Heritage",2571000
14845,National Zoological Gardens SA,"Arts, Culture and National Heritage",171600
9985,National Zoological Gardens SA,"Arts, Culture and National Heritage",740265
34503,Ndedema Primary School,"Arts, Culture and National Heritage",564315
34503,Ndedema Primary School,"Arts, Culture and National Heritage",376208
38015,Nelson Mandela Bay Tourism,"Arts, Culture and National Heritage",3050985
37631,Newtown Improvement District,"Arts, Culture and National Heritage",1865400
34846,Ntsoana Contemporary Dance Theatre,"Arts, Culture and National Heritage",498028
22452,Oasis Association,"Arts, Culture and National Heritage",89062
34614,Oasis Faithworks,"Arts, Culture and National Heritage",891930
18036,One City Events,"Arts, Culture and National Heritage",1000000
18325,Open Africa Initiative,"Arts, Culture and National Heritage",228250
34531,Opera Africa,"Arts, Culture and National Heritage",4099432
34531,Opera Africa,"Arts, Culture and National Heritage",2732955
30017,Out in Africa Committee,"Arts, Culture and National Heritage",216552
30017,Out in Africa Committee,"Arts, Culture and National Heritage",324827
17979,Overstrand Conservation Foundation,"Arts, Culture and National Heritage",680000
35228,Palace of the Winds,"Arts, Culture and National Heritage",379264
18613,Peace Foundation Trust,"Arts, Culture and National Heritage",226000
16390,Peace of Music,"Arts, Culture and National Heritage",383860
35421,Peace Parks Foundation,"Arts, Culture and National Heritage",2137107
34534,Pecanwood Educational Trust,"Arts, Culture and National Heritage",1062600
27652,People Against Human Abuse,"Arts, Culture and National Heritage",1339536
34812,People Opposing Women Abuse,"Arts, Culture and National Heritage",451960
34990,Phoenix Zululand,"Arts, Culture and National Heritage",227000
29974,Phumani Paper,"Arts, Culture and National Heritage",741733
21765,Playhouse Company,"Arts, Culture and National Heritage",500000
29939,Project Gateway,"Arts, Culture and National Heritage",932700
38334,Reach the Children Community Project,"Arts, Culture and National Heritage",656080
21656,Restoration of Human Abilities Association,"Arts, Culture and National Heritage",190330
29798,Rhodes University (UBOM! EC Drama Co),"Arts, Culture and National Heritage",600000
29798,Rhodes University (UBOM! EC Drama Co),"Arts, Culture and National Heritage",150000
28490,Rivoni Society for the Blind,"Arts, Culture and National Heritage",269012
28490,Rivoni Society for the Blind,"Arts, Culture and National Heritage",456052
37633,Rural Development Services Network,"Arts, Culture and National Heritage",16500000
34638,Ruth Prowse School of Art,"Arts, Culture and National Heritage",297764
35134,SA College for Tourism,"Arts, Culture and National Heritage",1691731
38198,SA Education & Environment Project,"Arts, Culture and National Heritage",326060
22433,SA Institute of Maritime Archaeology,"Arts, Culture and National Heritage",506316
4415,SA Marine Rehabilitation & Education Trust,"Arts, Culture and National Heritage",2025000
4415,SA Marine Rehabilitation & Education Trust,"Arts, Culture and National Heritage",4050000
33957,SA Music Education Trust,"Arts, Culture and National Heritage",2570243
12531,SA National Biodiversity Institute,"Arts, Culture and National Heritage",325402
29970,SA Roadies Association,"Arts, Culture and National Heritage",419378
38262,SA San Institute Trust,"Arts, Culture and National Heritage",6065137
21896,SA Scout Association,"Arts, Culture and National Heritage",420100
21632,SA Scriptwriters Association,"Arts, Culture and National Heritage",800000
23423,SANCA Durban Alcohol & Drug Centres,"Arts, Culture and National Heritage",104000
35537,SANEL Free State & North West Province,"Arts, Culture and National Heritage",271563
21728,Sangeet Vidya Institute SA,"Arts, Culture and National Heritage",572166
37771,School Leavers Career Guidance & Training,"Arts, Culture and National Heritage",615840
37626,Seboka Training & Support Network,"Arts, Culture and National Heritage",4856544
21447,Sexual Harassment Education Project,"Arts, Culture and National Heritage",167750
37617,Shivava Cultural Development,"Arts, Culture and National Heritage",6849150
17956,Sibikwa Community Theatre Project,"Arts, Culture and National Heritage",126816
27507,Sibikwa Community Theatre Project,"Arts, Culture and National Heritage",626388
38137,Sibikwa Community Theatre Project,"Arts, Culture and National Heritage",971600
23126,Sign Language Education Development,"Arts, Culture and National Heritage",729791
23126,Sign Language Education Development,"Arts, Culture and National Heritage",948114
34615,Sithuthuka Sisonke Drama Players,"Arts, Culture and National Heritage",351400
21370,Siyasanga Cape Town Theatre Company,"Arts, Culture and National Heritage",1050000
14505,Soetwater Environmental Education Centre,"Arts, Culture and National Heritage",51120
22914,Sol Plaatje Educational Trust,"Arts, Culture and National Heritage",396550
21662,South African Blind & Disabled Musicians Association,"Arts, Culture and National Heritage",1000000
35233,South African Circle of Dance Academy,"Arts, Culture and National Heritage",488383
10143,South African Heritage Resources Agency,"Arts, Culture and National Heritage",4916817
16276,South African History Online,"Arts, Culture and National Heritage",839125
38008,South African History Online,"Arts, Culture and National Heritage",4711840
37462,South Durban Community Environmental Alliance,"Arts, Culture and National Heritage",400000
28547,South End Museum Trust,"Arts, Culture and National Heritage",2938826
22685,Southern Africa Theatre Initiative,"Arts, Culture and National Heritage",994100
15301,Soyikwa Institute of African Theatre,"Arts, Culture and National Heritage",125025
19236,Soyikwa Institute of African Theatre,"Arts, Culture and National Heritage",446563
28187,Speech & Drama Association of South Africa,"Arts, Culture and National Heritage",181303
15662,Spoornet State Theatre,"Arts, Culture and National Heritage",1200000
11516,Stellenbosch Municipality (Bergzicht Training),"Arts, Culture and National Heritage",594142
34826,Taung Skull Consortium,"Arts, Culture and National Heritage",300000
34826,Taung Skull Consortium,"Arts, Culture and National Heritage",27335
34499,Themba HIV/Aids Organisation,"Arts, Culture and National Heritage",3113860
27655,Thusong Youth Centre,"Arts, Culture and National Heritage",240000
38247,Together as one Community Development Organisation,"Arts, Culture and National Heritage",649200
29797,Transkei Land Service Organisation,"Arts, Culture and National Heritage",640740
12807,Transvaal Scottish Regimental Council,"Arts, Culture and National Heritage",848000
38558,Transvaal Scottish Regimental Council,"Arts, Culture and National Heritage",8734491
14833,Trevor Huddleston CR Memorial Centre,"Arts, Culture and National Heritage",302000
19213,Tsepo Skills Project,"Arts, Culture and National Heritage",51668
30000,Tshwane Dance Theatre,"Arts, Culture and National Heritage",1430125
35164,Tshwane Foundation,"Arts, Culture and National Heritage",608300
28167,Tshwane Youth Arts Festival,"Arts, Culture and National Heritage",100000
15635,UCT Baxter Theatre,"Arts, Culture and National Heritage",1780849
14543,UCT Baxter Theatre,"Arts, Culture and National Heritage",609230
35206,Umlazi Arts Development Programme,"Arts, Culture and National Heritage",499793
28302,Umsinga  Arts,"Arts, Culture and National Heritage",3387000
37888,Umtapo Centre,"Arts, Culture and National Heritage",1209600
16018,Umzinyathi Municipality,"Arts, Culture and National Heritage",828000
22926,Unima SA,"Arts, Culture and National Heritage",180000
35211,United Communities Forum,"Arts, Culture and National Heritage",6500000
18519,University of Cape Town,"Arts, Culture and National Heritage",395000
18298,University of Kwazulu Natal,"Arts, Culture and National Heritage",4786075
18298,University of Kwazulu Natal,"Arts, Culture and National Heritage",4786075
35560,University of South Africa,"Arts, Culture and National Heritage",8400000
27650,University of the Free State,"Arts, Culture and National Heritage",2475240
35316,University of the Free State,"Arts, Culture and National Heritage",969038
19287,Uthukela District Municipality,"Arts, Culture and National Heritage",300000
30004,Utlwanang Theatre,"Arts, Culture and National Heritage",1227426
21683,Valley Trust,"Arts, Culture and National Heritage",420391
34771,Vera School for Autistic Learners,"Arts, Culture and National Heritage",125807
17378,Victory Sonqoba Theatre Company,"Arts, Culture and National Heritage",2800000
38151,Visual Arts Network South Africa,"Arts, Culture and National Heritage",1564080
37908,Voortrekker Monument & Nature Reserve,"Arts, Culture and National Heritage",4759685
29992,Voortrekker Museum,"Arts, Culture and National Heritage",1810428
35109,Vukani Collection Trust,"Arts, Culture and National Heritage",434660
4041,Wildlands Conservation Trust,"Arts, Culture and National Heritage",375500
21754,Wildlife & Environmental Society of SA,"Arts, Culture and National Heritage",1154844
17495,Wits University Foundation,"Arts, Culture and National Heritage",151361
36195,Wolmer Community Project,"Arts, Culture and National Heritage",358400
22575,World Wide Fund South Africa,"Arts, Culture and National Heritage",1319000
17869,Youth Development Outreach,"Arts, Culture and National Heritage",496800
35124,Zakhele Training Trust,"Arts, Culture and National Heritage",1091828
37179,Zip Zap Circus School,"Arts, Culture and National Heritage",1429064
38326,Zulu Mpophomeni Tourism Experience,"Arts, Culture and National Heritage",3701920
27922,A Re Ageng Social Services,Charities,450000
27922,A Re Ageng Social Services,Charities,450000
33216,AB Educare Centre,Charities,662193
31844,Abbeyfield Society of South Africa,Charities,835000
30342,Abraham Kriel Children’s Home,Charities,550000
27601,Abraham Kriel Maria Kloppers Children’s Home,Charities,3061660
34677,Abraham Kriel Maria Kloppers Children’s Home,Charities,4260859
34750,ACFS Community Education & Feeding Scheme,Charities,4000000
35072,Action Group for Children in Distress,Charities,972000
21352,Action on Elder Abuse,Charities,250000
31846,Activists Networking Against Exploitation of Child Domestic Workers,Charities,141715
31516,Afrikaanse Christelike Vroue Vereeniging (ACVV) Adelaide,Charities,293891
31788,ACVV Caledon,Charities,497792
33505,ACVV Caledon,Charities,1402129
33530,ACVV Calitzdorp,Charities,168505
31260,ACVV Calvinia,Charities,442035
33648,ACVV Ceres,Charities,245000
33802,ACVV Clanwilliam,Charities,429900
33684,ACVV Cradock,Charities,760887
31941,ACVV Danielskuil,Charities,865095
34090,ACVV De Grendel Crèche,Charities,370161
33718,ACVV Despatch,Charities,1772358
33661,ACVV Elizabeth Roos,Charities,166669
33969,ACVV George,Charities,1256304
33502,ACVV Grabouw,Charities,1296718
33452,ACVV Head Office,Charities,501955
33257,ACVV Huis van Niekerk,Charities,1842324
33433,ACVV Huis Ysterplaat,Charities,326130
33314,ACVV Kimberley,Charities,1086386
33229,ACVV Kirkwood,Charities,788350
35059,ACVV Koeberg,Charities,553486
34104,ACVV Mosselbay,Charities,1814241
33762,ACVV Newton Park,Charities,948168
34084,ACVV Oudtshoorn,Charities,1079234
33464,ACVV Paarl,Charities,219999
33387,ACVV Paarl Valley,Charities,306275
27251,ACVV PE North,Charities,222887
33777,ACVV PE North,Charities,1096455
27279,ACVV PE South,Charities,450000
30941,ACVV Poplar Avenue,Charities,291500
33872,ACVV Poplar Avenue,Charities,690550
33515,ACVV Prins Albert,Charities,217736
33403,ACVV Riebeek Kasteel,Charities,336143
33926,ACVV Riebeek Wes,Charities,919445
33487,ACVV Riversdal,Charities,158744
33788,ACVV Robertson,Charities,891142
33792,ACVV Somerset West,Charities,144947
35751,ACVV Springbok,Charities,901282
33428,ACVV Stellenbosch,Charities,789734
33814,ACVV Strand,Charities,254582
33441,ACVV Swellendam,Charities,518703
27782,ACVV Uitenhage,Charities,200000
33721,ACVV Uitenhage,Charities,467131
21256,ACVV Victoria West,Charities,263820
33463,ACVV Wellington,Charities,841384
31595,ACVV Williston,Charities,177000
33654,ACVV Worcester,Charities,803345
31752,ACVV Zonnebloem,Charities,848434
33481,ACVV Zonnebloem,Charities,719281
30507,AFM Executive Welfare Council,Charities,1916184
34203,AFM Place of Refuge,Charities,1066404
34834,African Self Help Association,Charities,1016000
24543,Age in Action (National Office),Charities,12674237
31330,Aids Care Training & Support Initiative,Charities,324968
30508,AIDS Consortium,Charities,1140000
34643,Aim Centre,Charities,655400
35020,Akanani Rural Development Association,Charities,621340
30825,Alberton Tuiste vir Bejaardes,Charities,631400
34663,Alberton Tuiste vir Bejaardes,Charities,126999
11146,Alex Children’s Clinic,Charities,250000
34253,Alexandra Homes for the Aged,Charities,24150
33692,Algoa Bay Council for the Aged,Charities,1206130
31584,Aliwal North Child & Family Welfare Society,Charities,827375
35970,Aliwal North Child & Family Welfare Society,Charities,1243764
35981,Alliance Against HIV/Aids,Charities,845280
34068,Allison Homes Trust,Charities,176993
30543,Almighty Day Care Centre,Charities,37250
30543,Almighty Day Care Centre,Charities,37250
25765,Alzheimer’s & Related Dementia Association,Charities,2107412
30780,Amadea Safe House,Charities,280000
34052,Amatikwe Crèche & Pre-School,Charities,121250
33728,Amatola Haven Old Age Home,Charities,499000
11424,Amazing Grace Children’s Home Malelane,Charities,50000
30635,Amcare,Charities,1698000
33624,Amcare,Charities,275612
30635,Amcare,Charities,1698000
28226,Amy Biehl Foundation Trust,Charities,1150000
33833,Amy Biehl Foundation Trust,Charities,727740
28910,Andries Olivier Durbanville Quadriplegic Home,Charities,195859
33790,Andries Olivier Durbanville Quadriplegic Home,Charities,146710
20955,Animal Anti Cruelty League Cape Town,Charities,100000
33360,Animal Anti Cruelty League Cape Town,Charities,478692
31517,Animal Anti Cruelty League Port Elizabeth,Charities,250000
33665,Animal Rescue Organisation,Charities,812600
21148,Animal Welfare Society Port Elizabeth,Charities,150000
31587,Ann Harding Cheshire Home,Charities,213000
22227,Arebaokeng Hospice,Charities,463215
34837,Arebaokeng Hospice,Charities,4037910
26663,Arthur Blaxall School,Charities,750000
33306,Association for Community & Rural Advancement,Charities,1344067
30701,"Association for People with Disabilities Gauteng
North",Charities,1038763
35810,"Association for Persons with Physical Disabilities
Northern Cape",Charities,1773456
26796,"Association for Persons with Physical Disabilities
Pietermaritzburg",Charities,27973
34066,Association for the Aged,Charities,8602614
35599,"Association for the Physically Challenged
Newcastle",Charities,706390
34295,Association for the Physically Challenged South Natal,Charities,275101
31403,Association for the Physically Disabled & the Deaf Free State,Charities,3484616
27929,Association for the Physically Disabled Greater Johannesburg,Charities,1064649
34744,Association for the Physically Disabled Greater Johannesburg,Charities,996826
30736,Association for the Physically Disabled Port Elizabeth Region,Charities,522191
36173,Association for the Physically Disabled Port Elizabeth Region,Charities,1592667
28451,Association for the Physically Disabled Western Cape,Charities,594808
33490,Association for the Physically Disabled Western Cape,Charities,824047
33598,Association Physically Challenged Dundee,Charities,250000
23686,Atamelang Crèche,Charities,41172
33517,Athlone House of Strength,Charities,558478
31178,Athlone YMCA,Charities,735195
34671,Atteridgeville Association for the Physically Disabled,Charities,226000
31413,Aurora Alcohol & Drug Centre,Charities,825700
35724,Aurora Alcohol & Drug Centre,Charities,1436215
27204,Aurora Stimulation Centre,Charities,466312
36196,Autism South Africa,Charities,976000
33413,Autism Western Cape,Charities,1200000
31298,Avalon Association,Charities,358153
27924,Avril Elizabeth Home,Charities,583402
30596,Ayanda Pre-School,Charities,1152716
31618,Baby Therapy Centre,Charities,525440
30333,Badiegile Community Project,Charities,402375
25523,BADISA,Charities,24068146
34902,Bambanani Day Care Centre,Charities,124745
33394,Bambanani Social Development,Charities,500000
33408,BAMBI Bewaarskool,Charities,344909
30555,Baragwananth Hospital Comforts Committee,Charities,55750
31375,BB Myataza Secondary School,Charities,1206630
30110,Beaufort West Association for the Physically Disabled,Charities,286500
