Name,Sector,Province,Amount
Natal Museum,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,273870
Nkandla Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,8000000
Opera Africa in Partnership with African Renaissance,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,1187400
Phoenix Education Sports Community,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,201939
Qhubeka Youth Community Empowerment,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,1229800
Rainman Landcare Foundation Trust,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,630000
Sangeet Vidya Institute,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,850500
Satyagraha - Mahatma Ghandi,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,500000
South African Zulu Dance Organisation,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,345000
South Durban Community Environmental Alliance,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,160900
The Durban African Art Centre,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,105744
The Steeldrum Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,454800
Tourism Business Council of SA,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,250000
Umzinyathi District Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,2760000
Zakhele Training Trust,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,816480
Zibambeleni Community Development Organisation,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,2929685
Abangani Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,200000
Akanani Rural Development Ass,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,1000000
Akanani Rural Development Ass Rodzula Express Band,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,280674
CSIR,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,3500000
De Wildt Cheetah & Wildlife Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,106667
ECYD in partnership with Basadi Babapedi,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,300000
IFA Craft Project,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,353500
Jonsam Lengakgolo Productions & Agency,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,800000
Kgwana Community Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,300000
MINTEK,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,2113333
Neotha Arts & Culture,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,126670
Phakgamang Community Resource,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,500000
Polokwane Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,403900
Ramalema Environmental Health Project,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,50000
Ribolla Tourism Association,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,78500
Timbila Poetry Project,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,534000
University of Venda Drama for Education & Development,"ARTS, CULTURE & NATIONAL HERITAGE",Limpopo,596610
Dramatists Against Crime Theatre Group,"ARTS, CULTURE & NATIONAL HERITAGE",Mpumalanga,74350
Mpumalanga Office of SA Heritage Resource Agency,"ARTS, CULTURE & NATIONAL HERITAGE",Mpumalanga,100000
Club Coffee Bar Community Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Northern Cape,78500
Jazz Art Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Northern Cape,341556
McGregor Museum,"ARTS, CULTURE & NATIONAL HERITAGE",Northern Cape,938800
NICRO Northern Cape,"ARTS, CULTURE & NATIONAL HERITAGE",Northern Cape,304000
Sol Plaatjie Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",Northern Cape,750000
The Magnet Theatre Educational Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Northern Cape,306883
Utlwanang Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Northern Cape,268100
Aardklop Arts Festival,"ARTS, CULTURE & NATIONAL HERITAGE",North West,1650000
Abangani Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",North West,200000
African Cultural Organisation of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",North West,490235
Cultural Association of Greater Lichtenburg,"ARTS, CULTURE & NATIONAL HERITAGE",North West,4000000
De Wildt Cheetah & Wildlife Trust,"ARTS, CULTURE & NATIONAL HERITAGE",North West,106667
Dramatists Against Crime Theatre Group,"ARTS, CULTURE & NATIONAL HERITAGE",North West,74350
Itlhaolole Waste Management,"ARTS, CULTURE & NATIONAL HERITAGE",North West,387700
Jazz Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",North West,1047000
Multi Vision Youth Development Project,"ARTS, CULTURE & NATIONAL HERITAGE",North West,422000
Utlwanang Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",North West,268100
Arts & Culture Empowering Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,120000
Artscape,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,218750
Association for Visual Arts,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,689492
Bambnani for Social Development,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,302000
Baxter Theatre Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,4566998
Baxter Theatre Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,2551824
Beau Soleil Music for Africa Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,326320
Breughel Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,109750
Breytenbach Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,937000
Cape Peninsula National Park,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,834800
Cape Heart Community & Education Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,370200
Cape Orchestra Cape Philharmonic,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,9889614
"Cape Town Holocaust Centre, Facing the Past","ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,180000
Cape Town Opera,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,2433000
Ceres Togryers Museum,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,2000000
College of Magic,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,296677
Community Arts Project From the Hip Khulumkahle,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,500000
Dance for All,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,759651
De Poort Village Project,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,2320000
Dirkie Uys High School,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,509705
District Six Museum,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,14713378
Dramatists Against Crime Theatre Group,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,177746
Enlighten Education Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,277850
Environ Evaluation Unit Macassar Dunes Co-Management Programme,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1223000
Eoan Group,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1200000
Footprints Education Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,100000
Greatmore Studios,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,287760
Greatmore Studios,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1561260
Human Rights Media Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,517300
iKhwattu San Culture and Education Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,996400
Institute for the Blind Industries,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,93550
Jazzart Dance,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,2545369
Jikeleza Dance Project,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,280000
La Rosa Spanish Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,389232
Lifeline Childline Western Cape,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,157318
Marine Environmental Education Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,380600
Matzikama Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1030000
Media Peace Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,2400000
Media Village,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,665662
New Africa Theatre Association,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,96000
Opera Africa in Partnership with African Renaissance,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1187400
Oudtshoorn Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1300000
Performing Arts Network of SA,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1278800
Public Eye in partnership with The Mandlovu Development Initiative,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,347000
Remis Dance Project Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1638672
SA Heritage Resources Agency,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1250000
Simon Estes Educational Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,45000
Simon's Town Museum Town,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,113649
Sir Lowry's Pass Tourism & Business Dev Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1648557
Siyasanga Cape Town Theatre Company,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,320000
Soetwater Enviro Education Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,511200
South African Heritage Resources Agency,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1200000
South African Scriptwriters Assoc Cape,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,89000
Southern African Arts Exchange,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1010000
Standloper Eco-Tourism Board,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1000000
Swartland Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,143600
The Cape Flats Development Association,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,63772
The Community Video Education Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,883500
The Educo Trust of Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,559630
The Magnet Theatre Educational Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,306883
The Novalis Institute,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,297000
The Ruth Prowse School of Art,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,311980
The South African National Circus School Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,101140
Township Music Education for Children and Youth,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,120000
Two Oceans Craft & Culture Centre Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,382100
Universe Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,710400
University of Cape Town Department of Archaeology,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,650000
University of Cape Town Department of Drama,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,125118
University of Cape Town & Iziko Museums,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,79937
Western Cape Nature Conservation Board,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,2058800
National Botanical Institute,"ARTS, CULTURE & NATIONAL HERITAGE",Western Cape,1300000
FAMSA Kempton Park,CHARITIES,National Bodies,1932232
Heart Foundation SA,CHARITIES,National Bodies,1000000
Sign Language Education & Development Bryanston,CHARITIES,National Bodies,250000
Umtapo Centre Durban,CHARITIES,National Bodies,500000
Union of Jewish Women of SA,CHARITIES,National Bodies,126000
ACVV General Management Cape Town,CHARITIES,National Bodies,500000
AFM Executive Welfare Council,CHARITIES,National Bodies,1000000
Albinism Society of SA,CHARITIES,National Bodies,1000000
Autism SA,CHARITIES,National Bodies,250000
Autism South Africa,CHARITIES,National Bodies,250000
Boys Town SA,CHARITIES,National Bodies,1000000
Catholic Institute of Education Johannesburg,CHARITIES,National Bodies,3000000
Community Education Computer Society JHB,CHARITIES,National Bodies,212000
Cotlands Group -Baby Sanctuary,CHARITIES,National Bodies,1000000
Deafblind SA Worcester,CHARITIES,National Bodies,640000
Epilepsy SA Observatory Cape Town,CHARITIES,National Bodies,500000
Great Brak River C & F Welfare Society,CHARITIES,National Bodies,557780
Hospice Palliative Care Ass of SA,CHARITIES,National Bodies,500000
"Lawyers for Human Rights, Pretoria",CHARITIES,National Bodies,1000000
Legal Resources Centre JHB,CHARITIES,National Bodies,1000000
Lifeline Southern Africa,CHARITIES,National Bodies,600000
Maths Centre for Professional Teachers Johannesburg,CHARITIES,National Bodies,608000
National Ass for Women Empowerment NAWE,CHARITIES,National Bodies,300000
National Welfare Social Services & Development Forum,CHARITIES,National Bodies,8443227
NICRO Cape Town,CHARITIES,National Bodies,16516726
NPO Consortium Cape Town,CHARITIES,National Bodies,500000
"Postnatal Depression Support Association, Cape Town",CHARITIES,National Bodies,50000
Project Literacy Pretoria,CHARITIES,National Bodies,5000000
Quadriplegic Association of SA,CHARITIES,National Bodies,200000
"Quadriplegic Association of South Africa, Pinetown",CHARITIES,National Bodies,133181
Reach for a Dream,CHARITIES,National Bodies,129600
"Rural Development Support Program, Cape Town",CHARITIES,National Bodies,755000
Rural Education Access Programme Athlone,CHARITIES,National Bodies,903000
SA Council for C & F Welfare JHB,CHARITIES,National Bodies,1500000
SA Mobility for the Blind Trust SAMBT JHB,CHARITIES,National Bodies,168400
SA National Council for the Blind Pretoria,CHARITIES,National Bodies,3492427
SA National Lobby Group for People with Acquired Brain Injuries,CHARITIES,National Bodies,100000
SA Veterinary Association,CHARITIES,National Bodies,100000
