Name,Sector,Province,Amount
Itshabolole Waste,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",NORTH WEST,892500
Klerksdorp Youth Club,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",NORTH WEST,100000
Naledi Municipality,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",NORTH WEST,950000
Phepafatso Cleaning and Hygiene Project,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",NORTH WEST,500000
 Izikho Museums of Cape Town II,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,1000000
 Izikho Museums of Cape Town III,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,370000
 Marine Environmental Education Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,250000
 Maxi-D TV Productions,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,300000
 Muizenberg Historical Conservation Society,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,200000
 National Sea & Sand Institute,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,500000
 New Africa Theatre Association,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,300000
 Professional Music Performance & Technology,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,300000
 Public Eye,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,100000
 SA Scout Association I,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,300000
 SA Scout Association II,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,240000
 SA Youth Hostel Association,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,500000
 SHAWCO Kensington,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,100000
 SHAWCO Manenburg,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,100000
 SHAWCO Wetland Khayelitsha Centre,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,880000
 Social Transformation Empowerment Project (STEP),"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,1000000
 The Magnet Theatre Educational Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,217000
 Thupelo Cape Town,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,175000
 Tomas Films,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,697535
 Arts Education Department Grahamstown Foundation - WC Projects,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,139000
 Baxter Theatre Centre,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,516000
 Cape Town Opera,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,1000000
 Clanwilliam Living Landscape Project,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,488100
 College of Magic,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,70000
 Community Video Education Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,327000
 David Poole Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,50000
 District Six Museum Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,750000
 Film & TV Market Initiative,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,500000
 Franschoek Belgian Development Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,247000
 Garden Route Botanical Garden Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,50000
 Girl Guides Association of South Africa,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,300000
 Grassroots Adult Education and Training Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,127000
 Greatmore Studios,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,416028
 Guguletu Community Centre,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,26000
 Ikamva Labantu,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,1000000
 Izikho Museums of Cape Town I,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",WESTERN CAPE,1000000
 ACVV - Aalwynhof Old Age Home,CHARITIES CATEGORY,EASTERN CAPE,100000
 ACVV - Algoa Park/Govan Mbeki,CHARITIES CATEGORY,EASTERN CAPE,44000
 ACVV - Despatch,CHARITIES CATEGORY,EASTERN CAPE,89000
 ACVV - Dolly Vermaak,CHARITIES CATEGORY,EASTERN CAPE,6000
 ACVV - Huis Van De Graaf Old Age Home,CHARITIES CATEGORY,EASTERN CAPE,150000
 ACVV - Newton Park,CHARITIES CATEGORY,EASTERN CAPE,37400
 ACVV - PE Central,CHARITIES CATEGORY,EASTERN CAPE,100000
 ACVV - PE North,CHARITIES CATEGORY,EASTERN CAPE,100000
 ACVV - PE South,CHARITIES CATEGORY,EASTERN CAPE,100000
 ACVV - PE West,CHARITIES CATEGORY,EASTERN CAPE,50000
 ACVV - Pikkewyn Day Care Centre,CHARITIES CATEGORY,EASTERN CAPE,12000
 ACVV - Poplar,CHARITIES CATEGORY,EASTERN CAPE,50000
 ACVV - Port Elizabeth,CHARITIES CATEGORY,EASTERN CAPE,108750
 ACVV - School Holiday Project,CHARITIES CATEGORY,EASTERN CAPE,75000
 ACVV - Umzamo Group for Disabled Children (Middelburg),CHARITIES CATEGORY,EASTERN CAPE,20000
 Adelaide Madube Educare,CHARITIES CATEGORY,EASTERN CAPE,20000
 Alicedale Child Welfare Society,CHARITIES CATEGORY,EASTERN CAPE,40000
 Aliwal North Child and Family Welfare Association,CHARITIES CATEGORY,EASTERN CAPE,75000
 Barkly East Advice Centre,CHARITIES CATEGORY,EASTERN CAPE,50000
 Bethany Home Umtata,CHARITIES CATEGORY,EASTERN CAPE,50000
 Busy Bee Educare Centre,CHARITIES CATEGORY,EASTERN CAPE,20000
 Busy Bee Pre-school,CHARITIES CATEGORY,EASTERN CAPE,30000
 Cheshire Home Cleary Estate,CHARITIES CATEGORY,EASTERN CAPE,50000
 Craddock Child and Family Welfare Michousdal,CHARITIES CATEGORY,EASTERN CAPE,24000
 Cradock SPCA,CHARITIES CATEGORY,EASTERN CAPE,20000
 East London Child and Family Welfare Society,CHARITIES CATEGORY,EASTERN CAPE,317000
 East London Children’s Home,CHARITIES CATEGORY,EASTERN CAPE,200000
 Andries Marie Oosthuizen Multi Purpose Frail Care Centre,CHARITIES CATEGORY,FREE STATE,55000
 Association for Persons with Disabilities - Eastern Free State,CHARITIES CATEGORY,FREE STATE,105981
 Association for Persons with Disabilities and the Deaf - Free State I,CHARITIES CATEGORY,FREE STATE,300000
 Association for Persons with Disabilities and the Deaf - Free State II,CHARITIES CATEGORY,FREE STATE,33440
 Beukeskuil Help Centre,CHARITIES CATEGORY,FREE STATE,20000
 Bultfontein Versorgingsdienste,CHARITIES CATEGORY,FREE STATE,100000
 Callie Evels Lodge,CHARITIES CATEGORY,FREE STATE,120000
 Cancer Association of SA: Free State/Northern Cape,CHARITIES CATEGORY,FREE STATE,200000
 Cancer Association of SA: Kroonstad NFS,CHARITIES CATEGORY,FREE STATE,52000
 Charlotte Moll Haven,CHARITIES CATEGORY,FREE STATE,75000
 Child and Family Welfare Society - Bloemfontein,CHARITIES CATEGORY,FREE STATE,100000
 Dagbreekwonings Home for Elderly,CHARITIES CATEGORY,FREE STATE,20000
 FAMSA Bloemfontein,CHARITIES CATEGORY,FREE STATE,200000
 FAMSA Northern Free State,CHARITIES CATEGORY,FREE STATE,149000
 Free State Council for the Aged,CHARITIES CATEGORY,FREE STATE,50000
 Free State Council for the Blind - Welkom,CHARITIES CATEGORY,FREE STATE,50000
 Free State Residential Care Centre,CHARITIES CATEGORY,FREE STATE,100000
 Goldfield Hospice Association,CHARITIES CATEGORY,FREE STATE,132000
 Goldfields Alcohol and Drug Centre,CHARITIES CATEGORY,FREE STATE,15000
 Goldfields Child and Family Welfare Society,CHARITIES CATEGORY,FREE STATE,100000
 Goldfields Society for the Blind,CHARITIES CATEGORY,FREE STATE,40000
 Jean Webber Home,CHARITIES CATEGORY,FREE STATE,93881
 Kerklike Maatskaplike Diens - Bloemfontein,CHARITIES CATEGORY,FREE STATE,50000
 Kerklike Maatskaplike Diens - Senekal,CHARITIES CATEGORY,FREE STATE,22370
 Kgotsong Child and Family Welfare Society,CHARITIES CATEGORY,FREE STATE,25000
 Kuierhoekie Centre for the Aged,CHARITIES CATEGORY,FREE STATE,25000
" Kutlwanang, Thabang & Bronwndell Crèche",CHARITIES CATEGORY,FREE STATE,110000
 Lehlasedi Community Organization,CHARITIES CATEGORY,FREE STATE,30000
 Lesedi La Setjhaba Welfare Organisation,CHARITIES CATEGORY,FREE STATE,100000
Lettie Fouche School Bloemfontein,CHARITIES CATEGORY,FREE STATE,100000
Maboleli Educare Centre,CHARITIES CATEGORY,FREE STATE,10000
NGKA Ontwikkelingsdienste in die Vrystaat,CHARITIES CATEGORY,FREE STATE,30000
NICRO – Free State,CHARITIES CATEGORY,FREE STATE,200000
Ntsoanatsatsi Educare Trust,CHARITIES CATEGORY,FREE STATE,50000
Oranje Vrouevereniging - Bloemfontein,CHARITIES CATEGORY,FREE STATE,100000
Oranje Vrouevereniging - Brandfort,CHARITIES CATEGORY,FREE STATE,50000
Oranje Vrouevereniging - Smithfield,CHARITIES CATEGORY,FREE STATE,15000
Oranje Vrouevereniging - Steynsrus,CHARITIES CATEGORY,FREE STATE,5000
Oranje Vrouevereniging - Tak Goudrif,CHARITIES CATEGORY,FREE STATE,75000
Oranje Vrouevereniging - Zastron,CHARITIES CATEGORY,FREE STATE,50000
Oranje Vrouevereniging I,CHARITIES CATEGORY,FREE STATE,40000
Oranje Vrouevereniging II,CHARITIES CATEGORY,FREE STATE,150000
Partuma Aids Awareness Group I,CHARITIES CATEGORY,FREE STATE,15000
Partuma Aids Awareness Group II,CHARITIES CATEGORY,FREE STATE,10000
SAVF Belfast Children’s Home,CHARITIES CATEGORY,FREE STATE,200000
Skemervreugde Centre for the Elderly,CHARITIES CATEGORY,FREE STATE,50000
Southern Free State Mental Health,CHARITIES CATEGORY,FREE STATE,24000
The St Nicholas Children’s Hospice,CHARITIES CATEGORY,FREE STATE,200000
Thusanang Advice Centre,CHARITIES CATEGORY,FREE STATE,100000
Thusanang Development & Training Project - Bothaville Free State,CHARITIES CATEGORY,FREE STATE,300000
Viljoenskroon Hospice,CHARITIES CATEGORY,FREE STATE,135000
Virginia Child & Family Welfare Society,CHARITIES CATEGORY,FREE STATE,12000
Virginia SPCA,CHARITIES CATEGORY,FREE STATE,10000
Bongani Educare ,CHARITIES CATEGORY,GAUTENG,10000
Bophelo/Impilo Community Association ,CHARITIES CATEGORY,GAUTENG,200000
Bosele Day Care Centre ,CHARITIES CATEGORY,GAUTENG,30000
Brakpan SPCA ,CHARITIES CATEGORY,GAUTENG,50000
W,CHARITIES CATEGORY,GAUTENG,25000
Carel Du Toit Centre ,CHARITIES CATEGORY,GAUTENG,80000
Casa Caritas ,CHARITIES CATEGORY,GAUTENG,75000
Catholic Woman’s League Pretoria Family Life Centre ,CHARITIES CATEGORY,GAUTENG,50000
Centre for Hospice Learning ,CHARITIES CATEGORY,GAUTENG,500000
Chance Children’s Home - Springs ,CHARITIES CATEGORY,GAUTENG,200000
Child & Family Welfare Society - Vanderbijlpark ,CHARITIES CATEGORY,GAUTENG,50000
Child in Crisis Trust ,CHARITIES CATEGORY,GAUTENG,50000
Childlike/Alberton Child and Family Welfare Association ,CHARITIES CATEGORY,GAUTENG,75000
Childline ,CHARITIES CATEGORY,GAUTENG,200000
Christelike Maatskaplike Raad - Soshanguve ,CHARITIES CATEGORY,GAUTENG,75000
Christian Social Services Council - Boksburg ,CHARITIES CATEGORY,GAUTENG,30000
Christian Social Services Council - Kempton Park ,CHARITIES CATEGORY,GAUTENG,50000
Cluny Farm Centre ,CHARITIES CATEGORY,GAUTENG,300000
Conquest for Life I ,CHARITIES CATEGORY,GAUTENG,50000
Conquest For Life II ,CHARITIES CATEGORY,GAUTENG,50000
Cotlands Baby Sanctuary ,CHARITIES CATEGORY,GAUTENG,100000
Council for the Aged - Kempton Park ,CHARITIES CATEGORY,GAUTENG,500000
Curamus Association ,CHARITIES CATEGORY,GAUTENG,100000
Doug Whitehead School for the Mentally and Physically Handicapped,CHARITIES CATEGORY,GAUTENG,200000
Down Syndrome - Pretoria ,CHARITIES CATEGORY,GAUTENG,50000
Drive Alive ,CHARITIES CATEGORY,GAUTENG,50000
Dystonia Association South Africa ,CHARITIES CATEGORY,GAUTENG,10873
East Rand Protective Workshop ,CHARITIES CATEGORY,GAUTENG,200000
Edutak Pre-School Training and Development ,CHARITIES CATEGORY,GAUTENG,50000
Elethu-Daveyton Cheshire Home ,CHARITIES CATEGORY,GAUTENG,40000
Elim Havens Care Centre ,CHARITIES CATEGORY,GAUTENG,50000
Emdeni Children's Home ,CHARITIES CATEGORY,GAUTENG,104800
Employment Solutions for People with Disabilities ,CHARITIES CATEGORY,GAUTENG,100000
Family and Community Services ,CHARITIES CATEGORY,GAUTENG,25000
Family and Marriage Society of South Africa - Kempton Park ,CHARITIES CATEGORY,GAUTENG,200000
Family Health Services ,CHARITIES CATEGORY,GAUTENG,75000
Family Life Centre - FAMSA Johannesburg ,CHARITIES CATEGORY,GAUTENG,100000
FAMSA East Rand ,CHARITIES CATEGORY,GAUTENG,25000
FAMSA Pretoria ,CHARITIES CATEGORY,GAUTENG,50000
FAMSA Vanderbijlpark ,CHARITIES CATEGORY,GAUTENG,50000
FAMSA West Rand ,CHARITIES CATEGORY,GAUTENG,100000
Floroma Old Aged Home ,CHARITIES CATEGORY,GAUTENG,150000
Flower Foundation Residential Clubs ,CHARITIES CATEGORY,GAUTENG,55006
Food Gardens Foundation ,CHARITIES CATEGORY,GAUTENG,250000
Forest Town Foundation ,CHARITIES CATEGORY,GAUTENG,150000
Gauteng Council for the Aged ,CHARITIES CATEGORY,GAUTENG,300000
Genesis ,CHARITIES CATEGORY,GAUTENG,100000
Gerald Fitzpatrick House ,CHARITIES CATEGORY,GAUTENG,100000
Germiston SPCA ,CHARITIES CATEGORY,GAUTENG,50000
Good Shepherd Fatima House – Unwed Mothers and Place of Safety ,CHARITIES CATEGORY,GAUTENG,100000
Gordonia Institute,CHARITIES CATEGORY,GAUTENG,250000
Greater Benoni Child Welfare,CHARITIES CATEGORY,GAUTENG,200000
 Clocolan Golf Club,SPORT AND RECREATION CATEGORY,FREE STATE,210000
 Eleos Mercy Ministries,SPORT AND RECREATION CATEGORY,FREE STATE,460000
 Free State Sports Association for Intellectually Impaired,SPORT AND RECREATION CATEGORY,FREE STATE,100000
 Home Defenders Football Club,SPORT AND RECREATION CATEGORY,FREE STATE,20000
 Home Tigers Football Club,SPORT AND RECREATION CATEGORY,FREE STATE,15000
 Loubser Park Management Committee,SPORT AND RECREATION CATEGORY,FREE STATE,111150
 Mangaung/University of the Free State Community Partnership,SPORT AND RECREATION CATEGORY,FREE STATE,300000
 OFS Academy of Sport,SPORT AND RECREATION CATEGORY,FREE STATE,1000000
 Qalabotjha Football Association,SPORT AND RECREATION CATEGORY,FREE STATE,15000
 Real Taj United Football Club,SPORT AND RECREATION CATEGORY,FREE STATE,15000
 Southern Free State Chess Union,SPORT AND RECREATION CATEGORY,FREE STATE,125000
 Thabang Victim Empowerment Programme,SPORT AND RECREATION CATEGORY,FREE STATE,15000
 Thabo Ya Bana Sport,SPORT AND RECREATION CATEGORY,FREE STATE,200000
 Thabong Cricket Club,SPORT AND RECREATION CATEGORY,FREE STATE,26433
 Thembalihle Soccer Association,SPORT AND RECREATION CATEGORY,FREE STATE,280000
 Zebras Volleyball Club,SPORT AND RECREATION CATEGORY,FREE STATE,4000
 Abraham Kriel Maria Kloppers Childrens Home,CHARITIES CATEGORY,GAUTENG,200000
 ACFS Community Education & Feeding Scheme - Brixton Gauteng,CHARITIES CATEGORY,GAUTENG,300000
 Actonville Child & Family Welfare Society,CHARITIES CATEGORY,GAUTENG,80000
